Price,Close,High,Low,Open,Volume
Ticker,DCX,DCX,DCX,DCX,DCX
Date,,,,,
2024-08-05,292.0,327.20001220703125,291.5,316.0,331
2024-08-06,294.3999938964844,308.5,290.0,292.0,62
2024-08-07,276.0,306.0,270.0,293.0,359
2024-08-08,245.0,279.0,241.0,279.0,293
2024-08-09,250.5,272.6000061035156,247.89999389648438,247.89999389648438,259
2024-08-12,262.0,291.0,239.0,251.0,1160
2024-08-13,264.0,296.0,244.0,261.0,700
2024-08-14,268.0,275.5,266.20001220703125,271.0,97
2024-08-15,281.0,330.0,269.0,269.0,1126
2024-08-16,308.3999938964844,314.0,287.0,287.79998779296875,229
2024-08-19,313.0,323.0,300.0,307.0,106
2024-08-20,304.0,316.0,291.0,299.0,128
2024-08-21,310.0,318.0,277.5,277.5,63
2024-08-22,323.0,348.0,302.0,309.0,677
2024-08-23,349.0,367.0,335.0,349.0,573
2024-08-26,350.0,365.0,338.0,350.0,126
2024-08-27,328.0,343.0,321.0,331.0,171
2024-08-28,345.0,362.0,320.0,325.0,285
2024-08-29,372.0,441.0,356.0,372.0,1536
2024-08-30,379.0,383.0,345.0,370.0,327
2024-09-03,334.0,381.0,334.0,380.0,358
2024-09-04,314.0,342.0,309.8999938964844,324.0,163
2024-09-05,305.0,380.0,260.0,308.5,720
2024-09-06,287.0,322.0,281.0,322.0,61
2024-09-09,299.0,313.5,270.0,283.0,112
2024-09-10,285.0,300.5,285.0,299.0,37
2024-09-11,266.0,282.0,265.0,280.0,91
2024-09-12,277.0,301.0,268.0,276.0,443
2024-09-13,339.0,350.0,279.0,290.0,18190
2024-09-16,301.0,349.0,265.0,349.0,3159
2024-09-17,274.0,327.0,259.0,300.0,971
2024-09-18,274.0,284.0,265.0,273.0,300
2024-09-19,241.0,265.0,234.0,265.0,459
2024-09-20,280.0,291.0,222.1999969482422,242.0,2389
2024-09-23,245.0,271.29998779296875,235.0,244.0,1258
2024-09-24,202.0,250.0,181.5,233.0,924
2024-09-25,195.0,206.0,186.0,205.0,280
2024-09-26,199.0,205.0,192.5,200.0,172
2024-09-27,211.0,229.10000610351562,199.0,201.0,238
2024-09-30,230.0,242.0,204.0,204.0,482
2024-10-01,210.0,241.10000610351562,210.0,227.0,180
2024-10-02,195.0,230.0,177.0,204.0,707
2024-10-03,185.0,200.0,185.0,189.0,186
2024-10-04,203.0,203.0,185.0,190.0,270
2024-10-07,202.0,214.0,193.0,205.0,292
2024-10-08,194.0,204.6999969482422,191.39999389648438,199.0,170
2024-10-09,201.0,211.0,195.0,195.0,540
2024-10-10,198.0,210.5,192.0,197.0,49
2024-10-11,194.0,202.0,194.0,200.0,69
2024-10-14,199.0,209.0,188.0,188.0,177
2024-10-15,205.0,218.0,200.0,206.0,617
2024-10-16,247.0,250.0,208.0,211.0,1183
2024-10-17,260.0,271.5,243.0,243.0,611
2024-10-18,241.0,260.0,237.0,260.0,323
2024-10-21,227.0,259.5,225.0,259.5,142
2024-10-22,208.0,238.6999969482422,206.0,228.0,337
2024-10-23,207.0,213.0,198.0,207.0,44
2024-10-24,191.0,213.0,185.0,206.0,416
2024-10-25,195.0,204.0,195.0,200.0,96
2024-10-28,200.39999389648438,204.89999389648438,190.0,194.3000030517578,64
2024-10-29,212.0,237.0,205.0,205.0,504
2024-10-30,216.0,230.0,216.0,218.0,170
2024-10-31,215.0,238.0,212.0,212.0,53
2024-11-01,207.0,219.0,205.1999969482422,217.0,94
2024-11-04,215.0,228.0,210.0,213.8000030517578,293
2024-11-05,204.0,228.5,200.0,226.0,219
2024-11-06,206.0,211.0,203.0,211.0,64
2024-11-07,207.0,215.0,206.0,215.0,50
2024-11-08,206.6999969482422,219.0,201.0,201.0,44
2024-11-11,220.0,228.0,205.0,205.0,131
2024-11-12,215.89999389648438,242.0,210.0,224.0,152
2024-11-13,210.0,224.0,210.0,224.0,49
2024-11-14,207.0,210.0,194.0,206.0,48
2024-11-15,195.0,208.0,195.0,205.0,60
2024-11-18,197.0,204.6999969482422,194.0,199.0,39
2024-11-19,200.89999389648438,212.0,189.0,189.0,297
2024-11-20,200.0,213.39999389648438,182.0,201.0,126
2024-11-21,195.0,200.0,193.0,197.89999389648438,157
2024-11-22,196.0,202.0,194.0,198.0,75
2024-11-25,214.0,214.0,198.0,208.5,134
2024-11-26,202.0,215.0,197.0,214.0,89
2024-11-27,202.0,207.6999969482422,196.0,205.0,61
2024-11-29,206.0,215.0,206.0,214.0,29
2024-12-02,225.0,232.5,206.0,215.0,238
2024-12-03,221.0,225.0,211.0,220.0,172
2024-12-04,222.0,229.0,217.0,227.0,66
2024-12-05,213.0,221.8000030517578,210.0,217.1999969482422,153
2024-12-06,204.5,216.0,202.0,205.0,12
2024-12-09,224.0,231.3000030517578,204.0,205.0,241
2024-12-10,211.0,220.0,205.0,220.0,115
2024-12-11,205.0,221.0,205.0,221.0,21
