Date,Close,High,Low,Open,Volume
2024-06-03 00:00:00,104.75,109.75,96.3499984741211,103.5,26212.0
2024-06-04 00:00:00,98.5,103.75,97.0,103.75,22364.0
2024-06-05 00:00:00,98.125,101.0,90.875,98.75,37328.0
2024-06-06 00:00:00,95.25,99.25,93.75,97.25,29384.0
2024-06-07 00:00:00,90.25,94.9000015258789,85.0,94.5,34572.0
2024-06-10 00:00:00,98.75,102.5,89.5,89.75,31456.0
2024-06-11 00:00:00,90.5,99.0,89.5,97.75,17128.0
2024-06-12 00:00:00,92.25,96.75,80.0,92.0,64464.0
2024-06-13 00:00:00,92.75,93.75,88.75,91.75,12252.0
2024-06-14 00:00:00,101.25,102.25,90.25,92.25,22796.0
2024-06-17 00:00:00,94.5,107.25,92.75,101.75,31552.0
2024-06-18 00:00:00,97.75,98.75,93.0,93.5,16132.0
2024-06-20 00:00:00,99.5,104.25,95.5,97.5,19548.0
2024-06-21 00:00:00,98.0,105.25,97.75,100.0,19424.0
2024-06-24 00:00:00,94.75,101.5,92.75,98.75,16348.0
2024-06-25 00:00:00,95.25,96.0,89.5,95.0,19016.0
2024-06-26 00:00:00,96.5,97.0,93.0,93.0,11636.0
2024-06-27 00:00:00,90.5,97.75,90.0,94.25,28296.0
2024-06-28 00:00:00,89.5,93.0,88.375,89.75,10524.0
2024-07-01 00:00:00,87.0,92.0,86.0,89.0,15192.0
2024-07-02 00:00:00,85.25,90.0,85.0,86.25,17112.0
2024-07-03 00:00:00,87.5,88.25,85.0,86.25,9764.0
2024-07-05 00:00:00,89.75,92.0,87.25,87.5,13868.0
2024-07-08 00:00:00,99.5,100.0,90.25,91.75,33392.0
2024-07-09 00:00:00,103.75,104.5,95.5,97.5,26444.0
2024-07-10 00:00:00,101.25,109.25,98.625,103.0,28568.0
2024-07-11 00:00:00,102.25,103.0,98.25,102.0,12780.0
2024-07-12 00:00:00,101.75,105.67500305175781,100.75,103.0,13416.0
2024-07-15 00:00:00,101.25,104.0,98.25,101.75,15812.0
2024-07-16 00:00:00,104.25,105.75,100.0,101.25,13520.0
2024-07-17 00:00:00,102.75,107.0,101.0,104.5,20972.0
2024-07-18 00:00:00,100.75,108.0,98.5,100.0,35176.0
2024-07-19 00:00:00,106.5,106.5,99.0,100.75,19764.0
2024-07-22 00:00:00,106.75,110.75,99.5,104.5,40560.0
2024-07-23 00:00:00,44.0,57.0,33.0,36.5,618752.0
2024-07-24 00:00:00,35.25,41.75,35.0,39.75,113392.0
2024-07-25 00:00:00,33.75,35.0,31.5,35.0,56164.0
2024-07-26 00:00:00,32.0,34.75,31.25,33.25,37476.0
2024-07-29 00:00:00,31.25,32.5,29.049999237060547,32.5,37548.0
2024-07-30 00:00:00,29.0,32.125,28.75,30.0,41656.0
2024-07-31 00:00:00,30.75,31.75,27.75,30.75,66044.0
2024-08-01 00:00:00,29.75,31.75,28.75,30.75,23856.0
2024-08-02 00:00:00,29.0,30.5,28.25,29.75,20280.0
2024-08-05 00:00:00,28.0,29.0,26.5,28.0,18020.0
2024-08-06 00:00:00,29.0,29.5,27.5,28.25,16264.0
2024-08-07 00:00:00,26.75,29.75,26.75,29.75,19448.0
2024-08-08 00:00:00,27.75,28.5,25.75,27.0,16664.0
2024-08-09 00:00:00,27.75,28.25,27.5,28.25,4048.0
2024-08-12 00:00:00,30.0,32.25,28.75,30.0,36560.0
2024-08-13 00:00:00,26.75,29.5,23.75,28.0,38532.0
2024-08-14 00:00:00,26.75,27.25,25.5,26.5,18292.0
2024-08-15 00:00:00,29.5,30.0,26.25,26.75,24324.0
2024-08-16 00:00:00,31.75,31.774999618530273,29.25,30.0,28356.0
2024-08-19 00:00:00,31.0,32.75,30.75,32.5,20524.0
2024-08-20 00:00:00,29.5,31.25,28.5,30.5,19928.0
2024-08-21 00:00:00,29.0,31.0,28.75,30.5,12576.0
2024-08-22 00:00:00,30.75,30.75,29.5,29.75,15864.0
2024-08-23 00:00:00,29.25,30.75,29.0,30.75,8864.0
2024-08-26 00:00:00,29.25,29.75,29.0,29.5,9840.0
2024-08-27 00:00:00,29.25,29.75,28.5,29.5,9876.0
2024-08-28 00:00:00,28.25,29.25,27.5,28.75,17096.0
2024-08-29 00:00:00,28.0,28.5,27.75,28.0,6064.0
2024-08-30 00:00:00,28.5,28.5,28.0,28.25,7068.0
2024-09-03 00:00:00,28.0,28.75,27.5,28.75,5832.0
2024-09-04 00:00:00,28.0,29.5,27.75,27.75,14028.0
2024-09-05 00:00:00,28.0,28.75,27.5,28.75,3408.0
2024-09-06 00:00:00,27.75,28.25,27.5,28.0,2504.0
2024-09-09 00:00:00,28.25,28.875,27.75,28.75,5604.0
2024-09-10 00:00:00,28.0,28.25,27.274999618530273,28.25,5400.0
2024-09-11 00:00:00,28.25,28.450000762939453,27.75,28.25,10056.0
2024-09-12 00:00:00,27.75,28.5,27.75,28.5,4744.0
2024-09-13 00:00:00,27.5,28.5,26.75,28.5,7996.0
2024-09-16 00:00:00,27.5,28.0,27.25,27.5,3032.0
2024-09-17 00:00:00,30.0,30.5,27.25,27.5,24768.0
2024-09-18 00:00:00,27.5,31.774999618530273,27.5,30.25,26272.0
2024-09-19 00:00:00,27.75,29.5,26.25,28.75,12004.0
2024-09-20 00:00:00,26.75,28.25,26.5,27.75,12228.0
2024-09-23 00:00:00,27.0,27.75,26.75,26.75,4844.0
2024-09-24 00:00:00,27.25,27.75,27.0,27.75,4988.0
2024-09-25 00:00:00,27.5,28.0,27.25,27.75,8348.0
2024-09-26 00:00:00,29.125,29.75,27.5,28.0,7612.0
2024-09-27 00:00:00,30.0,31.125,28.375,29.0,11316.0
2024-09-30 00:00:00,33.75,35.25,30.25,30.5,39984.0
2024-10-01 00:00:00,30.75,33.125,30.25,32.25,26624.0
2024-10-02 00:00:00,33.25,35.0,30.0,30.0,22460.0
2024-10-03 00:00:00,32.75,35.0,32.5,33.0,12544.0
2024-10-04 00:00:00,32.0,33.75,32.0,33.75,9712.0
2024-10-07 00:00:00,32.25,33.25,31.25,32.25,6116.0
2024-10-08 00:00:00,32.25,33.5,31.75,32.25,5408.0
2024-10-09 00:00:00,32.25,32.5,31.5,31.75,2448.0
2024-10-10 00:00:00,31.5,32.5,31.25,32.5,3132.0
2024-10-11 00:00:00,31.25,32.25,31.024999618530273,31.25,6696.0
2024-10-14 00:00:00,31.5,32.0,31.25,31.75,3504.0
2024-10-15 00:00:00,29.0,32.25,29.0,31.5,10408.0
2024-10-16 00:00:00,30.75,31.25,29.75,30.25,21232.0
2024-10-17 00:00:00,30.75,31.5,29.75,30.5,11536.0
2024-10-18 00:00:00,30.5,30.75,30.0,30.75,4820.0
2024-10-21 00:00:00,29.5,30.325000762939453,29.25,30.25,8148.0
2024-10-22 00:00:00,29.25,29.5,28.5,29.5,11740.0
2024-10-23 00:00:00,28.5,29.75,27.75,29.5,12416.0
2024-10-24 00:00:00,28.25,29.0,28.0,29.0,8800.0
2024-10-25 00:00:00,27.75,29.0,27.5,28.0,7424.0
2024-10-28 00:00:00,28.25,28.25,27.5,28.0,6516.0
2024-10-29 00:00:00,27.0,30.0,26.75,28.5,23084.0
2024-10-30 00:00:00,26.5,27.924999237060547,26.25,27.75,9032.0
2024-10-31 00:00:00,26.25,26.75,25.75,26.5,9712.0
2024-11-01 00:00:00,26.5,26.75,26.25,26.75,4220.0
2024-11-04 00:00:00,26.0,26.5,25.25,26.25,8076.0
2024-11-05 00:00:00,26.0,26.25,25.5,25.75,6640.0
2024-11-06 00:00:00,26.25,27.0,25.5,26.0,18240.0
2024-11-07 00:00:00,24.75,26.5,24.325000762939453,26.5,17596.0
2024-11-08 00:00:00,23.575000762939453,25.25,23.0,25.0,11012.0
2024-11-11 00:00:00,23.0,24.674999237060547,22.5,24.600000381469727,12776.0
2024-11-12 00:00:00,27.25,27.5,24.0,24.0,28316.0
2024-11-13 00:00:00,24.700000762939453,30.0,23.75,28.25,24812.0
2024-11-14 00:00:00,26.0,27.75,24.700000762939453,24.700000762939453,10496.0
2024-11-15 00:00:00,24.0,26.5,23.325000762939453,26.5,8936.0
2024-11-18 00:00:00,24.475000381469727,25.0,24.25,24.850000381469727,4868.0
2024-11-19 00:00:00,24.25,25.5,23.125,24.25,6288.0
2024-11-20 00:00:00,24.5,25.25,23.0,24.0,5824.0
2024-11-21 00:00:00,24.625,24.975000381469727,24.0,24.350000381469727,4152.0
2024-11-22 00:00:00,26.0,26.25,24.075000762939453,24.674999237060547,11172.0
2024-11-25 00:00:00,25.75,26.75,25.25,26.0,7464.0
2024-11-26 00:00:00,25.0,26.0,24.825000762939453,25.5,3160.0
2024-11-27 00:00:00,24.875,26.25,24.125,26.0,4820.0
2024-11-29 00:00:00,26.0,26.125,24.875,25.75,5728.0
2024-12-02 00:00:00,25.5,26.0,24.5,25.5,10904.0
2024-12-03 00:00:00,25.25,25.5,24.75,25.5,5200.0
2024-12-04 00:00:00,24.5,25.5,24.125,25.5,7864.0
2024-12-05 00:00:00,24.725000381469727,25.774999618530273,24.100000381469727,25.0,23792.0
2024-12-06 00:00:00,23.899999618530273,25.0,23.5,24.75,18848.0
2024-12-09 00:00:00,25.25,25.5,23.899999618530273,24.75,14748.0
2024-12-10 00:00:00,24.75,25.25,24.125,25.25,8300.0
2024-12-11 00:00:00,32.0,32.25,25.0,25.25,88244.0
2024-12-12 00:00:00,24.375,28.725000381469727,23.75,28.5,67352.0
2024-12-13 00:00:00,24.225000381469727,25.5,24.0,25.25,30056.0
2024-12-16 00:00:00,22.899999618530273,24.649999618530273,21.100000381469727,24.225000381469727,27584.0
2024-12-17 00:00:00,23.5,24.200000762939453,22.25,22.799999237060547,34628.0
2024-12-18 00:00:00,21.5,23.75,21.299999237060547,23.75,26296.0
2024-12-19 00:00:00,21.825000762939453,22.375,21.25,21.75,13732.0
2024-12-20 00:00:00,23.149999618530273,24.375,22.0,22.450000762939453,21168.0
2024-12-23 00:00:00,24.424999237060547,24.725000381469727,23.25,24.25,18124.0
2024-12-24 00:00:00,25.75,26.725000381469727,24.100000381469727,25.0,22604.0
2024-12-26 00:00:00,26.5,26.875,24.375,25.25,13696.0
2024-12-27 00:00:00,25.75,27.5,25.0,26.25,14052.0
2024-12-30 00:00:00,25.5,26.75,25.25,25.5,17340.0
2024-12-31 00:00:00,25.25,25.75,24.149999618530273,25.5,9024.0
2025-01-02 00:00:00,27.25,28.0,25.350000381469727,26.25,40632.0
2025-01-03 00:00:00,28.75,29.399999618530273,27.299999237060547,27.75,29732.0
2025-01-06 00:00:00,32.0,33.25,28.75,29.25,49868.0
2025-01-07 00:00:00,29.5,32.0,29.0,31.75,26604.0
2025-01-08 00:00:00,27.25,30.125,26.375,29.5,17044.0
2025-01-10 00:00:00,25.0,27.0,25.0,26.75,15168.0
2025-01-13 00:00:00,23.149999618530273,26.0,22.524999618530273,25.0,35748.0
2025-01-14 00:00:00,22.399999618530273,24.5,22.0,23.25,12704.0
2025-01-15 00:00:00,21.625,23.225000381469727,21.0,22.5,24020.0
2025-01-16 00:00:00,21.5,23.075000762939453,21.25,22.424999237060547,10464.0
2025-01-17 00:00:00,21.125,22.200000762939453,21.125,21.375,14404.0
2025-01-21 00:00:00,21.0,22.5,20.75,21.75,11732.0
2025-01-22 00:00:00,20.799999237060547,22.25,20.25,21.325000762939453,10112.0
2025-01-23 00:00:00,20.575000762939453,21.149999618530273,19.475000381469727,21.0,14112.0
2025-01-24 00:00:00,21.475000381469727,22.5,20.75,21.0,16548.0
2025-01-27 00:00:00,22.25,23.25,21.475000381469727,21.475000381469727,14708.0
2025-01-28 00:00:00,23.450000762939453,23.5,21.25,23.0,10984.0
2025-01-29 00:00:00,22.25,24.25,21.725000381469727,24.25,11348.0
2025-01-30 00:00:00,22.5,22.950000762939453,21.75,22.475000381469727,6172.0
2025-01-31 00:00:00,22.100000381469727,22.75,21.0,22.5,9032.0
2025-02-03 00:00:00,21.0,22.549999237060547,20.75,22.549999237060547,8872.0
2025-02-04 00:00:00,22.475000381469727,22.475000381469727,20.75,21.75,7544.0
2025-02-05 00:00:00,21.325000762939453,22.0,21.0,22.0,13460.0
2025-02-06 00:00:00,21.125,21.75,20.575000762939453,21.325000762939453,16448.0
2025-02-07 00:00:00,21.25,22.0,20.524999618530273,20.700000762939453,8300.0
2025-02-10 00:00:00,20.524999618530273,21.25,19.524999618530273,21.200000762939453,6280.0
2025-02-11 00:00:00,20.200000762939453,21.200000762939453,20.0,20.975000381469727,12084.0
2025-02-12 00:00:00,20.700000762939453,20.825000762939453,19.5,20.25,7192.0
2025-02-13 00:00:00,21.375,21.5,20.024999618530273,20.625,8144.0
2025-02-14 00:00:00,22.5,23.0,21.25,21.5,14328.0
2025-02-18 00:00:00,25.0,25.0,21.549999237060547,22.5,26184.0
2025-02-19 00:00:00,25.75,25.75,23.299999237060547,25.0,25392.0
2025-02-20 00:00:00,22.024999618530273,24.799999237060547,21.625,24.799999237060547,20956.0
2025-02-21 00:00:00,21.399999618530273,23.075000762939453,21.375,23.0,4660.0
2025-02-24 00:00:00,18.674999237060547,21.5,18.299999237060547,21.375,24032.0
2025-02-25 00:00:00,17.649999618530273,19.0,17.5,19.0,8188.0
2025-02-26 00:00:00,17.049999237060547,18.924999237060547,16.825000762939453,18.0,13980.0
2025-02-27 00:00:00,14.399999618530273,17.299999237060547,14.199999809265137,17.25,64052.0
2025-02-28 00:00:00,15.425000190734863,15.425000190734863,14.5,14.75,13340.0
2025-03-03 00:00:00,14.399999618530273,15.75,13.75,15.5,17976.0
2025-03-04 00:00:00,14.25,14.399999618530273,13.75,14.25,6616.0
2025-03-05 00:00:00,14.774999618530273,15.0,14.274999618530273,14.274999618530273,5804.0
2025-03-06 00:00:00,14.475000381469727,15.125,14.0,15.0,7844.0
2025-03-07 00:00:00,14.425000190734863,14.75,13.949999809265137,14.125,4056.0
2025-03-10 00:00:00,13.675000190734863,15.050000190734863,13.199999809265137,14.5,4856.0
2025-03-11 00:00:00,11.925000190734863,13.75,11.75,13.75,16056.0
2025-03-12 00:00:00,12.0,13.0,11.5,13.0,31960.0
2025-03-13 00:00:00,11.225000381469727,12.425000190734863,11.0,11.774999618530273,10272.0
2025-03-14 00:00:00,11.125,11.375,10.524999618530273,11.25,12628.0
2025-03-17 00:00:00,11.725000381469727,12.449999809265137,11.0,11.100000381469727,6800.0
2025-03-18 00:00:00,6.125,8.675000190734863,5.625,8.25,140144.0
