,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.253382,0.247499,0.33971,0.242298,0.233616,,
Net Income From Continuing Operation Net Minority Interest,28037000.0,19711000.0,5868000.0,27669000.0,19073000.0,,
Reconciled Depreciation,1691000.0,1722000.0,2255000.0,2499000.0,1947000.0,,
EBIT,40271000.0,28911000.0,11671000.0,39584000.0,28313000.0,,
Net Interest Income,-2719000.0,-2717000.0,-2784000.0,-3067000.0,-3426000.0,,
Interest Expense,2719000.0,2717000.0,2784000.0,3067000.0,3426000.0,,
Normalized Income,28037000.0,19711000.0,5868000.0,27669000.0,19073000.0,,
Net Income From Continuing And Discontinued Operation,26442000.0,21348000.0,4946000.0,28119000.0,19054000.0,,
Total Expenses,48807000.0,45891000.0,70160000.0,45619000.0,43805000.0,,
Rent Expense Supplemental,,117000.0,,,,80000.0,
Diluted Average Shares,49636088.0,49564721.0,49589458.0,49521246.0,49398463.0,,
Basic Average Shares,48434446.0,48135231.0,48095488.0,48066358.0,47821115.0,,
Diluted EPS,0.53,0.43,0.1,0.57,0.39,,
Basic EPS,0.55,0.44,0.1,0.59,0.4,,
Diluted NI Availto Com Stockholders,26442000.0,21348000.0,4946000.0,28119000.0,19054000.0,,
Net Income Common Stockholders,26442000.0,21348000.0,4946000.0,28119000.0,19054000.0,,
Net Income,26442000.0,21348000.0,4946000.0,28119000.0,19054000.0,,
Minority Interests,,,,,,,0.0
Net Income Including Noncontrolling Interests,26442000.0,21348000.0,4946000.0,28119000.0,19054000.0,,
Net Income Discontinuous Operations,-1595000.0,1637000.0,-922000.0,450000.0,-19000.0,,
Net Income Continuous Operations,28037000.0,19711000.0,5868000.0,27669000.0,19073000.0,,
Tax Provision,9515000.0,6483000.0,3019000.0,8848000.0,5814000.0,,
Pretax Income,37552000.0,26194000.0,8887000.0,36517000.0,24887000.0,,
Other Income Expense,-108000.0,-117000.0,,,36000.0,-80000.0,27000.0
Net Non Operating Interest Income Expense,-2719000.0,-2717000.0,-2784000.0,-3067000.0,-3426000.0,,
Interest Expense Non Operating,2719000.0,2717000.0,2784000.0,3067000.0,3426000.0,,
Other Operating Expenses,-1422000.0,-1084000.0,-6525000.0,1662000.0,-825000.0,,
Depreciation And Amortization In Income Statement,1691000.0,1721000.0,,,1946000.0,2168000.0,
Amortization,610000.0,609000.0,,,609000.0,812000.0,
Depreciation Income Statement,1081000.0,1112000.0,,,1337000.0,1356000.0,
Selling General And Administration,4719000.0,6222000.0,9768000.0,8174000.0,8745000.0,,
General And Administrative Expense,4719000.0,6222000.0,9768000.0,8174000.0,8745000.0,,
Other Gand A,2785000.0,3398000.0,-5371000.0,8174000.0,4571000.0,,
Salaries And Wages,1934000.0,2824000.0,,,4174000.0,3330000.0,
Total Revenue,86359000.0,72085000.0,79047000.0,82136000.0,68692000.0,,
Operating Revenue,86359000.0,72085000.0,79047000.0,82136000.0,68692000.0,,
Loss Adjustment Expense,15911000.0,11764000.0,29794000.0,11774000.0,15748000.0,,
Net Policyholder Benefits And Claims,15911000.0,11764000.0,29794000.0,11774000.0,15748000.0,,
