,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.27129,0.21,0.109133,0.21,0.130758,
Net Income From Continuing Operation Net Minority Interest,599000000.0,29000000.0,1902000000.0,-93000000.0,1755000000.0,
EBIT,874000000.0,195000000.0,2185000000.0,142000000.0,2069000000.0,
Net Interest Income,-52000000.0,-50000000.0,-50000000.0,-50000000.0,-50000000.0,
Interest Expense,52000000.0,50000000.0,50000000.0,50000000.0,50000000.0,
Normalized Income,599000000.0,29000000.0,1902000000.0,-93000000.0,1755000000.0,
Net Income From Continuing And Discontinued Operation,599000000.0,29000000.0,1902000000.0,-93000000.0,1755000000.0,
Total Expenses,3396000000.0,3308000000.0,3363000000.0,2943000000.0,3138000000.0,
Diluted Average Shares,538425000.0,546878000.0,555483000.0,560414000.0,566838000.0,
Basic Average Shares,536688000.0,544707000.0,552767000.0,557899000.0,564573000.0,
Diluted EPS,1.11,0.05,3.42,-0.17,3.1,
Basic EPS,1.12,0.05,3.44,-0.17,3.11,
Diluted NI Availto Com Stockholders,599000000.0,29000000.0,1902000000.0,-93000000.0,1755000000.0,
Net Income Common Stockholders,599000000.0,29000000.0,1902000000.0,-93000000.0,1755000000.0,
Net Income,599000000.0,29000000.0,1902000000.0,-93000000.0,1755000000.0,
Net Income Including Noncontrolling Interests,599000000.0,29000000.0,1902000000.0,-93000000.0,1755000000.0,
Net Income Continuous Operations,599000000.0,29000000.0,1902000000.0,-93000000.0,1755000000.0,
Tax Provision,223000000.0,116000000.0,233000000.0,185000000.0,264000000.0,
Pretax Income,822000000.0,145000000.0,2135000000.0,92000000.0,2019000000.0,
Other Income Expense,30000000.0,25000000.0,24000000.0,23000000.0,22000000.0,
Net Non Operating Interest Income Expense,-52000000.0,-50000000.0,-50000000.0,-50000000.0,-50000000.0,
Interest Expense Non Operating,52000000.0,50000000.0,50000000.0,50000000.0,50000000.0,
Other Operating Expenses,58000000.0,55000000.0,95000000.0,86000000.0,19000000.0,
Total Revenue,4218000000.0,3453000000.0,5498000000.0,3035000000.0,5157000000.0,
Operating Revenue,4218000000.0,3453000000.0,5498000000.0,3035000000.0,5157000000.0,
Loss Adjustment Expense,2814000000.0,2747000000.0,2758000000.0,2342000000.0,2615000000.0,
Net Policyholder Benefits And Claims,2814000000.0,2747000000.0,2758000000.0,2342000000.0,2615000000.0,
Policyholder Benefits Gross,2878000000.0,2792000000.0,,2379000000.0,2651000000.0,2765000000.0
Policyholder Benefits Ceded,64000000.0,45000000.0,,37000000.0,36000000.0,16000000.0
