,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.21,0.21,0.21,0.0
Net Income From Continuing Operation Net Minority Interest,-140000000.0,50000000.0,122000000.0,346000000.0,-48000000.0
Net Interest Income,162000000.0,159000000.0,115000000.0,-64000000.0,-3000000.0
Interest Expense,668000000.0,687000000.0,741000000.0,820000000.0,698000000.0
Interest Income,830000000.0,846000000.0,856000000.0,756000000.0,695000000.0
Normalized Income,-140000000.0,50000000.0,122000000.0,346000000.0,-48000000.0
Net Income From Continuing And Discontinued Operation,-140000000.0,50000000.0,122000000.0,346000000.0,-48000000.0
Diluted Average Shares,1017300000.0,921900000.0,886500000.0,810100000.0,740000000.0
Basic Average Shares,1017300000.0,918300000.0,882800000.0,807200000.0,740000000.0
Diluted EPS,-0.17,0.02,0.1,0.39,-0.11
Basic EPS,-0.17,0.02,0.1,0.39,-0.11
Diluted NI Availto Com Stockholders,-178000000.0,15000000.0,86000000.0,313000000.0,-80000000.0
Net Income Common Stockholders,-178000000.0,15000000.0,86000000.0,313000000.0,-80000000.0
Preferred Stock Dividends,38000000.0,35000000.0,36000000.0,33000000.0,32000000.0
Net Income,-140000000.0,50000000.0,122000000.0,346000000.0,-48000000.0
Net Income Including Noncontrolling Interests,-140000000.0,50000000.0,122000000.0,346000000.0,-48000000.0
Net Income Continuous Operations,-140000000.0,50000000.0,122000000.0,346000000.0,-48000000.0
Pretax Income,-140000000.0,50000000.0,122000000.0,346000000.0,-48000000.0
Gain On Sale Of Security,-274000000.0,-81000000.0,39000000.0,440000000.0,-21000000.0
Selling General And Administration,18000000.0,19000000.0,22000000.0,21000000.0,15000000.0
General And Administrative Expense,18000000.0,19000000.0,22000000.0,21000000.0,15000000.0
Salaries And Wages,18000000.0,19000000.0,22000000.0,21000000.0,15000000.0
Total Revenue,-112000000.0,78000000.0,154000000.0,376000000.0,-24000000.0
Operating Revenue,-112000000.0,78000000.0,154000000.0,376000000.0,-24000000.0
Other Non Interest Expense,10000000.0,9000000.0,10000000.0,9000000.0,9000000.0
