,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,-889896.956803,-4879560.0,-9141930.0,-2061990.0,86034.883721,
Tax Rate For Calcs,0.067709,0.21,0.21,0.21,0.189922,
Normalized EBITDA,97924000.0,90875000.0,98952000.0,91284000.0,89865000.0,
Total Unusual Items,-13143000.0,-23236000.0,-43533000.0,-9819000.0,453000.0,
Total Unusual Items Excluding Goodwill,-13143000.0,-23236000.0,-43533000.0,-9819000.0,453000.0,
Net Income From Continuing Operation Net Minority Interest,9908000.0,-6804000.0,-31773000.0,-4126000.0,1979000.0,
Reconciled Depreciation,51338000.0,50930000.0,57061000.0,53900000.0,56110000.0,
Reconciled Cost Of Revenue,416888000.0,422607000.0,420426000.0,407474000.0,391718000.0,
EBITDA,84781000.0,67639000.0,55419000.0,81465000.0,90318000.0,
EBIT,33443000.0,16709000.0,-1642000.0,27565000.0,34208000.0,
Net Interest Income,-22632000.0,-22945000.0,-30301000.0,-30395000.0,-30596000.0,
Interest Expense,22632000.0,22945000.0,30301000.0,30395000.0,30596000.0,
Normalized Income,22161103.043197,11552440.0,2618070.0,3631010.0,1612034.883721,
Net Income From Continuing And Discontinued Operation,9908000.0,-6804000.0,-31773000.0,-4126000.0,1979000.0,
Total Expenses,496159000.0,500335000.0,502590000.0,486445000.0,472897000.0,
Rent Expense Supplemental,12990000.0,13643000.0,13039000.0,13150000.0,13323000.0,
Diluted Average Shares,161143556.0,156922819.0,153702650.0,133732745.0,130689889.0,
Basic Average Shares,160499581.0,156922819.0,153702650.0,133732745.0,130532144.0,
Diluted EPS,0.06,-0.04,-0.21,-0.03,0.01,
Basic EPS,0.06,-0.04,-0.21,-0.03,0.01,
Diluted NI Availto Com Stockholders,9906000.0,-6804000.0,-31773000.0,-4126000.0,1978000.0,
Average Dilution Earnings,-2000.0,,,,-1000.0,
Net Income Common Stockholders,9908000.0,-6804000.0,-31773000.0,-4126000.0,1979000.0,
Net Income,9908000.0,-6804000.0,-31773000.0,-4126000.0,1979000.0,
Minority Interests,-171000.0,36000.0,656000.0,-1033000.0,-947000.0,
Net Income Including Noncontrolling Interests,10079000.0,-6840000.0,-32429000.0,-3093000.0,2926000.0,
Net Income Continuous Operations,10079000.0,-6840000.0,-32429000.0,-3093000.0,2926000.0,
Tax Provision,732000.0,604000.0,486000.0,263000.0,686000.0,
Pretax Income,10811000.0,-6236000.0,-31943000.0,-2830000.0,3612000.0,
Other Income Expense,-12901000.0,-23559000.0,-41792000.0,-9804000.0,2524000.0,
Other Non Operating Income Expenses,1480000.0,1525000.0,4246000.0,2138000.0,3106000.0,
Special Income Charges,-12580000.0,-23543000.0,-46562000.0,-3537000.0,-15000.0,
Gain On Sale Of Ppe,,,,-4000.0,,2695000.0
Impairment Of Capital Assets,12659000.0,21706000.0,45755000.0,0.0,0.0,
Restructuring And Mergern Acquisition,-79000.0,1837000.0,807000.0,3537000.0,15000.0,
Earnings From Equity Interest,-1238000.0,-1848000.0,-2505000.0,-2123000.0,-1035000.0,
Gain On Sale Of Security,-563000.0,307000.0,3029000.0,-6282000.0,468000.0,
Net Non Operating Interest Income Expense,-22632000.0,-22945000.0,-30301000.0,-30395000.0,-30596000.0,
Interest Expense Non Operating,22632000.0,22945000.0,30301000.0,30395000.0,30596000.0,
Operating Income,46344000.0,40268000.0,40150000.0,37369000.0,31684000.0,
Operating Expense,69874000.0,67912000.0,72018000.0,69317000.0,70333000.0,
Other Operating Expenses,,,,,,-30000.0
Depreciation Amortization Depletion Income Statement,41941000.0,41114000.0,46915000.0,44246000.0,45264000.0,
Depreciation And Amortization In Income Statement,41941000.0,41114000.0,46915000.0,44246000.0,45264000.0,
Selling General And Administration,27933000.0,26798000.0,25103000.0,25071000.0,25069000.0,
General And Administrative Expense,27933000.0,26798000.0,25103000.0,25071000.0,25069000.0,
Other Gand A,14943000.0,13155000.0,12064000.0,11921000.0,11746000.0,
Rent And Landing Fees,12990000.0,13643000.0,13039000.0,13150000.0,13323000.0,
Gross Profit,116218000.0,108180000.0,112168000.0,106686000.0,102017000.0,
Cost Of Revenue,426285000.0,432423000.0,430572000.0,417128000.0,402564000.0,
Total Revenue,542503000.0,540603000.0,542740000.0,523814000.0,504581000.0,
Operating Revenue,542503000.0,540603000.0,542740000.0,523814000.0,504581000.0,
