,2025-06-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,4037695.196609,0.0,0.0
Tax Rate For Calcs,0.259508,0.21,0.21
Normalized EBITDA,378913.0,-1043655.0,2592064.0
Total Unusual Items,15559069.0,0.0,
Total Unusual Items Excluding Goodwill,15559069.0,0.0,
Net Income From Continuing Operation Net Minority Interest,5870429.0,-5599841.0,-2009689.0
Reconciled Depreciation,,3163917.0,3323687.0
Reconciled Cost Of Revenue,9515626.0,4005251.0,5252855.0
EBITDA,15937982.0,-1043655.0,2592064.0
EBIT,15937982.0,-4207572.0,-731623.0
Net Interest Income,-8010246.0,-953260.0,-288488.0
Interest Expense,8010246.0,953260.0,288488.0
Normalized Income,-5650944.803391,-5599841.0,-2009689.0
Net Income From Continuing And Discontinued Operation,5870429.0,-5599841.0,-2009689.0
Total Expenses,44239534.0,12473892.0,14203410.0
Total Operating Income As Reported,-19689341.0,-2693556.0,-463474.0
Diluted Average Shares,19472648.0,24887574.0,24887574.0
Basic Average Shares,18490316.0,24887574.0,24887574.0
Diluted EPS,0.3,-0.225005,-0.080751
Basic EPS,0.32,-0.225005,-0.080751
Diluted NI Availto Com Stockholders,5870429.0,-5599841.0,-2009689.0
Net Income Common Stockholders,5870429.0,-5599841.0,-2009689.0
Net Income,5870429.0,-5599841.0,-2009689.0
Net Income Including Noncontrolling Interests,5870429.0,-5599841.0,-2009689.0
Net Income Continuous Operations,5870429.0,-5599841.0,-2009689.0
Tax Provision,2057307.0,439009.0,989578.0
Pretax Income,7927736.0,-5160832.0,-1020111.0
Other Income Expense,35627323.0,-1514016.0,-268149.0
Other Non Operating Income Expenses,20068254.0,-1514016.0,-268149.0
Special Income Charges,15559069.0,0.0,
Other Special Charges,-15559069.0,,
Net Non Operating Interest Income Expense,-8010246.0,-953260.0,-288488.0
Interest Expense Non Operating,8010246.0,953260.0,288488.0
Operating Income,-19689341.0,-2693556.0,-463474.0
Operating Expense,34723908.0,8468641.0,8950555.0
Research And Development,4101005.0,3161395.0,3156860.0
Selling General And Administration,30622903.0,5307246.0,5793695.0
Selling And Marketing Expense,1758223.0,1409648.0,1250410.0
General And Administrative Expense,28864680.0,3897598.0,4543285.0
Other Gand A,28864680.0,3897598.0,4543285.0
Gross Profit,15034567.0,5775085.0,8487081.0
Cost Of Revenue,9515626.0,4005251.0,5252855.0
Total Revenue,24550193.0,9780336.0,13739936.0
Operating Revenue,24550193.0,9780336.0,13739936.0
