GradeDate,Firm,ToGrade,FromGrade,Action
2024-07-18 17:03:55,Morgan Stanley,Overweight,Overweight,main
2024-07-18 16:26:38,Wells Fargo,Underweight,Underweight,main
2024-07-18 15:07:26,Barclays,Equal-Weight,Equal-Weight,main
2024-07-18 12:17:13,RBC Capital,Outperform,Outperform,main
2024-07-08 13:04:19,JP Morgan,Neutral,Underweight,up
2024-07-08 11:18:38,"Keefe, Bruyette & Woods",Outperform,Outperform,main
2024-07-01 14:47:42,Deutsche Bank,Buy,Buy,main
2024-06-25 14:33:41,Evercore ISI Group,In-Line,In-Line,main
2024-06-24 14:22:59,Citigroup,Buy,,init
2024-06-07 10:09:20,BTIG,Buy,,init
2024-04-19 18:04:08,TD Cowen,Hold,Hold,main
2024-04-19 12:27:11,BMO Capital,Market Perform,Market Perform,main
2024-04-11 18:20:33,Compass Point,Neutral,Neutral,main
2024-04-10 16:04:52,Wells Fargo,Underweight,Underweight,main
2024-04-09 11:34:59,B of A Securities,Buy,Neutral,up
2024-04-03 11:17:08,JP Morgan,Underweight,Neutral,down
2024-03-28 14:13:20,Evercore ISI Group,In-Line,In-Line,main
2024-02-08 11:17:25,Morgan Stanley,Overweight,Equal-Weight,up
2024-02-01 19:12:44,Goldman Sachs,Buy,Buy,main
2024-01-23 13:16:28,BMO Capital,Market Perform,Market Perform,main
2024-01-22 17:28:11,RBC Capital,Outperform,Outperform,reit
2024-01-22 13:06:26,Wells Fargo,Underweight,Underweight,main
2024-01-10 11:10:08,Deutsche Bank,Buy,,init
2024-01-10 10:05:12,BMO Capital,Market Perform,Outperform,down
2024-01-05 14:20:36,Raymond James,Underperform,Market Perform,down
2024-01-02 11:10:44,Barclays,Equal-Weight,Equal-Weight,main
2023-12-18 13:41:01,Goldman Sachs,Buy,Buy,main
2023-12-13 13:11:22,Morgan Stanley,Equal-Weight,Underweight,up
2023-11-30 12:09:22,Wolfe Research,Outperform,Peer Perform,up
2023-11-01 18:06:36,TD Cowen,Market Perform,,init
2023-10-19 15:59:57,BMO Capital,Outperform,Outperform,main
2023-10-19 14:27:35,Morgan Stanley,Underweight,Underweight,main
2023-10-19 11:10:47,Citigroup,Buy,Buy,main
2023-10-17 15:37:14,JP Morgan,Neutral,Neutral,main
2023-10-06 15:37:40,Citigroup,Buy,Buy,main
2023-09-29 13:23:08,Piper Sandler,Neutral,Neutral,main
2023-08-31 12:21:36,Stephens & Co.,Equal-Weight,Equal-Weight,reit
2023-07-21 13:09:38,Morgan Stanley,Underweight,Underweight,main
2023-07-20 13:55:38,RBC Capital,Outperform,Outperform,reit
2023-07-20 12:41:23,Stephens & Co.,Equal-Weight,Equal-Weight,main
2023-07-20 12:02:43,Goldman Sachs,Buy,Buy,main
2023-07-20 12:01:45,BMO Capital,Outperform,Outperform,main
2023-07-20 09:40:15,Citigroup,Buy,Buy,main
2023-07-13 13:23:32,Morgan Stanley,Underweight,Underweight,reit
2023-07-10 14:09:20,Citigroup,Buy,Buy,main
2023-06-12 11:23:08,Odeon Capital,Sell,,init
2023-04-24 10:52:58,B of A Securities,Neutral,Underperform,up
2023-04-20 11:00:43,Piper Sandler,Neutral,,main
