,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,574074.074074,0.0,-282051.282051,-309000.0,-448000.0,,
Tax Rate For Calcs,0.287037,0.234,0.141026,0.309,0.224,,
Normalized EBITDA,224000000.0,164000000.0,197000000.0,219000000.0,201000000.0,,
Total Unusual Items,2000000.0,,-2000000.0,-1000000.0,-2000000.0,-3000000.0,
Total Unusual Items Excluding Goodwill,2000000.0,,-2000000.0,-1000000.0,-2000000.0,-3000000.0,
Net Income From Continuing Operation Net Minority Interest,77000000.0,35000000.0,67000000.0,69000000.0,69000000.0,,
Reconciled Depreciation,81000000.0,80000000.0,81000000.0,77000000.0,75000000.0,,
Reconciled Cost Of Revenue,1375000000.0,1177000000.0,1286000000.0,1259000000.0,1186000000.0,,
EBITDA,226000000.0,164000000.0,195000000.0,218000000.0,199000000.0,,
EBIT,145000000.0,84000000.0,114000000.0,141000000.0,124000000.0,,
Net Interest Income,-37000000.0,-38000000.0,-36000000.0,-41000000.0,-35000000.0,,
Interest Expense,37000000.0,38000000.0,36000000.0,41000000.0,35000000.0,,
Normalized Income,75574074.074074,35000000.0,68717948.717949,69691000.0,70552000.0,,
Net Income From Continuing And Discontinued Operation,77000000.0,35000000.0,67000000.0,69000000.0,69000000.0,,
Total Expenses,1847000000.0,1635000000.0,1745000000.0,1684000000.0,1604000000.0,,
Total Operating Income As Reported,143000000.0,84000000.0,116000000.0,142000000.0,126000000.0,,
Diluted Average Shares,,417000000.0,412500000.0,414000000.0,414000000.0,375000000.0,
Basic Average Shares,,415500000.0,412500000.0,412500000.0,408000000.0,375000000.0,
Diluted EPS,,0.073333,-0.066667,0.153333,0.146667,-0.893333,
Basic EPS,,0.073333,-0.066667,0.153333,0.153333,-0.893333,
Diluted NI Availto Com Stockholders,69000000.0,31000000.0,-28000000.0,62000000.0,62000000.0,,
Average Dilution Earnings,,,,,,0.0,
Net Income Common Stockholders,69000000.0,31000000.0,-28000000.0,62000000.0,62000000.0,,
Otherunder Preferred Stock Dividend,8000000.0,0.0,95000000.0,7000000.0,7000000.0,,
Preferred Stock Dividends,,4000000.0,0.0,,,7000000.0,11000000.0
Net Income,77000000.0,35000000.0,67000000.0,69000000.0,69000000.0,,
Net Income Including Noncontrolling Interests,77000000.0,35000000.0,67000000.0,69000000.0,69000000.0,,
Net Income Continuous Operations,77000000.0,35000000.0,67000000.0,69000000.0,69000000.0,,
Tax Provision,31000000.0,11000000.0,11000000.0,31000000.0,20000000.0,,
Pretax Income,108000000.0,46000000.0,78000000.0,100000000.0,89000000.0,,
Other Income Expense,2000000.0,,-2000000.0,-1000000.0,-2000000.0,-3000000.0,
Special Income Charges,,,-1000000.0,0.0,0.0,0.0,-4000000.0
Other Special Charges,,,,,,,4000000.0
Gain On Sale Of Security,2000000.0,,-1000000.0,-1000000.0,-2000000.0,-3000000.0,
Net Non Operating Interest Income Expense,-37000000.0,-38000000.0,-36000000.0,-41000000.0,-35000000.0,,
Interest Expense Non Operating,37000000.0,38000000.0,36000000.0,41000000.0,35000000.0,,
Operating Income,143000000.0,84000000.0,116000000.0,142000000.0,126000000.0,,
Operating Expense,472000000.0,458000000.0,459000000.0,425000000.0,418000000.0,,
Selling General And Administration,472000000.0,458000000.0,459000000.0,425000000.0,418000000.0,,
General And Administrative Expense,472000000.0,,,,418000000.0,,430000000.0
Other Gand A,472000000.0,,,,418000000.0,,433000000.0
Salaries And Wages,,,,,,,-3000000.0
Gross Profit,615000000.0,542000000.0,575000000.0,567000000.0,544000000.0,,
Cost Of Revenue,1375000000.0,1177000000.0,1286000000.0,1259000000.0,1186000000.0,,
Total Revenue,1990000000.0,1719000000.0,1861000000.0,1826000000.0,1730000000.0,,
Operating Revenue,1990000000.0,1719000000.0,1861000000.0,1826000000.0,1730000000.0,,
