,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,438356.164384,-60900000.0,2340000.0,-2100000.0,2065573.770492,,
Tax Rate For Calcs,0.109589,0.21,0.06,0.21,0.086066,,
Normalized EBITDA,170000000.0,749000000.0,183000000.0,118000000.0,201000000.0,,
Total Unusual Items,4000000.0,-290000000.0,39000000.0,-10000000.0,24000000.0,,
Total Unusual Items Excluding Goodwill,4000000.0,-290000000.0,39000000.0,-10000000.0,24000000.0,,
Net Income From Continuing Operation Net Minority Interest,130000000.0,210000000.0,252000000.0,107000000.0,223000000.0,,
Reconciled Depreciation,60000000.0,49000000.0,47000000.0,44000000.0,43000000.0,,
Reconciled Cost Of Revenue,30000000.0,28000000.0,28000000.0,32000000.0,33000000.0,,
EBITDA,174000000.0,459000000.0,222000000.0,108000000.0,225000000.0,,
EBIT,114000000.0,410000000.0,175000000.0,64000000.0,182000000.0,,
Net Interest Income,27000000.0,27000000.0,28000000.0,29000000.0,32000000.0,,
Interest Income,27000000.0,27000000.0,28000000.0,29000000.0,32000000.0,,
Normalized Income,126438356.164384,439100000.0,215340000.0,114900000.0,201065573.770492,,
Net Income From Continuing And Discontinued Operation,130000000.0,210000000.0,252000000.0,107000000.0,223000000.0,,
Total Expenses,939000000.0,831000000.0,808000000.0,780000000.0,757000000.0,,
Total Operating Income As Reported,114000000.0,410000000.0,175000000.0,64000000.0,182000000.0,,
Diluted Average Shares,1065000000.0,,1064000000.0,1063000000.0,1060000000.0,1057533533.0,
Basic Average Shares,1058000000.0,,1052000000.0,1049000000.0,1044000000.0,1032360816.0,
Diluted EPS,0.12,,0.24,0.1,0.21,0.21,
Basic EPS,0.12,,0.24,0.1,0.21,0.22,
Diluted NI Availto Com Stockholders,130000000.0,210000000.0,252000000.0,107000000.0,223000000.0,,
Net Income Common Stockholders,130000000.0,210000000.0,252000000.0,107000000.0,223000000.0,,
Net Income,130000000.0,210000000.0,252000000.0,107000000.0,223000000.0,,
Net Income Including Noncontrolling Interests,130000000.0,210000000.0,252000000.0,107000000.0,223000000.0,,
Net Income Continuous Operations,130000000.0,210000000.0,252000000.0,107000000.0,223000000.0,,
Tax Provision,16000000.0,-66000000.0,16000000.0,-43000000.0,21000000.0,,
Pretax Income,146000000.0,144000000.0,268000000.0,64000000.0,244000000.0,,
Other Income Expense,5000000.0,-293000000.0,65000000.0,-29000000.0,30000000.0,,
Other Non Operating Income Expenses,1000000.0,-3000000.0,26000000.0,-19000000.0,6000000.0,,
Special Income Charges,,0.0,0.0,,,0.0,-6000000.0
Restructuring And Mergern Acquisition,,,,,,0.0,6000000.0
Earnings From Equity Interest,,,,,,-7000000.0,-1000000.0
Gain On Sale Of Security,4000000.0,-290000000.0,39000000.0,-10000000.0,24000000.0,,
Net Non Operating Interest Income Expense,27000000.0,27000000.0,28000000.0,29000000.0,32000000.0,,
Interest Income Non Operating,27000000.0,27000000.0,28000000.0,29000000.0,32000000.0,,
Operating Income,114000000.0,410000000.0,175000000.0,64000000.0,182000000.0,,
Operating Expense,909000000.0,803000000.0,780000000.0,748000000.0,724000000.0,,
Research And Development,650000000.0,546000000.0,533000000.0,507000000.0,485000000.0,,
Selling General And Administration,259000000.0,257000000.0,247000000.0,241000000.0,239000000.0,,
Gross Profit,1023000000.0,1213000000.0,955000000.0,812000000.0,906000000.0,,
Cost Of Revenue,30000000.0,28000000.0,28000000.0,32000000.0,33000000.0,,
Total Revenue,1053000000.0,1241000000.0,983000000.0,844000000.0,939000000.0,,
Operating Revenue,1053000000.0,1241000000.0,983000000.0,844000000.0,939000000.0,,
