,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,121757.198953,98186.382393,78641.661195,78837.328767,198784.562842,
Tax Rate For Calcs,0.256872,0.267538,0.275936,0.255137,0.30724,
Normalized EBITDA,14175000.0,12503000.0,11439000.0,10012000.0,12319000.0,
Total Unusual Items,474000.0,367000.0,285000.0,309000.0,647000.0,
Total Unusual Items Excluding Goodwill,474000.0,367000.0,285000.0,309000.0,647000.0,
Net Income From Continuing Operation Net Minority Interest,6813000.0,5325000.0,4411000.0,3480000.0,5071000.0,
Reconciled Depreciation,3288000.0,3424000.0,3465000.0,3453000.0,3443000.0,
Reconciled Cost Of Revenue,13337000.0,13325000.0,13073000.0,12817000.0,12713000.0,
EBITDA,14649000.0,12870000.0,11724000.0,10321000.0,12966000.0,
EBIT,11361000.0,9445000.0,8259000.0,6868000.0,9522000.0,
Net Interest Income,-2193000.0,-2175000.0,-2167000.0,-2196000.0,-2202000.0,
Interest Expense,2193000.0,2175000.0,2167000.0,2196000.0,2202000.0,
Normalized Income,6460757.198953,5056186.382393,4204641.661195,3249837.328767,4622784.562842,
Net Income From Continuing And Discontinued Operation,6813000.0,5325000.0,4411000.0,3480000.0,5071000.0,
Total Expenses,18197000.0,18273000.0,18144000.0,17838000.0,17660000.0,
Total Operating Income As Reported,8590000.0,7198000.0,4719000.0,5514000.0,6661000.0,
Diluted Average Shares,10298000.0,10295000.0,10291000.0,,10279000.0,10002000.0
Basic Average Shares,10297000.0,10293000.0,10287000.0,,10276000.0,9998000.0
Diluted EPS,0.66,0.52,0.43,,0.49,0.44
Basic EPS,0.66,0.52,0.43,,0.49,0.44
Diluted NI Availto Com Stockholders,6813000.0,5325000.0,4411000.0,3480000.0,5071000.0,
Net Income Common Stockholders,6813000.0,5325000.0,4411000.0,3480000.0,5071000.0,
Net Income,6813000.0,5325000.0,4411000.0,3480000.0,5071000.0,
Net Income Including Noncontrolling Interests,6813000.0,5325000.0,4411000.0,3480000.0,5071000.0,
Net Income Continuous Operations,6813000.0,5325000.0,4411000.0,3480000.0,5071000.0,
Tax Provision,2355000.0,1945000.0,1681000.0,1192000.0,2249000.0,
Pretax Income,9168000.0,7270000.0,6092000.0,4672000.0,7320000.0,
Other Income Expense,416000.0,302000.0,1859000.0,162000.0,612000.0,
Other Non Operating Income Expenses,-58000.0,-65000.0,1574000.0,-147000.0,-35000.0,
Special Income Charges,474000.0,367000.0,285000.0,309000.0,647000.0,
Other Special Charges,-474000.0,-367000.0,-285000.0,-309000.0,-647000.0,
Net Non Operating Interest Income Expense,-2193000.0,-2175000.0,-2167000.0,-2196000.0,-2202000.0,
Interest Expense Non Operating,2193000.0,2175000.0,2167000.0,2196000.0,2202000.0,
Operating Income,10945000.0,9143000.0,6400000.0,6706000.0,8910000.0,
Operating Expense,4859000.0,4949000.0,5071000.0,5021000.0,4948000.0,
Other Taxes,1572000.0,1524000.0,1606000.0,1568000.0,1504000.0,
Depreciation Amortization Depletion Income Statement,3287000.0,3425000.0,3465000.0,3453000.0,3444000.0,
Depreciation And Amortization In Income Statement,3287000.0,3425000.0,3465000.0,3453000.0,3444000.0,
Gross Profit,15804000.0,14092000.0,11471000.0,11727000.0,13858000.0,
Cost Of Revenue,13338000.0,13324000.0,13073000.0,12817000.0,12712000.0,
Total Revenue,29142000.0,27416000.0,24544000.0,24544000.0,26570000.0,
Operating Revenue,29142000.0,27416000.0,24544000.0,24544000.0,26570000.0,
