,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-16513.926325,-15313.2,-609210.0,-2724.3,-15561.538837
Tax Rate For Calcs,0.000898,0.0012,0.21,0.0009,0.006981
Normalized EBITDA,10030000.0,-10191000.0,-1428000.0,-8131000.0,-11851000.0
Total Unusual Items,-18380000.0,-12761000.0,-2901000.0,-3027000.0,-2229000.0
Total Unusual Items Excluding Goodwill,-18380000.0,-12761000.0,-2901000.0,-3027000.0,-2229000.0
Net Income From Continuing Operation Net Minority Interest,-41144000.0,-51907000.0,-33332000.0,-39616000.0,-40680000.0
Reconciled Depreciation,20522000.0,21178000.0,21411000.0,21922000.0,21071000.0
Reconciled Cost Of Revenue,39724000.0,36109000.0,38514000.0,29916000.0,25744000.0
EBITDA,-8350000.0,-22952000.0,-4329000.0,-11158000.0,-14080000.0
EBIT,-28872000.0,-44130000.0,-25740000.0,-33080000.0,-35151000.0
Net Interest Income,-12309000.0,-7841000.0,-7151000.0,-6572000.0,-5815000.0
Interest Expense,12309000.0,7841000.0,7151000.0,6572000.0,5815000.0
Normalized Income,-22780513.926325,-39161313.2,-31040210.0,-36591724.3,-38466561.538837
Net Income From Continuing And Discontinued Operation,-41144000.0,-51907000.0,-33332000.0,-39616000.0,-40680000.0
Total Expenses,197029000.0,200886000.0,197710000.0,181395000.0,178651000.0
Total Operating Income As Reported,-13085000.0,-44291000.0,-23818000.0,-33703000.0,-35307000.0
Diluted Average Shares,149907000.0,146732000.0,144583000.0,143492000.0,142687000.0
Basic Average Shares,149907000.0,146732000.0,144583000.0,143492000.0,142687000.0
Diluted EPS,-0.27,-0.35,-0.23,-0.28,-0.29
Basic EPS,-0.27,-0.35,-0.23,-0.28,-0.29
Diluted NI Availto Com Stockholders,-41144000.0,-51907000.0,-33332000.0,-39616000.0,-40680000.0
Net Income Common Stockholders,-41144000.0,-51907000.0,-33332000.0,-39616000.0,-40680000.0
Net Income,-41144000.0,-51907000.0,-33332000.0,-39616000.0,-40680000.0
Net Income Including Noncontrolling Interests,-41144000.0,-51907000.0,-33332000.0,-39616000.0,-40680000.0
Net Income Continuous Operations,-41144000.0,-51907000.0,-33332000.0,-39616000.0,-40680000.0
Tax Provision,-37000.0,-64000.0,441000.0,-36000.0,-286000.0
Pretax Income,-41181000.0,-51971000.0,-32891000.0,-39652000.0,-40966000.0
Other Income Expense,-17387000.0,-12424000.0,-4823000.0,-2404000.0,-2073000.0
Other Non Operating Income Expenses,993000.0,337000.0,-1922000.0,623000.0,156000.0
Special Income Charges,-1600000.0,-30161000.0,-2901000.0,-3027000.0,-2229000.0
Other Special Charges,1593000.0,29790000.0,1188000.0,2093000.0,2090000.0
Restructuring And Mergern Acquisition,7000.0,371000.0,1713000.0,934000.0,139000.0
Gain On Sale Of Security,-16780000.0,17400000.0,,,
Net Non Operating Interest Income Expense,-12309000.0,-7841000.0,-7151000.0,-6572000.0,-5815000.0
Interest Expense Non Operating,12309000.0,7841000.0,7151000.0,6572000.0,5815000.0
Operating Income,-11485000.0,-31706000.0,-20917000.0,-30676000.0,-33078000.0
Operating Expense,140586000.0,147702000.0,142505000.0,133405000.0,135672000.0
Depreciation Amortization Depletion Income Statement,3803000.0,4103000.0,4720000.0,3848000.0,3836000.0
Depreciation And Amortization In Income Statement,3803000.0,4103000.0,4720000.0,3848000.0,3836000.0
Amortization,3803000.0,4103000.0,4720000.0,3848000.0,3836000.0
Amortization Of Intangibles Income Statement,3803000.0,4103000.0,4720000.0,3848000.0,3836000.0
Research And Development,18276000.0,16582000.0,23244000.0,20357000.0,19105000.0
Selling General And Administration,118507000.0,127017000.0,114541000.0,109200000.0,112731000.0
Gross Profit,129101000.0,115996000.0,121588000.0,102729000.0,102594000.0
Cost Of Revenue,56443000.0,53184000.0,55205000.0,47990000.0,42979000.0
Total Revenue,185544000.0,169180000.0,176793000.0,150719000.0,145573000.0
Operating Revenue,185544000.0,169180000.0,176793000.0,150719000.0,145573000.0
