,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31
Tax Effect Of Unusual Items,-461106.933301,-1530800.0,-741510.0,0.0,-637145.3,
Tax Rate For Calcs,0.173871,0.4,0.21,0.21,0.0397,
Normalized EBITDA,13936000.0,-8197000.0,11319000.0,6838000.0,23256000.0,
Total Unusual Items,-2652000.0,-3827000.0,-3531000.0,0.0,-16049000.0,
Total Unusual Items Excluding Goodwill,-2652000.0,-3827000.0,-3531000.0,0.0,-16049000.0,
Net Income From Continuing Operation Net Minority Interest,6899000.0,-19112000.0,6574000.0,3928000.0,-7342000.0,
Reconciled Depreciation,2901000.0,3182000.0,3192000.0,3254000.0,3228000.0,
Reconciled Cost Of Revenue,24768000.0,21228000.0,26044000.0,23044000.0,21755000.0,
EBITDA,11284000.0,-12024000.0,7788000.0,6838000.0,7207000.0,
EBIT,8383000.0,-15206000.0,4596000.0,3584000.0,3979000.0,
Net Interest Income,4670000.0,3914000.0,4391000.0,4188000.0,4424000.0,
Interest Expense,32000.0,59000.0,,83000.0,,
Interest Income,4702000.0,3973000.0,4391000.0,4271000.0,4424000.0,
Normalized Income,9089893.066699,-16815800.0,9363490.0,3928000.0,8069854.7,
Net Income From Continuing And Discontinued Operation,6899000.0,-19112000.0,6574000.0,3928000.0,-7342000.0,
Total Expenses,108232000.0,106761000.0,105139000.0,93787000.0,88915000.0,
Total Operating Income As Reported,3681000.0,-19179000.0,1066000.0,-687000.0,-12070000.0,
Diluted Average Shares,50010380.0,50928171.0,50941760.0,49244981.0,49088373.0,
Basic Average Shares,50010380.0,50928171.0,49402597.0,49244981.0,49088373.0,
Diluted EPS,0.14,-0.38,0.13,0.08,-0.15,
Basic EPS,0.14,-0.38,0.13,0.08,-0.15,
Diluted NI Availto Com Stockholders,6899000.0,-19112000.0,6574000.0,3928000.0,-7342000.0,
Net Income Common Stockholders,6899000.0,-19112000.0,6574000.0,3928000.0,-7342000.0,
Net Income,6899000.0,-19112000.0,6574000.0,3928000.0,-7342000.0,
Net Income Including Noncontrolling Interests,6899000.0,-19112000.0,6574000.0,3928000.0,-7342000.0,
Net Income Continuous Operations,6899000.0,-19112000.0,6574000.0,3928000.0,-7342000.0,
Tax Provision,1452000.0,3847000.0,-1118000.0,-427000.0,-304000.0,
Pretax Income,8351000.0,-15265000.0,5456000.0,3501000.0,-7646000.0,
Other Income Expense,-2652000.0,-3827000.0,-3531000.0,,-16049000.0,-1766000.0
Special Income Charges,-2652000.0,-3827000.0,-3531000.0,0.0,-16049000.0,
Other Special Charges,,,0.0,,15447000.0,
Restructuring And Mergern Acquisition,2652000.0,3827000.0,3530000.0,0.0,602000.0,
Net Non Operating Interest Income Expense,4670000.0,3914000.0,4391000.0,4188000.0,4424000.0,
Interest Expense Non Operating,32000.0,59000.0,,83000.0,,
Interest Income Non Operating,4702000.0,3973000.0,4391000.0,4271000.0,4424000.0,
Operating Income,6333000.0,-15352000.0,4596000.0,-687000.0,3979000.0,
Operating Expense,82810000.0,84605000.0,78164000.0,69791000.0,66211000.0,
Depreciation Amortization Depletion Income Statement,2247000.0,2254000.0,2261000.0,2302000.0,2279000.0,
Depreciation And Amortization In Income Statement,2247000.0,2254000.0,2261000.0,2302000.0,2279000.0,
Amortization,2247000.0,2254000.0,2261000.0,2302000.0,2279000.0,
Amortization Of Intangibles Income Statement,2247000.0,2254000.0,2261000.0,2302000.0,2279000.0,
Research And Development,12792000.0,11056000.0,9714000.0,8167000.0,8949000.0,
Selling General And Administration,67771000.0,71295000.0,66189000.0,59322000.0,54983000.0,
Selling And Marketing Expense,51444000.0,56191000.0,55094000.0,47544000.0,44270000.0,
General And Administrative Expense,16327000.0,15104000.0,11095000.0,11778000.0,10713000.0,
Other Gand A,16327000.0,15104000.0,11095000.0,11778000.0,10713000.0,
Gross Profit,89143000.0,69253000.0,82760000.0,69104000.0,70190000.0,
Cost Of Revenue,25422000.0,22156000.0,26975000.0,23996000.0,22704000.0,
Total Revenue,114565000.0,91409000.0,109735000.0,93100000.0,92894000.0,
Operating Revenue,114565000.0,91409000.0,109735000.0,93100000.0,92894000.0,
