,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,1050000.0,350426.553475,455221.0,648480.0,0.0,,
Tax Rate For Calcs,0.21,0.206619,0.247,0.24,0.228972,,
Normalized EBITDA,295000000.0,330050000.0,332798000.0,601212000.0,293000000.0,,
Total Unusual Items,5000000.0,1696000.0,1843000.0,2702000.0,3760000.0,,
Total Unusual Items Excluding Goodwill,5000000.0,1696000.0,1843000.0,2702000.0,3760000.0,,
Net Income From Continuing Operation Net Minority Interest,271000000.0,192705000.0,186950000.0,390112000.0,165000000.0,,
Reconciled Depreciation,40000000.0,41659000.0,40156000.0,42185000.0,41000000.0,,
Reconciled Cost Of Revenue,1423000000.0,1379872000.0,1305612000.0,1362153000.0,1372000000.0,,
EBITDA,300000000.0,331746000.0,334641000.0,603914000.0,293000000.0,,
EBIT,260000000.0,290087000.0,294485000.0,561729000.0,252000000.0,,
Net Interest Income,-44000000.0,-31091000.0,-47472000.0,-49747000.0,-38000000.0,,
Interest Expense,44000000.0,47196000.0,46089000.0,48377000.0,38000000.0,,
Normalized Income,267050000.0,191359426.553475,185562221.0,388058480.0,165000000.0,,
Net Income From Continuing And Discontinued Operation,271000000.0,192705000.0,186950000.0,390112000.0,165000000.0,,
Total Expenses,2667000000.0,2699659000.0,2625931000.0,2597777000.0,2687000000.0,,
Total Operating Income As Reported,257000000.0,274968000.0,291259000.0,548609000.0,255000000.0,,
Diluted Average Shares,124475670.0,,127940137.0,128848077.0,129917263.0,,130489050.0
Basic Average Shares,124114149.0,,127429723.0,128391878.0,129387052.0,,130121092.0
Diluted EPS,2.16,,1.45,3.01,1.27,,1.11
Basic EPS,2.17,,1.46,3.02,1.27,,1.11
Diluted NI Availto Com Stockholders,269000000.0,191800000.0,185869000.0,387786000.0,164000000.0,,
Average Dilution Earnings,,,3000.0,-2326000.0,,2000.0,2000.0
Net Income Common Stockholders,269000000.0,191811000.0,185866000.0,390112000.0,164000000.0,,
Otherunder Preferred Stock Dividend,,894000.0,1084000.0,,,1072000.0,1213000.0
Net Income,271000000.0,192705000.0,186950000.0,390112000.0,165000000.0,,
Minority Interests,,,,,,0.0,0.0
Net Income Including Noncontrolling Interests,271000000.0,192705000.0,186950000.0,390112000.0,165000000.0,,
Net Income Continuous Operations,271000000.0,192705000.0,186950000.0,390112000.0,165000000.0,,
Tax Provision,-55000000.0,50186000.0,61446000.0,123240000.0,49000000.0,,
Pretax Income,216000000.0,242891000.0,248396000.0,513352000.0,214000000.0,,
Other Income Expense,3000000.0,-986000.0,4609000.0,14490000.0,-3000000.0,,
Other Non Operating Income Expenses,-2000000.0,-2682000.0,2766000.0,11788000.0,-3000000.0,,
Gain On Sale Of Security,5000000.0,1696000.0,1843000.0,2702000.0,3760000.0,,
Net Non Operating Interest Income Expense,-44000000.0,-31091000.0,-47472000.0,-49747000.0,-38000000.0,,
Total Other Finance Cost,,1895000.0,1383000.0,1370000.0,1351000.0,1340000.0,
Interest Expense Non Operating,44000000.0,47196000.0,46089000.0,48377000.0,38000000.0,,
Operating Income,257000000.0,274968000.0,291259000.0,548609000.0,255000000.0,,
Operating Expense,1244000000.0,1319787000.0,1320319000.0,1235495000.0,1315000000.0,,
Other Operating Expenses,881000000.0,928463000.0,938534000.0,968022000.0,945000000.0,,
Depreciation Amortization Depletion Income Statement,40000000.0,41659000.0,40156000.0,42056000.0,41000000.0,,
Depreciation And Amortization In Income Statement,40000000.0,41659000.0,40156000.0,42056000.0,41000000.0,,
Selling General And Administration,323000000.0,349665000.0,341629000.0,225417000.0,329000000.0,,
General And Administrative Expense,323000000.0,349665000.0,341629000.0,225417000.0,329000000.0,,
Other Gand A,323000000.0,349665000.0,341629000.0,225417000.0,329000000.0,,
Gross Profit,1501000000.0,1594755000.0,1611578000.0,1784104000.0,1570000000.0,,
Cost Of Revenue,1423000000.0,1379872000.0,1305612000.0,1362282000.0,1372000000.0,,
Total Revenue,2924000000.0,2974627000.0,2917190000.0,3146386000.0,2942000000.0,,
Operating Revenue,2924000000.0,2974627000.0,2917190000.0,3146386000.0,2942000000.0,,
