,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31
Tax Effect Of Unusual Items,0.0,0.0,1641492.15,0.0,5708434.0,
Tax Rate For Calcs,0.0,0.0,0.15,0.0,0.4,
Normalized EBITDA,-4508196.0,-10265878.0,-20169113.0,-8257913.0,-22770295.0,
Total Unusual Items,-617979.0,4570368.0,10943281.0,-1567714.0,14271085.0,
Total Unusual Items Excluding Goodwill,-617979.0,4570368.0,10943281.0,-1567714.0,14271085.0,
Net Income From Continuing Operation Net Minority Interest,-5802175.0,-1214165.0,1715759.0,-11294603.0,6001543.0,
Reconciled Depreciation,26657.0,72444.0,3816.0,3819.0,3818.0,
EBITDA,-5126175.0,-5695510.0,-9225832.0,-9825627.0,-8499210.0,
EBIT,-5152832.0,-5767954.0,-9229648.0,-9829446.0,-8503028.0,
Net Interest Income,13050.0,2.0,15606.0,81595.0,190815.0,
Interest Expense,,,,,,0.0
Interest Income,13050.0,2.0,15606.0,81595.0,190815.0,
Normalized Income,-5184196.0,-5784533.0,-7586029.85,-9726889.0,-2561108.0,
Net Income From Continuing And Discontinued Operation,-5802175.0,-1214165.0,1715759.0,-11294603.0,6001543.0,
Total Expenses,5152832.0,5767954.0,9229648.0,9829446.0,8503028.0,
Total Operating Income As Reported,-5152832.0,-5767954.0,-9229648.0,-9829446.0,-8503028.0,
Diluted Average Shares,26641036.0,,15981726.0,15981726.0,16674891.0,
Basic Average Shares,26641036.0,,15981726.0,15981726.0,15981726.0,
Diluted EPS,-0.22,,0.11,-0.71,-0.5,
Basic EPS,-0.22,,0.11,-0.71,0.38,
Diluted NI Availto Com Stockholders,-5802175.0,-1214165.0,1715759.0,-11294603.0,-8280535.0,
Average Dilution Earnings,0.0,,,,-14282078.0,
Net Income Common Stockholders,-5802175.0,-1214165.0,1715759.0,-11294603.0,6001543.0,
Net Income,-5802175.0,-1214165.0,1715759.0,-11294603.0,6001543.0,
Minority Interests,27101.0,34587.0,23517.0,39307.0,42671.0,
Net Income Including Noncontrolling Interests,-5829276.0,-1248752.0,1692242.0,-11333910.0,5958872.0,
Net Income Continuous Operations,-5829276.0,-1248752.0,1692242.0,-11333910.0,5958872.0,
Pretax Income,-5829276.0,-1248752.0,1692242.0,-11333910.0,5958872.0,
Other Income Expense,-689494.0,4519200.0,10906284.0,-1586059.0,14271085.0,
Earnings From Equity Interest,-71515.0,-51168.0,-36997.0,-18345.0,0.0,
Gain On Sale Of Security,-617979.0,4570368.0,10943281.0,-1567714.0,14271085.0,
Net Non Operating Interest Income Expense,13050.0,2.0,15606.0,81595.0,190815.0,
Interest Expense Non Operating,,,,,,0.0
Interest Income Non Operating,13050.0,2.0,15606.0,81595.0,190815.0,
Operating Income,-5152832.0,-5767954.0,-9229648.0,-9829446.0,-8503028.0,
Operating Expense,5152832.0,5767954.0,9229648.0,9829446.0,8503028.0,
Research And Development,3665341.0,4405463.0,7657632.0,8257455.0,6857257.0,
Selling General And Administration,1487491.0,1362491.0,1572016.0,1571991.0,1645771.0,
General And Administrative Expense,1487491.0,1362491.0,1572016.0,1571991.0,1645771.0,
Other Gand A,1487491.0,1362491.0,1572016.0,1306089.0,1645771.0,
Salaries And Wages,,,,265902.0,,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
