,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.084983,0.163,0.21,0.171,0.184,,
Normalized EBITDA,110939000.0,101969000.0,99919000.0,106706000.0,95123000.0,,
Total Unusual Items,,,0.0,0.0,,,0.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,,,0.0
Net Income From Continuing Operation Net Minority Interest,61006000.0,51937000.0,58384000.0,53692000.0,49044000.0,,
Reconciled Depreciation,32067000.0,29784000.0,31702000.0,31071000.0,25981000.0,,
Reconciled Cost Of Revenue,394827000.0,362512000.0,398831000.0,393589000.0,361489000.0,,
EBITDA,110939000.0,101969000.0,99919000.0,106706000.0,95123000.0,,
EBIT,78872000.0,72185000.0,68217000.0,75635000.0,69142000.0,,
Net Interest Income,-12200000.0,-10104000.0,-10849000.0,-10855000.0,-9017000.0,,
Interest Expense,12200000.0,10104000.0,10849000.0,10855000.0,9017000.0,,
Normalized Income,61006000.0,51937000.0,58384000.0,53692000.0,49044000.0,,
Net Income From Continuing And Discontinued Operation,61006000.0,51937000.0,58384000.0,53692000.0,49044000.0,,
Total Expenses,592756000.0,552676000.0,596863000.0,579577000.0,535424000.0,,
Total Operating Income As Reported,79236000.0,72626000.0,69179000.0,75349000.0,68912000.0,,
Diluted Average Shares,,40844000.0,41087000.0,41417000.0,41204000.0,41491000.0,
Basic Average Shares,,40166000.0,40312000.0,40798000.0,40690000.0,40986000.0,
Diluted EPS,,1.27,1.42,1.3,1.19,0.9,
Basic EPS,,1.29,1.45,1.32,1.21,0.91,
Diluted NI Availto Com Stockholders,61006000.0,51937000.0,58384000.0,53692000.0,49044000.0,,
Net Income Common Stockholders,61006000.0,51937000.0,58384000.0,53692000.0,49044000.0,,
Net Income,61006000.0,51937000.0,58384000.0,53692000.0,49044000.0,,
Minority Interests,0.0,0.0,2000.0,3000.0,10000.0,,
Net Income Including Noncontrolling Interests,61006000.0,51937000.0,58382000.0,53689000.0,49034000.0,,
Net Income Discontinuous Operations,,,,,,,0.0
Net Income Continuous Operations,61006000.0,51937000.0,58382000.0,53689000.0,49034000.0,,
Tax Provision,5666000.0,10144000.0,-1014000.0,11091000.0,11091000.0,,
Pretax Income,66672000.0,62081000.0,57368000.0,64780000.0,60125000.0,,
Other Income Expense,-364000.0,,-962000.0,286000.0,230000.0,,401000.0
Other Non Operating Income Expenses,-364000.0,,-962000.0,286000.0,230000.0,,401000.0
Special Income Charges,,,0.0,0.0,,,0.0
Gain On Sale Of Ppe,,,0.0,0.0,,,0.0
Net Non Operating Interest Income Expense,-12200000.0,-10104000.0,-10849000.0,-10855000.0,-9017000.0,,
Interest Expense Non Operating,12200000.0,10104000.0,10849000.0,10855000.0,9017000.0,,
Operating Income,79236000.0,72185000.0,69179000.0,75349000.0,68912000.0,,
Operating Expense,179332000.0,173655000.0,180637000.0,168655000.0,157894000.0,,
Depreciation Amortization Depletion Income Statement,13470000.0,13275000.0,14307000.0,13738000.0,9940000.0,,
Depreciation And Amortization In Income Statement,13470000.0,13275000.0,14307000.0,13738000.0,9940000.0,,
Amortization,13470000.0,13275000.0,14307000.0,13738000.0,9940000.0,,
Amortization Of Intangibles Income Statement,13470000.0,13275000.0,14307000.0,13738000.0,9940000.0,,
Research And Development,33940000.0,28417000.0,28968000.0,27941000.0,28457000.0,,
Selling General And Administration,131922000.0,131963000.0,137362000.0,126976000.0,119497000.0,,
General And Administrative Expense,,131963000.0,,,,110537000.0,
Other Gand A,,131522000.0,,,,110768000.0,
Salaries And Wages,,441000.0,,,,-231000.0,
Gross Profit,258568000.0,245840000.0,249816000.0,244004000.0,226806000.0,,
Cost Of Revenue,413424000.0,379021000.0,416226000.0,410922000.0,377530000.0,,
Total Revenue,671992000.0,624861000.0,666042000.0,654926000.0,604336000.0,,
Operating Revenue,671992000.0,624861000.0,666042000.0,654926000.0,604336000.0,,
