,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-219240.0,-1112790.0,1680.0,-44868.386323,3510467.211461
Tax Rate For Calcs,0.21,0.21,0.21,0.126035,0.054694
Normalized EBITDA,28619000.0,29264000.0,27728000.0,32628000.0,29853000.0
Total Unusual Items,-1044000.0,-5299000.0,8000.0,-356000.0,64184000.0
Total Unusual Items Excluding Goodwill,-1044000.0,-5299000.0,8000.0,-356000.0,64184000.0
Net Income From Continuing Operation Net Minority Interest,8292000.0,6055000.0,56417000.0,17238000.0,76690000.0
Reconciled Depreciation,11475000.0,11498000.0,12120000.0,12925000.0,12652000.0
Reconciled Cost Of Revenue,42622000.0,40924000.0,41414000.0,41106000.0,40348000.0
EBITDA,27575000.0,23965000.0,27736000.0,32272000.0,94037000.0
EBIT,16100000.0,12467000.0,15616000.0,19347000.0,81385000.0
Net Interest Income,6022000.0,6370000.0,6876000.0,8307000.0,11976000.0
Interest Expense,2533000.0,2522000.0,2523000.0,2677000.0,2089000.0
Interest Income,8555000.0,8892000.0,9399000.0,10984000.0,14065000.0
Normalized Income,9116760.0,10241210.0,56410680.0,17549131.613677,16016467.211461
Net Income From Continuing And Discontinued Operation,8292000.0,6055000.0,56417000.0,17238000.0,76690000.0
Total Expenses,163436000.0,158057000.0,163251000.0,157190000.0,157370000.0
Total Operating Income As Reported,7545000.0,3575000.0,6217000.0,8363000.0,2208000.0
Diluted Average Shares,64004000.0,64839000.0,74610000.0,73970000.0,72522000.0
Basic Average Shares,62143000.0,62822000.0,62640000.0,62250000.0,61979000.0
Diluted EPS,0.13,0.1,0.79,0.27,0.22
Basic EPS,0.13,0.1,0.9,0.28,1.24
Diluted NI Availto Com Stockholders,8422000.0,6055000.0,113065000.0,19636000.0,16250000.0
Average Dilution Earnings,130000.0,,,2398000.0,-60440000.0
Net Income Common Stockholders,8292000.0,6055000.0,56417000.0,17238000.0,76690000.0
Net Income,8292000.0,6055000.0,56417000.0,17238000.0,76690000.0
Minority Interests,901000.0,781000.0,-7050000.0,2669000.0,1731000.0
Net Income Including Noncontrolling Interests,7391000.0,5274000.0,63467000.0,14569000.0,74959000.0
Net Income Continuous Operations,7391000.0,5274000.0,63467000.0,14569000.0,74959000.0
Tax Provision,6176000.0,4671000.0,-50374000.0,2101000.0,4337000.0
Pretax Income,13567000.0,9945000.0,13093000.0,16670000.0,79296000.0
Other Income Expense,-1044000.0,-5299000.0,8000.0,-356000.0,64184000.0
Special Income Charges,-1044000.0,-5299000.0,8000.0,-356000.0,64184000.0
Other Special Charges,,,0.0,,-65112000.0
Restructuring And Mergern Acquisition,1044000.0,5299000.0,-8000.0,356000.0,928000.0
Net Non Operating Interest Income Expense,6022000.0,6370000.0,6876000.0,8307000.0,11976000.0
Interest Expense Non Operating,2533000.0,2522000.0,2523000.0,2677000.0,2089000.0
Interest Income Non Operating,8555000.0,8892000.0,9399000.0,10984000.0,14065000.0
Operating Income,8589000.0,8874000.0,6209000.0,8719000.0,3136000.0
Operating Expense,120814000.0,117133000.0,121837000.0,116084000.0,117022000.0
Research And Development,27964000.0,25725000.0,24588000.0,25649000.0,25721000.0
Selling General And Administration,92850000.0,91408000.0,97249000.0,90435000.0,91301000.0
Selling And Marketing Expense,64712000.0,63063000.0,64769000.0,62219000.0,60248000.0
General And Administrative Expense,28138000.0,28345000.0,32480000.0,28216000.0,31053000.0
Other Gand A,28138000.0,28345000.0,32480000.0,28216000.0,31053000.0
Gross Profit,129403000.0,126007000.0,128046000.0,124803000.0,120158000.0
Cost Of Revenue,42622000.0,40924000.0,41414000.0,41106000.0,40348000.0
Total Revenue,172025000.0,166931000.0,169460000.0,165909000.0,160506000.0
Operating Revenue,172025000.0,166931000.0,169460000.0,165909000.0,160506000.0
