,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,-17027.992278,-191730.0,67659.101436,-46667.57236,1764954.545455,
Tax Rate For Calcs,0.05695,0.21,0.019453,0.029259,0.308612,
Normalized EBITDA,-1959000.0,-9677000.0,-11752000.0,-32232000.0,-11324000.0,
Total Unusual Items,-299000.0,-913000.0,3478000.0,-1595000.0,5719000.0,
Total Unusual Items Excluding Goodwill,-299000.0,-913000.0,3478000.0,-1595000.0,5719000.0,
Net Income From Continuing Operation Net Minority Interest,-1954000.0,-11326000.0,-4234000.0,-33941000.0,289000.0,
Reconciled Depreciation,1279000.0,1559000.0,1594000.0,1806000.0,1843000.0,
Reconciled Cost Of Revenue,55040000.0,51591000.0,41375000.0,38468000.0,55863000.0,
EBITDA,-2258000.0,-10590000.0,-8274000.0,-33827000.0,-5605000.0,
EBIT,-3537000.0,-12149000.0,-9868000.0,-35633000.0,-7448000.0,
Net Interest Income,1764000.0,1788000.0,2072000.0,2264000.0,2147000.0,
Interest Income,1764000.0,1788000.0,2072000.0,2264000.0,2147000.0,
Normalized Income,-1672027.992278,-10604730.0,-7644340.898564,-32392667.57236,-3665045.454545,
Net Income From Continuing And Discontinued Operation,-1954000.0,-11326000.0,-4234000.0,-33941000.0,289000.0,
Total Expenses,78414000.0,80094000.0,61382000.0,83111000.0,78890000.0,
Total Operating Income As Reported,-3537000.0,-12149000.0,-9868000.0,-35633000.0,-7448000.0,
Diluted Average Shares,78044254.0,77603604.0,75796411.0,,81006859.0,73169003.0
Basic Average Shares,78044254.0,77603604.0,75796411.0,,74139422.0,73169003.0
Diluted EPS,-0.03,-0.15,-0.06,,0.003321,-0.17
Basic EPS,-0.03,-0.15,-0.06,,0.003601,-0.17
Diluted NI Availto Com Stockholders,-1954000.0,-11326000.0,-4234000.0,-33941000.0,269000.0,
Average Dilution Earnings,0.0,,,,2000.0,0.0
Net Income Common Stockholders,-1954000.0,-11326000.0,-4234000.0,-33941000.0,267000.0,
Otherunder Preferred Stock Dividend,0.0,,,,22000.0,0.0
Net Income,-1954000.0,-11326000.0,-4234000.0,-33941000.0,289000.0,
Net Income Including Noncontrolling Interests,-1954000.0,-11326000.0,-4234000.0,-33941000.0,289000.0,
Net Income Continuous Operations,-1954000.0,-11326000.0,-4234000.0,-33941000.0,289000.0,
Tax Provision,-118000.0,52000.0,-84000.0,-1023000.0,129000.0,
Pretax Income,-2072000.0,-11274000.0,-4318000.0,-34964000.0,418000.0,
Other Income Expense,-299000.0,-913000.0,3478000.0,-1595000.0,5719000.0,
Gain On Sale Of Security,-299000.0,-913000.0,3478000.0,-1595000.0,5719000.0,
Net Non Operating Interest Income Expense,1764000.0,1788000.0,2072000.0,2264000.0,2147000.0,
Total Other Finance Cost,,,,,,-2077000.0
Interest Income Non Operating,1764000.0,1788000.0,2072000.0,2264000.0,2147000.0,
Operating Income,-3537000.0,-12149000.0,-9868000.0,-35633000.0,-7448000.0,
Operating Expense,23374000.0,28503000.0,20007000.0,44643000.0,23027000.0,
Research And Development,800000.0,971000.0,670000.0,988000.0,1076000.0,
Selling General And Administration,22574000.0,27532000.0,19337000.0,43655000.0,21951000.0,
Selling And Marketing Expense,2162000.0,2396000.0,2128000.0,2413000.0,2686000.0,
General And Administrative Expense,20412000.0,25136000.0,17209000.0,41242000.0,19265000.0,
Other Gand A,20412000.0,25136000.0,17209000.0,41242000.0,19265000.0,
Gross Profit,19837000.0,16354000.0,10139000.0,9010000.0,15579000.0,
Cost Of Revenue,55040000.0,51591000.0,41375000.0,38468000.0,55863000.0,
Total Revenue,74877000.0,67945000.0,51514000.0,47478000.0,71442000.0,
Operating Revenue,74877000.0,67945000.0,51514000.0,47478000.0,71442000.0,
