,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,-2390433417.855646,60511512.0,1503456.591006,453495.0,
Tax Rate For Calcs,0.35,0.222552,0.244,0.368314,0.245,
Total Unusual Items,0.0,-10741006000.0,247998000.0,4082000.0,1851000.0,
Total Unusual Items Excluding Goodwill,0.0,-10741006000.0,247998000.0,4082000.0,1851000.0,
Net Income From Continuing Operation Net Minority Interest,44850000000.0,130522149000.0,90872948000.0,-233711306000.0,275419727000.0,
Reconciled Depreciation,37094000000.0,44975387000.0,37373117000.0,31507539000.0,24284457000.0,
Net Interest Income,587323000000.0,615278705000.0,563777109000.0,177563972000.0,173242810000.0,
Interest Expense,287549000000.0,412929706000.0,298558314000.0,447058094000.0,548964691000.0,
Interest Income,874872000000.0,1028208411000.0,862335423000.0,624622066000.0,722207501000.0,
Normalized Income,44850000000.0,138872721582.14435,90685461512.0,-233713884543.409,275418329495.0,
Net Income From Continuing And Discontinued Operation,44850000000.0,130522149000.0,90872948000.0,-233711306000.0,275419727000.0,
Rent Expense Supplemental,465000000.0,325258000.0,266381000.0,226533000.0,433062000.0,
Diluted Average Shares,,,63941300.0,63941300.0,63941300.0,
Basic Average Shares,,,63941300.0,63941300.0,63941300.0,
Diluted EPS,,,1421.193,-3655.092,4307.383913,
Basic EPS,,,1421.193,-3655.092,4307.384,
Diluted NI Availto Com Stockholders,44850000000.0,130522149000.0,90872948000.0,-233711306000.0,275419727000.0,
Net Income Common Stockholders,44850000000.0,130522149000.0,90872948000.0,-233711306000.0,275419727000.0,
Net Income,44850000000.0,130522149000.0,90872948000.0,-233711306000.0,275419727000.0,
Minority Interests,-850000000.0,-260651000.0,-448018000.0,-468589000.0,184262000.0,
Net Income Including Noncontrolling Interests,45700000000.0,130782800000.0,91320966000.0,-233242717000.0,275235465000.0,
Net Income Continuous Operations,45700000000.0,130782800000.0,91320966000.0,-233242717000.0,275235465000.0,
Tax Provision,34454000000.0,37437861000.0,29523529000.0,-135995500000.0,89507301000.0,
Pretax Income,80154000000.0,168220661000.0,120844495000.0,-369238217000.0,364742766000.0,
Other Non Operating Income Expenses,-267134000000.0,-374809251000.0,-283894722000.0,-462660095000.0,-888993638000.0,
Special Income Charges,0.0,-11180382000.0,-64162000.0,8040000.0,-19466000.0,
Other Special Charges,,11180382000.0,64162000.0,-8040000.0,19466000.0,
Gain On Sale Of Security,66427000000.0,290038914000.0,103585448000.0,121199085000.0,1272438237000.0,
Depreciation Amortization Depletion Income Statement,37094000000.0,44975387000.0,30604980000.0,26999849000.0,24284457000.0,
Depreciation And Amortization In Income Statement,37094000000.0,44975387000.0,30604980000.0,26999849000.0,24284457000.0,
Depreciation Income Statement,37094000000.0,,30605000000.0,26999849000.0,24284457000.0,33345720000.0
Selling General And Administration,238868000000.0,309401784000.0,239829731000.0,181037012000.0,193328809000.0,
Selling And Marketing Expense,4537000000.0,8041489000.0,5662996000.0,4238184000.0,2782962000.0,
General And Administrative Expense,234331000000.0,301360295000.0,234166735000.0,176798828000.0,190545847000.0,
Other Gand A,52040000000.0,73191798000.0,62298941000.0,44210335000.0,41533816000.0,
Insurance And Claims,7520000000.0,8183667000.0,5690574000.0,4848340000.0,3152217000.0,
Rent And Landing Fees,465000000.0,325258000.0,266381000.0,226533000.0,433062000.0,
Salaries And Wages,174306000000.0,219659572000.0,165910839000.0,127513620000.0,145426752000.0,
Total Revenue,866988000000.0,1086773191000.0,813670727000.0,429966530000.0,1610612247000.0,
Operating Revenue,866988000000.0,1086773191000.0,813670727000.0,429966530000.0,1610612247000.0,
Professional Expense And Contract Services Expense,9767000000.0,,9535000000.0,7734131000.0,5666000000.0,
Other Non Interest Expense,167484000000.0,143781490000.0,400372941000.0,561316529000.0,120171829000.0,
