,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-515262267.343486,-95931000.0,-62160000.0,-96250000.0,-71820000.0,,
Tax Rate For Calcs,0.259447,0.171,0.21,0.275,0.21,,
Normalized EBITDA,5255000000.0,5038000000.0,2847000000.0,5123000000.0,4745000000.0,,
Total Unusual Items,-1986000000.0,-561000000.0,-296000000.0,-350000000.0,-342000000.0,,
Total Unusual Items Excluding Goodwill,-1986000000.0,-561000000.0,-296000000.0,-350000000.0,-342000000.0,,
Net Income From Continuing Operation Net Minority Interest,1310000000.0,2456000000.0,72000000.0,1211000000.0,1680000000.0,,
Reconciled Depreciation,1011000000.0,1012000000.0,1880000000.0,2592000000.0,2596000000.0,,
Reconciled Cost Of Revenue,3191000000.0,2851000000.0,4625000000.0,2771000000.0,3087000000.0,,
EBITDA,3269000000.0,4477000000.0,2551000000.0,4773000000.0,4403000000.0,,
EBIT,2258000000.0,3465000000.0,671000000.0,2181000000.0,1807000000.0,,
Net Interest Income,-485000000.0,-494000000.0,-496000000.0,-505000000.0,-521000000.0,,
Interest Expense,485000000.0,494000000.0,496000000.0,505000000.0,521000000.0,,
Normalized Income,2780737732.656514,2921069000.0,305840000.0,1464750000.0,1950180000.0,,
Net Income From Continuing And Discontinued Operation,1310000000.0,2456000000.0,72000000.0,1211000000.0,1680000000.0,,
Total Expenses,8495000000.0,7704000000.0,11832000000.0,9720000000.0,10510000000.0,,
Diluted Average Shares,,2040000000.0,2037000000.0,2031000000.0,2029000000.0,2023000000.0,
Basic Average Shares,,2031000000.0,2029000000.0,2028000000.0,2027000000.0,2023000000.0,
Diluted EPS,,1.2,0.04,0.6,0.83,-5.89,
Basic EPS,,1.21,0.04,0.6,0.83,-5.89,
Diluted NI Availto Com Stockholders,1310000000.0,2456000000.0,72000000.0,1211000000.0,1680000000.0,,
Net Income Common Stockholders,1310000000.0,2456000000.0,72000000.0,1211000000.0,1680000000.0,,
Net Income,1310000000.0,2456000000.0,72000000.0,1211000000.0,1680000000.0,,
Minority Interests,-2000000.0,-6000000.0,-4000000.0,-4000000.0,-4000000.0,,
Net Income Including Noncontrolling Interests,1313000000.0,2462000000.0,76000000.0,1215000000.0,1684000000.0,,
Net Income Continuous Operations,1313000000.0,2462000000.0,76000000.0,1215000000.0,1684000000.0,,
Tax Provision,460000000.0,509000000.0,99000000.0,461000000.0,-398000000.0,,
Pretax Income,1773000000.0,2971000000.0,175000000.0,1676000000.0,1286000000.0,,
Other Income Expense,-1517000000.0,-33000000.0,161000000.0,9000000.0,116000000.0,,
Other Non Operating Income Expenses,469000000.0,528000000.0,457000000.0,359000000.0,458000000.0,,
Special Income Charges,-2103000000.0,-621000000.0,-205000000.0,-456000000.0,-536000000.0,,
Gain On Sale Of Business,,,,,,,0.0
Other Special Charges,1000000.0,257000000.0,13000000.0,,69000000.0,2000000.0,
Impairment Of Capital Assets,,,0.0,47000000.0,,,
Restructuring And Mergern Acquisition,2102000000.0,364000000.0,177000000.0,409000000.0,467000000.0,,
Earnings From Equity Interest,,,,,,,53000000.0
Gain On Sale Of Security,117000000.0,60000000.0,-91000000.0,106000000.0,194000000.0,,
Net Non Operating Interest Income Expense,-485000000.0,-494000000.0,-496000000.0,-505000000.0,-521000000.0,,
Interest Expense Non Operating,485000000.0,494000000.0,496000000.0,505000000.0,521000000.0,,
Operating Income,3774000000.0,3497000000.0,510000000.0,2172000000.0,1691000000.0,,
Operating Expense,5123000000.0,4671000000.0,7020000000.0,6763000000.0,7243000000.0,,
Depreciation Amortization Depletion Income Statement,830000000.0,830000000.0,1693000000.0,2406000000.0,2416000000.0,,
Depreciation And Amortization In Income Statement,830000000.0,830000000.0,1693000000.0,2406000000.0,2416000000.0,,
Amortization,830000000.0,830000000.0,1693000000.0,2406000000.0,2416000000.0,,
Amortization Of Intangibles Income Statement,830000000.0,830000000.0,1693000000.0,2406000000.0,2416000000.0,,
Research And Development,2580000000.0,2257000000.0,3191000000.0,2374000000.0,2899000000.0,,
Selling General And Administration,1713000000.0,1584000000.0,2136000000.0,1983000000.0,1928000000.0,,
Selling And Marketing Expense,,1584000000.0,,1983000000.0,,2367000000.0,
Gross Profit,8897000000.0,8168000000.0,7530000000.0,8935000000.0,8934000000.0,,
Cost Of Revenue,3372000000.0,3033000000.0,4812000000.0,2957000000.0,3267000000.0,,
Total Revenue,12269000000.0,11201000000.0,12342000000.0,11892000000.0,12201000000.0,,
Operating Revenue,12028000000.0,10974000000.0,11935000000.0,11588000000.0,12041000000.0,,
