,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-606930.794403,13395830.0,29238980.0,35252531.476678,36793744.166779,,
Tax Rate For Calcs,0.168686,0.17,0.34,0.243379,0.16701,,
Normalized EBITDA,2687052000.0,2997755000.0,3213371000.0,3019228000.0,2720332000.0,,
Total Unusual Items,-3598000.0,78799000.0,85997000.0,144846000.0,220309000.0,,
Total Unusual Items Excluding Goodwill,-3598000.0,78799000.0,85997000.0,144846000.0,220309000.0,,
Net Income From Continuing Operation Net Minority Interest,740621000.0,1124435000.0,695973000.0,1024556000.0,987752000.0,,
Reconciled Depreciation,883701000.0,838317000.0,952898000.0,858019000.0,866056000.0,,
Reconciled Cost Of Revenue,10526746000.0,10757037000.0,12308238000.0,10594208000.0,10276195000.0,,
EBITDA,2683454000.0,3076554000.0,3299368000.0,3164074000.0,2940641000.0,,
EBIT,1799753000.0,2238237000.0,2346470000.0,2306055000.0,2074585000.0,,
Net Interest Income,-682554000.0,-533175000.0,-295923000.0,-609209000.0,-623983000.0,,
Interest Expense,915706000.0,810990000.0,826604000.0,803927000.0,761374000.0,,
Interest Income,331548000.0,320229000.0,288987000.0,299796000.0,252985000.0,,
Normalized Income,743612069.205597,1059031830.0,639214980.0,914962531.476678,804236744.166779,,
Net Income From Continuing And Discontinued Operation,740621000.0,1124435000.0,695973000.0,1024556000.0,987752000.0,,
Total Expenses,13793921000.0,13632202000.0,15815928000.0,13552070000.0,13209095000.0,,
Total Operating Income As Reported,,,,,,1252295000.0,
Diluted Average Shares,1613528816.0,1613528816.0,1620844075.0,1661866069.0,1667487853.0,,
Basic Average Shares,1610923390.0,1610923390.0,1620844075.0,1660104971.0,1665884834.0,,
Diluted EPS,0.45901,0.69688,0.535523,0.61651,0.59236,,
Basic EPS,0.45975,0.69801,0.535523,0.61716,0.59293,,
Diluted NI Availto Com Stockholders,740621000.0,1124435000.0,695973000.0,1024556000.0,987752000.0,,
Net Income Common Stockholders,740621000.0,1124435000.0,695973000.0,1024556000.0,987752000.0,,
Net Income,740621000.0,1124435000.0,695973000.0,1024556000.0,987752000.0,,
Minority Interests,5700000.0,-60635000.0,-171754000.0,-111985000.0,-106140000.0,,
Net Income Including Noncontrolling Interests,734921000.0,1185070000.0,867727000.0,1136541000.0,1093892000.0,,
Net Income Discontinuous Operations,,,,,,,0.0
Net Income Continuous Operations,734921000.0,1185070000.0,867727000.0,1136541000.0,1093892000.0,,
Tax Provision,149126000.0,242177000.0,652139000.0,365587000.0,219319000.0,,
Pretax Income,884047000.0,1427247000.0,1519866000.0,1502128000.0,1313211000.0,,
Other Income Expense,-4109000.0,80603000.0,82492000.0,140695000.0,216697000.0,,
Special Income Charges,-7622000.0,-6317000.0,129988000.0,38119000.0,-23377000.0,,
Gain On Sale Of Ppe,-9044000.0,-1566000.0,132585000.0,16224000.0,-2480000.0,,
Write Off,-1422000.0,4751000.0,2597000.0,-21895000.0,20897000.0,,
Restructuring And Mergern Acquisition,,,,,,,-320000.0
Earnings From Equity Interest,-511000.0,1804000.0,-3505000.0,-4151000.0,-3612000.0,,
Gain On Sale Of Security,4024000.0,85116000.0,-43991000.0,106727000.0,243686000.0,,
Net Non Operating Interest Income Expense,-682554000.0,-533175000.0,-295923000.0,-609209000.0,-623983000.0,,
Total Other Finance Cost,98396000.0,42414000.0,-241694000.0,105078000.0,115594000.0,,
Interest Expense Non Operating,915706000.0,810990000.0,826604000.0,803927000.0,761374000.0,,
Interest Income Non Operating,331548000.0,320229000.0,288987000.0,299796000.0,252985000.0,,
Operating Income,1570710000.0,1879819000.0,1733297000.0,1970642000.0,1720497000.0,,
Operating Expense,2522862000.0,2172786000.0,2737781000.0,2239842000.0,2209470000.0,,
Other Operating Expenses,-19606000.0,2404000.0,138621000.0,-23894000.0,-15493000.0,,
Other Taxes,145819000.0,9226000.0,-28283000.0,18166000.0,35566000.0,,
Provision For Doubtful Accounts,,,,,,,1341000.0
Depreciation Amortization Depletion Income Statement,139388000.0,135938000.0,182989000.0,139999000.0,142626000.0,,
Depreciation And Amortization In Income Statement,139388000.0,135938000.0,182989000.0,139999000.0,142626000.0,,
Amortization,22915000.0,21034000.0,42607000.0,23512000.0,23450000.0,,
Amortization Of Intangibles Income Statement,22915000.0,21034000.0,42607000.0,23512000.0,23450000.0,,
Depreciation Income Statement,116473000.0,114904000.0,140382000.0,116487000.0,119176000.0,,
Selling General And Administration,2257261000.0,2025218000.0,2444454000.0,2105571000.0,2046771000.0,,
Selling And Marketing Expense,1429996000.0,1301913000.0,1570944000.0,1434309000.0,1314767000.0,,
General And Administrative Expense,827265000.0,723305000.0,873510000.0,671262000.0,732004000.0,,
Other Gand A,109862000.0,79341000.0,129284000.0,71360000.0,85399000.0,,
Insurance And Claims,,,,,,,9994000.0
Salaries And Wages,717403000.0,643964000.0,744226000.0,599902000.0,646605000.0,,
Gross Profit,4093572000.0,4052605000.0,4471078000.0,4210484000.0,3929967000.0,,
Cost Of Revenue,11271059000.0,11459416000.0,13078147000.0,11312228000.0,10999625000.0,,
Total Revenue,15364631000.0,15512021000.0,17549225000.0,15522712000.0,14929592000.0,,
Operating Revenue,17653101000.0,17699009000.0,20308258000.0,17682761000.0,16941694000.0,,
