,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,3496290.0,1002960.0,6104280.0,7710570.0,723870.0,,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21,,
Normalized EBITDA,229459000.0,224642000.0,213110000.0,210362000.0,214759000.0,,
Total Unusual Items,16649000.0,4776000.0,29068000.0,36717000.0,3447000.0,,
Total Unusual Items Excluding Goodwill,16649000.0,4776000.0,29068000.0,36717000.0,3447000.0,,
Net Income From Continuing Operation Net Minority Interest,85139000.0,69729000.0,83404000.0,96840000.0,70125000.0,,
Reconciled Depreciation,106553000.0,102321000.0,92164000.0,94829000.0,94426000.0,,
Reconciled Cost Of Revenue,80160000.0,87380000.0,97106000.0,79344000.0,70860000.0,,
EBITDA,246108000.0,229418000.0,242178000.0,247079000.0,218206000.0,,
EBIT,139555000.0,123821000.0,138847000.0,152250000.0,123780000.0,,
Net Interest Income,-54409000.0,-54084000.0,-55441000.0,-55410000.0,-53655000.0,,
Interest Expense,54409000.0,54084000.0,55441000.0,55410000.0,53655000.0,,
Interest Income,,,,,,,321000.0
Normalized Income,71986290.0,65955960.0,60440280.0,67833570.0,67401870.0,,
Net Income From Continuing And Discontinued Operation,85139000.0,69729000.0,83404000.0,96840000.0,70125000.0,,
Total Expenses,215806000.0,217874000.0,217203000.0,204423000.0,194975000.0,,
Diluted Average Shares,307609000.0,307252000.0,,303608000.0,302903000.0,302712000.0,
Basic Average Shares,306975000.0,306766000.0,,302676000.0,302197000.0,302021000.0,
Diluted EPS,0.28,0.23,,0.32,0.23,0.29,
Basic EPS,0.28,0.23,,0.32,0.23,0.29,
Diluted NI Availto Com Stockholders,84953000.0,69556000.0,83267000.0,96673000.0,69941000.0,,
Net Income Common Stockholders,84953000.0,69556000.0,83267000.0,96673000.0,69941000.0,,
Otherunder Preferred Stock Dividend,186000.0,173000.0,137000.0,167000.0,184000.0,,
Net Income,85139000.0,69729000.0,83404000.0,96840000.0,70125000.0,,
Minority Interests,-7000.0,-8000.0,,,,0.0,
Net Income Including Noncontrolling Interests,85146000.0,69737000.0,83406000.0,96840000.0,70125000.0,,
Net Income Continuous Operations,85146000.0,69737000.0,83406000.0,96840000.0,70125000.0,,
Pretax Income,85146000.0,69737000.0,83406000.0,96840000.0,70125000.0,,
Other Income Expense,15869000.0,4183000.0,27608000.0,35991000.0,3066000.0,,
Other Non Operating Income Expenses,-780000.0,-593000.0,-1460000.0,-726000.0,-381000.0,,
Special Income Charges,-296000.0,,0.0,-5590000.0,-4999000.0,0.0,
Other Special Charges,296000.0,,0.0,-273000.0,-281000.0,,0.0
Impairment Of Capital Assets,0.0,,0.0,5863000.0,5280000.0,0.0,
Gain On Sale Of Security,16945000.0,4776000.0,29068000.0,42307000.0,8446000.0,,
Net Non Operating Interest Income Expense,-54409000.0,-54084000.0,-55441000.0,-55410000.0,-53655000.0,,
Interest Expense Non Operating,54409000.0,54084000.0,55441000.0,55410000.0,53655000.0,,
Interest Income Non Operating,,,,,,,321000.0
Operating Income,123686000.0,119638000.0,111239000.0,116259000.0,120714000.0,,
Operating Expense,132370000.0,133770000.0,131264000.0,125079000.0,121707000.0,,
Depreciation Amortization Depletion Income Statement,103277000.0,105597000.0,103331000.0,94829000.0,92018000.0,,
Depreciation And Amortization In Income Statement,103277000.0,105597000.0,103331000.0,94829000.0,92018000.0,,
Selling General And Administration,29093000.0,28173000.0,27933000.0,30250000.0,29689000.0,,
General And Administrative Expense,29093000.0,28173000.0,27933000.0,30250000.0,29689000.0,,
Other Gand A,29093000.0,28173000.0,27933000.0,30250000.0,29689000.0,,
Gross Profit,256056000.0,253408000.0,242503000.0,241338000.0,242421000.0,,
Cost Of Revenue,83436000.0,84104000.0,85939000.0,79344000.0,73268000.0,,
Total Revenue,339492000.0,337512000.0,328442000.0,320682000.0,315689000.0,,
Operating Revenue,339397000.0,337241000.0,328356000.0,319989000.0,315587000.0,,
