,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.019449,0.26,0.199,0.229,0.223651,
Normalized EBITDA,262538000.0,251330000.0,230923000.0,214519000.0,233510000.0,
Net Income From Continuing Operation Net Minority Interest,157855000.0,111860000.0,109938000.0,120177000.0,134657000.0,
Reconciled Depreciation,55861000.0,54961000.0,49625000.0,34678000.0,35760000.0,
Reconciled Cost Of Revenue,2097467000.0,1970613000.0,1918511000.0,1877048000.0,1840545000.0,
EBITDA,262538000.0,251330000.0,230923000.0,214519000.0,233510000.0,
EBIT,206677000.0,196369000.0,181298000.0,179841000.0,197750000.0,
Net Interest Income,-45691000.0,-45117000.0,-44066000.0,-23970000.0,-24301000.0,
Interest Expense,45691000.0,45117000.0,44066000.0,23970000.0,24301000.0,
Normalized Income,157855000.0,111860000.0,109938000.0,120177000.0,134657000.0,
Net Income From Continuing And Discontinued Operation,157855000.0,111860000.0,109938000.0,120177000.0,134657000.0,
Total Expenses,2097467000.0,1970613000.0,1918511000.0,1877048000.0,1840545000.0,
Total Operating Income As Reported,206677000.0,196369000.0,181298000.0,179841000.0,197750000.0,
Diluted Average Shares,,22383000.0,22534000.0,22539000.0,22510000.0,22478000.0
Basic Average Shares,,22279000.0,22414000.0,22304000.0,22300000.0,22292000.0
Diluted EPS,,5.0,4.88,5.33,5.98,5.13
Basic EPS,,5.02,4.9,5.39,6.04,5.17
Diluted NI Availto Com Stockholders,157855000.0,111860000.0,109938000.0,120177000.0,134657000.0,
Net Income Common Stockholders,157855000.0,111860000.0,109938000.0,120177000.0,134657000.0,
Net Income,157855000.0,111860000.0,109938000.0,120177000.0,134657000.0,
Net Income Including Noncontrolling Interests,157855000.0,111860000.0,109938000.0,120177000.0,134657000.0,
Net Income Continuous Operations,157855000.0,111860000.0,109938000.0,120177000.0,134657000.0,
Tax Provision,3131000.0,39392000.0,27294000.0,35694000.0,38792000.0,
Pretax Income,160986000.0,151252000.0,137232000.0,155871000.0,173449000.0,
Net Non Operating Interest Income Expense,-45691000.0,-45117000.0,-44066000.0,-23970000.0,-24301000.0,
Interest Expense Non Operating,45691000.0,45117000.0,44066000.0,23970000.0,24301000.0,
Operating Income,206677000.0,196369000.0,181298000.0,179841000.0,197750000.0,
Gross Profit,206677000.0,196369000.0,181298000.0,179841000.0,197750000.0,
Cost Of Revenue,2097467000.0,1970613000.0,1918511000.0,1877048000.0,1840545000.0,
Total Revenue,2304144000.0,2166982000.0,2099809000.0,2056889000.0,2038295000.0,
Operating Revenue,2304144000.0,2166982000.0,2099809000.0,2056889000.0,2038295000.0,
