Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2023-10-25 08:00:00-04:00,4.44,4.95,0.1149
2023-10-24 12:00:00-04:00,4.44,4.95,0.11539999999999999
2023-07-25 12:00:00-04:00,4.41,4.92,0.11449999999999999
2023-04-25 12:00:00-04:00,4.45,4.41,-0.0086
2023-01-31 11:00:00-05:00,4.25,4.05,-0.0481
2022-10-25 12:00:00-04:00,2.59,3.17,0.2224
2022-07-26 12:00:00-04:00,3.62,4.2,0.1589
2022-04-26 12:00:00-04:00,3.48,3.82,0.09820000000000001
2022-02-01 11:00:00-05:00,3.29,3.81,0.1575
2021-10-26 12:00:00-04:00,2.16,2.64,0.2232
