GradeDate,Firm,ToGrade,FromGrade,Action
2024-07-15 10:38:51,HC Wainwright & Co.,Buy,Buy,reit
2024-06-12 15:45:54,Roth MKM,Buy,Buy,main
2024-05-09 11:23:56,HC Wainwright & Co.,Buy,Buy,reit
2024-04-09 13:57:52,Roth MKM,Buy,Buy,main
2024-03-11 11:21:55,HC Wainwright & Co.,Buy,Buy,main
2023-08-10 11:49:08,HC Wainwright & Co.,Buy,Buy,reit
2023-06-05 10:09:43,HC Wainwright & Co.,Buy,Buy,reit
2023-03-13 10:19:52,HC Wainwright & Co.,Buy,,main
2023-02-01 11:07:20,HC Wainwright & Co.,Buy,,reit
2022-08-29 10:06:49,HC Wainwright & Co.,Buy,,main
2022-08-16 10:13:13,Oppenheimer,Perform,Outperform,down
2022-08-11 13:20:33,B. Riley Securities,Neutral,Buy,down
2022-06-07 10:22:26,HC Wainwright & Co.,Buy,,main
2022-05-13 14:04:47,B. Riley Securities,Buy,,main
2022-04-18 10:14:49,HC Wainwright & Co.,Buy,,main
2022-03-10 16:34:24,B. Riley Securities,Buy,,main
2022-03-08 13:09:03,Roth Capital,Buy,,init
2021-08-04 10:37:57,HC Wainwright & Co.,Buy,,main
2021-05-10 11:13:46,HC Wainwright & Co.,Buy,,main
2021-03-16 10:45:50,HC Wainwright & Co.,Buy,,main
2020-08-18 10:19:48,HC Wainwright & Co.,Buy,,main
2019-10-16 10:55:17,Oppenheimer,Outperform,,init
2019-02-14 12:25:32,B. Riley Securities,Buy,,init
2017-09-25 11:46:52,Ladenburg Thalmann,Buy,,init
2017-01-03 12:59:47,Rodman & Renshaw,Buy,,init
