,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-55149.486164,11748.0,43268.023897,-4137.0,-1182.825943,,
Tax Rate For Calcs,0.188868,0.178,0.169016,0.197,0.197138,,
Total Unusual Items,-292000.0,66000.0,256000.0,-21000.0,-6000.0,,
Total Unusual Items Excluding Goodwill,-292000.0,66000.0,256000.0,-21000.0,-6000.0,,
Net Income From Continuing Operation Net Minority Interest,33387000.0,30342000.0,28654000.0,29809000.0,29115000.0,,
Reconciled Depreciation,3573000.0,3137000.0,4337000.0,2801000.0,3073000.0,,
Net Interest Income,58924000.0,55815000.0,55580000.0,55605000.0,54625000.0,,
Interest Expense,21367000.0,21573000.0,23240000.0,22446000.0,21365000.0,,
Interest Income,80291000.0,77388000.0,78820000.0,78051000.0,75990000.0,,
Normalized Income,33623850.513836,30287748.0,28441268.023897,29825863.0,29119817.174057,,
Net Income From Continuing And Discontinued Operation,33387000.0,30342000.0,28654000.0,29809000.0,29115000.0,,
Diluted Average Shares,14471000.0,14631000.0,14655000.0,14654000.0,14710000.0,,
Basic Average Shares,14466000.0,14616000.0,14634000.0,14633000.0,14695000.0,,
Diluted EPS,2.29,2.06,1.94,2.02,1.96,,
Basic EPS,2.29,2.06,1.94,2.02,1.96,,
Diluted NI Availto Com Stockholders,33081000.0,30107000.0,28408000.0,29531000.0,28857000.0,,
Net Income Common Stockholders,33081000.0,30107000.0,28408000.0,29531000.0,28857000.0,,
Otherunder Preferred Stock Dividend,306000.0,235000.0,246000.0,278000.0,258000.0,,
Net Income,33387000.0,30342000.0,28654000.0,29809000.0,29115000.0,,
Net Income Including Noncontrolling Interests,33387000.0,30342000.0,28654000.0,29809000.0,29115000.0,,
Net Income Continuous Operations,33387000.0,30342000.0,28654000.0,29809000.0,29115000.0,,
Tax Provision,7774000.0,6575000.0,5828000.0,7306000.0,7149000.0,,
Pretax Income,41161000.0,36917000.0,34482000.0,37115000.0,36264000.0,,
Special Income Charges,,,0.0,0.0,0.0,0.0,497000.0
Restructuring And Mergern Acquisition,,,0.0,0.0,0.0,0.0,-497000.0
Gain On Sale Of Security,-113000.0,-5000.0,-3202000.0,341000.0,364000.0,,
Selling General And Administration,21715000.0,20843000.0,21119000.0,21060000.0,20441000.0,,
Selling And Marketing Expense,964000.0,873000.0,901000.0,1081000.0,972000.0,,
General And Administrative Expense,20751000.0,19970000.0,20218000.0,19979000.0,19469000.0,,
Insurance And Claims,756000.0,776000.0,729000.0,734000.0,718000.0,,
Salaries And Wages,19995000.0,19194000.0,19489000.0,19245000.0,18751000.0,,
Total Revenue,75665000.0,72403000.0,70054000.0,73661000.0,71240000.0,,
Operating Revenue,75665000.0,72403000.0,70054000.0,73661000.0,71240000.0,,
Occupancy And Equipment,5870000.0,6052000.0,4828000.0,6205000.0,5598000.0,,
Professional Expense And Contract Services Expense,651000.0,582000.0,629000.0,500000.0,551000.0,,
Other Non Interest Expense,8268000.0,8009000.0,8696000.0,7581000.0,7886000.0,,
