,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,-1367103.469771,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.021252,0.21,0.21,0.21,
Normalized EBITDA,-2639000.0,-3840000.0,-9142000.0,1435000.0,3476000.0,
Total Unusual Items,0.0,-64328000.0,,,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-64328000.0,,,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-20240000.0,-134967000.0,-30159000.0,-18175000.0,-16293000.0,
Reconciled Depreciation,9962000.0,62267000.0,10941000.0,11350000.0,11264000.0,
Reconciled Cost Of Revenue,84392000.0,138270000.0,85756000.0,84539000.0,75204000.0,
EBITDA,-2639000.0,-68168000.0,-9142000.0,1435000.0,3476000.0,
EBIT,-12601000.0,-130435000.0,-20083000.0,-9915000.0,-7788000.0,
Net Interest Income,-4647000.0,-4629000.0,-4952000.0,-4757000.0,-4282000.0,
Interest Expense,7735000.0,7528000.0,8139000.0,8357000.0,7921000.0,
Interest Income,3088000.0,2899000.0,3187000.0,3600000.0,3639000.0,
Normalized Income,-20240000.0,-72006103.469771,-30159000.0,-18175000.0,-16293000.0,
Net Income From Continuing And Discontinued Operation,-20240000.0,-134967000.0,-30159000.0,-18175000.0,-16293000.0,
Total Expenses,111845000.0,165734000.0,114146000.0,113404000.0,103546000.0,
Total Operating Income As Reported,-9232000.0,-126298000.0,-12922000.0,-8528000.0,-5592000.0,
Diluted Average Shares,220393997.0,223673947.0,223453274.0,223428900.0,223289936.0,
Basic Average Shares,220393997.0,223673947.0,223453274.0,223428900.0,223289936.0,
Diluted EPS,-0.09,-0.6,-0.13,-0.08,-0.07,
Basic EPS,-0.09,-0.6,-0.13,-0.08,-0.07,
Diluted NI Availto Com Stockholders,-20240000.0,-134967000.0,-30159000.0,-18175000.0,-16293000.0,
Net Income Common Stockholders,-20240000.0,-134967000.0,-30159000.0,-18175000.0,-16293000.0,
Net Income,-20240000.0,-134967000.0,-30159000.0,-18175000.0,-16293000.0,
Minority Interests,168000.0,64000.0,125000.0,147000.0,174000.0,
Net Income Including Noncontrolling Interests,-20408000.0,-135031000.0,-30284000.0,-18322000.0,-16467000.0,
Net Income Continuous Operations,-20408000.0,-135031000.0,-30284000.0,-18322000.0,-16467000.0,
Tax Provision,72000.0,-2932000.0,2062000.0,50000.0,758000.0,
Pretax Income,-20336000.0,-137963000.0,-28222000.0,-18272000.0,-15709000.0,
Other Income Expense,-6457000.0,-71364000.0,-18450000.0,-4987000.0,-5835000.0,
Other Non Operating Income Expenses,73000.0,8000.0,13000.0,35000.0,-40000.0,
Special Income Charges,0.0,-64328000.0,,,0.0,0.0
Impairment Of Capital Assets,0.0,64328000.0,,,0.0,0.0
Earnings From Equity Interest,-6530000.0,-7044000.0,-10361000.0,-5022000.0,-5795000.0,
Net Non Operating Interest Income Expense,-4647000.0,-4629000.0,-4952000.0,-4757000.0,-4282000.0,
Interest Expense Non Operating,7735000.0,7528000.0,8139000.0,8357000.0,7921000.0,
Interest Income Non Operating,3088000.0,2899000.0,3187000.0,3600000.0,3639000.0,
Operating Income,-9232000.0,-61970000.0,-4820000.0,-8528000.0,-5592000.0,
Operating Expense,27453000.0,27464000.0,28390000.0,28865000.0,28342000.0,
Selling General And Administration,27453000.0,27464000.0,28390000.0,28865000.0,28342000.0,
Gross Profit,18221000.0,-34506000.0,23570000.0,20337000.0,22750000.0,
Cost Of Revenue,84392000.0,138270000.0,85756000.0,84539000.0,75204000.0,
Total Revenue,102613000.0,103764000.0,109326000.0,104876000.0,97954000.0,
Operating Revenue,102613000.0,103764000.0,109326000.0,104876000.0,97954000.0,
