,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-6058710.0,-2090760.0,7850496.0,-2482620.0,-646800.0,,
Tax Rate For Calcs,0.21,0.21,0.256,0.21,0.21,,
Normalized EBITDA,106039000.0,75375000.0,116476000.0,75394000.0,101894000.0,,
Total Unusual Items,-28851000.0,-9956000.0,30666000.0,-11822000.0,-3080000.0,,
Total Unusual Items Excluding Goodwill,-28851000.0,-9956000.0,30666000.0,-11822000.0,-3080000.0,,
Net Income From Continuing Operation Net Minority Interest,-25318000.0,-8238000.0,61057000.0,-12549000.0,115001000.0,,
Reconciled Depreciation,36074000.0,34300000.0,35211000.0,35546000.0,35661000.0,,
Reconciled Cost Of Revenue,424876000.0,387184000.0,459161000.0,392345000.0,397984000.0,,
EBITDA,77188000.0,65419000.0,147142000.0,63572000.0,98814000.0,,
EBIT,41114000.0,31119000.0,111931000.0,28026000.0,63153000.0,,
Net Interest Income,-27656000.0,-26995000.0,-29165000.0,-31415000.0,-29876000.0,,
Interest Expense,27656000.0,26995000.0,29165000.0,31415000.0,29876000.0,,
Normalized Income,-2525710.0,-372760.0,38241496.0,-3209620.0,117434200.0,,
Net Income From Continuing And Discontinued Operation,-25318000.0,-8238000.0,61057000.0,-12549000.0,115001000.0,,
Total Expenses,799242000.0,748461000.0,858047000.0,765531000.0,766131000.0,,
Total Operating Income As Reported,65441000.0,40541000.0,80949000.0,39339000.0,66334000.0,,
Diluted Average Shares,,24834409.0,25906151.0,25167845.0,,26216216.0,27179073.0
Basic Average Shares,,24834409.0,24965612.0,25167845.0,,26216216.0,26609929.0
Diluted EPS,,-0.33,2.36,-0.5,,-0.15,2.14
Basic EPS,,-0.33,2.45,-0.5,,-0.15,2.18
Diluted NI Availto Com Stockholders,-25318000.0,-8238000.0,61057000.0,-12549000.0,115001000.0,,
Net Income Common Stockholders,-25318000.0,-8238000.0,61057000.0,-12549000.0,115001000.0,,
Net Income,-25318000.0,-8238000.0,61057000.0,-12549000.0,115001000.0,,
Minority Interests,3041000.0,-218000.0,-558000.0,-165000.0,-3165000.0,,
Net Income Including Noncontrolling Interests,-28359000.0,-8020000.0,61615000.0,-12384000.0,118166000.0,,
Net Income Continuous Operations,-28359000.0,-8020000.0,61615000.0,-12384000.0,118166000.0,,
Tax Provision,41817000.0,12144000.0,21151000.0,8995000.0,-84889000.0,,
Pretax Income,13458000.0,4124000.0,82766000.0,-3389000.0,33277000.0,,
Other Income Expense,-29127000.0,-9888000.0,30819000.0,-11412000.0,-3327000.0,,
Other Non Operating Income Expenses,-276000.0,68000.0,153000.0,410000.0,-247000.0,,
Special Income Charges,-4800000.0,-447000.0,-859000.0,80000.0,-2533000.0,,
Other Special Charges,0.0,-19000.0,696000.0,-179000.0,2387000.0,,
Restructuring And Mergern Acquisition,4800000.0,466000.0,163000.0,99000.0,146000.0,,
Gain On Sale Of Security,-24051000.0,-9509000.0,31525000.0,-11902000.0,-547000.0,,
Net Non Operating Interest Income Expense,-27656000.0,-26995000.0,-29165000.0,-31415000.0,-29876000.0,,
Interest Expense Non Operating,27656000.0,26995000.0,29165000.0,31415000.0,29876000.0,,
Operating Income,70241000.0,41007000.0,81112000.0,39438000.0,66480000.0,,
Operating Expense,342559000.0,331501000.0,368791000.0,342795000.0,337943000.0,,
Depreciation Amortization Depletion Income Statement,4267000.0,4524000.0,5116000.0,5155000.0,5457000.0,,
Depreciation And Amortization In Income Statement,4267000.0,4524000.0,5116000.0,5155000.0,5457000.0,,
Amortization,4267000.0,4524000.0,5116000.0,5155000.0,5457000.0,,
Amortization Of Intangibles Income Statement,4267000.0,4524000.0,5116000.0,5155000.0,5457000.0,,
Research And Development,86184000.0,83112000.0,82878000.0,81861000.0,83887000.0,,
Selling General And Administration,252108000.0,243865000.0,280797000.0,255779000.0,248599000.0,,
Selling And Marketing Expense,192994000.0,193316000.0,223861000.0,203847000.0,194250000.0,,
General And Administrative Expense,59114000.0,50549000.0,56936000.0,51932000.0,54349000.0,,
Other Gand A,59114000.0,50549000.0,56936000.0,51932000.0,54349000.0,,
Gross Profit,412800000.0,372508000.0,449903000.0,382233000.0,404423000.0,,
Cost Of Revenue,456683000.0,416960000.0,489256000.0,422736000.0,428188000.0,,
Total Revenue,869483000.0,789468000.0,939159000.0,804969000.0,832611000.0,,
Operating Revenue,869483000.0,789468000.0,939159000.0,804969000.0,832611000.0,,
