,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.284034,0.213,0.226548,0.132,0.201
Normalized EBITDA,56314000.0,34211000.0,70505000.0,83681000.0,64946000.0
Net Income From Continuing Operation Net Minority Interest,21421000.0,6036000.0,33755000.0,48984000.0,29976000.0
Reconciled Depreciation,18571000.0,18253000.0,18006000.0,17974000.0,17839000.0
Reconciled Cost Of Revenue,154025000.0,143504000.0,147600000.0,137706000.0,148368000.0
EBITDA,56314000.0,34211000.0,70505000.0,83681000.0,64946000.0
EBIT,37743000.0,15958000.0,52499000.0,65707000.0,47107000.0
Net Interest Income,-7824000.0,-8286000.0,-8857000.0,-9252000.0,-9593000.0
Interest Expense,7824000.0,8286000.0,8857000.0,9252000.0,9593000.0
Normalized Income,21421000.0,6036000.0,33755000.0,48984000.0,29976000.0
Net Income From Continuing And Discontinued Operation,21421000.0,6036000.0,33755000.0,48984000.0,29976000.0
Total Expenses,304184000.0,305298000.0,293445000.0,250994000.0,284990000.0
Total Operating Income As Reported,38161000.0,15958000.0,52499000.0,65707000.0,47107000.0
Diluted Average Shares,31054000.0,31151000.0,31146000.0,31112000.0,31106000.0
Basic Average Shares,30949000.0,30973000.0,30923000.0,30856000.0,30813000.0
Diluted EPS,0.69,0.19,1.08,1.57,0.96
Basic EPS,0.69,0.19,1.09,1.59,0.97
Diluted NI Availto Com Stockholders,21421000.0,6036000.0,33755000.0,48984000.0,29976000.0
Net Income Common Stockholders,21421000.0,6036000.0,33755000.0,48984000.0,29976000.0
Net Income,21421000.0,6036000.0,33755000.0,48984000.0,29976000.0
Net Income Including Noncontrolling Interests,21421000.0,6036000.0,33755000.0,48984000.0,29976000.0
Net Income Continuous Operations,21421000.0,6036000.0,33755000.0,48984000.0,29976000.0
Tax Provision,8498000.0,1636000.0,9887000.0,7471000.0,7538000.0
Pretax Income,29919000.0,7672000.0,43642000.0,56455000.0,37514000.0
Other Income Expense,-418000.0,,,,
Other Non Operating Income Expenses,-418000.0,,,,
Net Non Operating Interest Income Expense,-7824000.0,-8286000.0,-8857000.0,-9252000.0,-9593000.0
Interest Expense Non Operating,7824000.0,8286000.0,8857000.0,9252000.0,9593000.0
Operating Income,38161000.0,15958000.0,52499000.0,65707000.0,47107000.0
Operating Expense,150159000.0,161794000.0,145845000.0,113288000.0,136622000.0
Research And Development,14138000.0,12947000.0,13176000.0,13558000.0,14098000.0
Selling General And Administration,136021000.0,148847000.0,132669000.0,99730000.0,122524000.0
Gross Profit,188320000.0,177752000.0,198344000.0,178995000.0,183729000.0
Cost Of Revenue,154025000.0,143504000.0,147600000.0,137706000.0,148368000.0
Total Revenue,342345000.0,321256000.0,345944000.0,316701000.0,332097000.0
Operating Revenue,342345000.0,321256000.0,345944000.0,316701000.0,332097000.0
