,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,-160650.0,
Tax Rate For Calcs,0.027148,0.025,0.21,0.21,0.21,
Normalized EBITDA,42318000.0,31257000.0,-3422000.0,-10218000.0,-2665000.0,
Total Unusual Items,,,,,-765000.0,0.0
Total Unusual Items Excluding Goodwill,,,,,-765000.0,0.0
Net Income From Continuing Operation Net Minority Interest,36588000.0,29360000.0,-4225000.0,-9540000.0,-10477000.0,
Reconciled Depreciation,7657000.0,5063000.0,4985000.0,4233000.0,3686000.0,
Reconciled Cost Of Revenue,55837000.0,49076000.0,26522000.0,22431000.0,20816000.0,
EBITDA,42318000.0,31257000.0,-3422000.0,-10218000.0,-3430000.0,
EBIT,34661000.0,26194000.0,-8407000.0,-14451000.0,-7116000.0,
Normalized Income,36588000.0,29360000.0,-4225000.0,-9540000.0,-9872650.0,
Net Income From Continuing And Discontinued Operation,36588000.0,29360000.0,-4225000.0,-9540000.0,-10477000.0,
Total Expenses,135364000.0,108808000.0,80441000.0,74165000.0,67898000.0,
Total Operating Income As Reported,33788000.0,26194000.0,-8407000.0,-14451000.0,-7881000.0,
Diluted Average Shares,,182464000.0,166487000.0,165140000.0,163677000.0,167160000.0
Basic Average Shares,,168167000.0,166487000.0,165140000.0,163677000.0,157155000.0
Diluted EPS,,0.16,-0.03,-0.06,-0.06,0.00256
Basic EPS,,0.17,-0.03,-0.06,-0.06,0.002723
Diluted NI Availto Com Stockholders,36588000.0,29360000.0,-4225000.0,-9540000.0,-10477000.0,
Net Income Common Stockholders,36588000.0,29360000.0,-4225000.0,-9540000.0,-10477000.0,
Net Income,36588000.0,29360000.0,-4225000.0,-9540000.0,-10477000.0,
Net Income Including Noncontrolling Interests,36588000.0,29360000.0,-4225000.0,-9540000.0,-10477000.0,
Net Income Continuous Operations,36588000.0,29360000.0,-4225000.0,-9540000.0,-10477000.0,
Tax Provision,1021000.0,752000.0,292000.0,622000.0,7759000.0,
Pretax Income,37609000.0,30112000.0,-3933000.0,-8918000.0,-2718000.0,
Other Income Expense,2948000.0,3918000.0,4474000.0,5533000.0,4398000.0,
Other Non Operating Income Expenses,3821000.0,3918000.0,4474000.0,5533000.0,5163000.0,
Special Income Charges,,,,,-765000.0,0.0
Write Off,,,,,,0.0
Operating Income,34661000.0,26194000.0,-8407000.0,-14451000.0,-7116000.0,
Operating Expense,79527000.0,59732000.0,53919000.0,51734000.0,47082000.0,
Research And Development,47582000.0,36261000.0,31742000.0,30409000.0,26921000.0,
Selling General And Administration,31945000.0,23471000.0,22177000.0,21325000.0,20161000.0,
Gross Profit,114188000.0,85926000.0,45512000.0,37283000.0,39966000.0,
Cost Of Revenue,55837000.0,49076000.0,26522000.0,22431000.0,20816000.0,
Total Revenue,170025000.0,135002000.0,72034000.0,59714000.0,60782000.0,
Operating Revenue,170025000.0,135002000.0,72034000.0,59714000.0,60782000.0,
