,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-1146061.35,-8206458.96,678106.8,-5919926.25,0.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.0,
Normalized EBITDA,23397461.0,19535066.0,9824548.0,22913939.0,-3044716.0,
Total Unusual Items,-5457435.0,-39078376.0,3229080.0,-28190125.0,-12553491.0,
Total Unusual Items Excluding Goodwill,-5457435.0,-39078376.0,3229080.0,-28190125.0,-12553491.0,
Net Income From Continuing Operation Net Minority Interest,15924865.0,-22548325.0,10725117.0,-9712416.0,-18545753.0,
Reconciled Depreciation,33741.0,33622.0,33631.0,34253.0,26996.0,
Reconciled Cost Of Revenue,136552.0,142461.0,186582.0,214529.0,155113.0,
EBITDA,17940026.0,-19543310.0,13053628.0,-5276186.0,-15598207.0,
EBIT,17906285.0,-19576932.0,13019997.0,-5310439.0,-15625203.0,
Net Interest Income,-1707262.0,-2515772.0,-2843011.0,-3606837.0,-2910141.0,
Interest Expense,2033871.0,2747712.0,3097108.0,3683150.0,2920550.0,
Interest Income,326609.0,231940.0,254097.0,76313.0,10409.0,
Normalized Income,20236238.65,8323592.04,8174143.8,12557782.75,-5992262.0,
Net Income From Continuing And Discontinued Operation,15924865.0,-22548325.0,10725117.0,-9712416.0,-18545753.0,
Total Expenses,4289073.0,3050530.0,4505402.0,5786873.0,2386488.0,
Total Operating Income As Reported,23037111.0,19269504.0,9473843.0,22738984.0,-3082121.0,
Diluted Average Shares,12328749.0,12020108.0,,11973992.0,9775758.0,9587113.0
Basic Average Shares,12116897.0,12020108.0,,11973992.0,9775758.0,9587113.0
Diluted EPS,1.24,-1.88,,-0.81,-1.9,-2.14
Basic EPS,1.26,-1.88,,-0.81,-1.9,-2.14
Diluted NI Availto Com Stockholders,15924865.0,-22548325.0,10725117.0,-9712416.0,-18545753.0,
Average Dilution Earnings,0.0,,,,0.0,
Net Income Common Stockholders,15924865.0,-22548325.0,10725117.0,-9712416.0,-18545753.0,
Net Income,15924865.0,-22548325.0,10725117.0,-9712416.0,-18545753.0,
Minority Interests,0.0,,,,0.0,
Net Income Including Noncontrolling Interests,15924865.0,-22548325.0,10725117.0,-9712416.0,-18545753.0,
Net Income Continuous Operations,15924865.0,-22548325.0,10725117.0,-9712416.0,-18545753.0,
Tax Provision,-52451.0,223681.0,-802228.0,718827.0,0.0,
Pretax Income,15872414.0,-22324644.0,9922889.0,-8993589.0,-18545753.0,
Other Income Expense,21868749.0,-16758342.0,17271302.0,400121.0,-13249124.0,
Other Non Operating Income Expenses,,,62977.0,64389.0,,
Special Income Charges,959453.0,1170820.0,335309.0,873984.0,0.0,
Gain On Sale Of Ppe,959453.0,1170820.0,335309.0,873984.0,0.0,
Impairment Of Capital Assets,,,0.0,0.0,0.0,
Earnings From Equity Interest,27326184.0,22320034.0,13979245.0,28525857.0,-695633.0,
Gain On Sale Of Security,-6416888.0,-40249196.0,2893771.0,-29064109.0,-12553491.0,
Net Non Operating Interest Income Expense,-1707262.0,-2515772.0,-2843011.0,-3606837.0,-2910141.0,
Interest Expense Non Operating,2033871.0,2747712.0,3097108.0,3683150.0,2920550.0,
Interest Income Non Operating,326609.0,231940.0,254097.0,76313.0,10409.0,
Operating Income,-4289073.0,-3050530.0,-4505402.0,-5786873.0,-2386488.0,
Operating Expense,4152521.0,2908069.0,4318820.0,5572344.0,2231375.0,
Other Operating Expenses,1038469.0,460003.0,979575.0,2960719.0,38969.0,
Selling General And Administration,3114052.0,2448066.0,3339245.0,2611625.0,2192406.0,
Selling And Marketing Expense,269277.0,110303.0,-42255.0,183181.0,169904.0,
General And Administrative Expense,2844775.0,2337763.0,3381500.0,2428444.0,2022502.0,
Other Gand A,955886.0,773581.0,1444663.0,732391.0,511553.0,
Insurance And Claims,270773.0,268131.0,332640.0,352942.0,286010.0,
Salaries And Wages,1618116.0,1296051.0,1604197.0,1343111.0,1224939.0,
Gross Profit,-136552.0,-142461.0,-186582.0,-214529.0,-155113.0,
Cost Of Revenue,136552.0,142461.0,186582.0,214529.0,155113.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
