,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,-1365000.0,-668584.405753,-5134528.301887,-3743023.255814,,
Tax Rate For Calcs,0.248031,0.21,0.145344,0.364151,0.215116,,
Normalized EBITDA,170700000.0,112200000.0,257600000.0,154800000.0,159800000.0,,
Total Unusual Items,0.0,-6500000.0,-4600000.0,-14100000.0,-17400000.0,,
Total Unusual Items Excluding Goodwill,0.0,-6500000.0,-4600000.0,-14100000.0,-17400000.0,,
Net Income From Continuing Operation Net Minority Interest,57300000.0,1900000.0,112900000.0,33700000.0,13500000.0,,
Reconciled Depreciation,47900000.0,48400000.0,48200000.0,51400000.0,54600000.0,,
Reconciled Cost Of Revenue,1994900000.0,1878600000.0,2082500000.0,1889300000.0,1851400000.0,,
EBITDA,170700000.0,105700000.0,253000000.0,140700000.0,142400000.0,,
EBIT,122800000.0,57300000.0,204800000.0,89300000.0,87800000.0,,
Net Interest Income,-53200000.0,-52300000.0,-55500000.0,-54900000.0,-60800000.0,,
Interest Expense,,52300000.0,,,,58700000.0,56900000.0
Normalized Income,57300000.0,7035000.0,116831415.594247,42665471.698113,27156976.744186,,
Net Income From Continuing And Discontinued Operation,57300000.0,1900000.0,112900000.0,33700000.0,13500000.0,,
Total Expenses,2361100000.0,2232800000.0,2450400000.0,2254900000.0,2200200000.0,,
Total Operating Income As Reported,122800000.0,45300000.0,174500000.0,75200000.0,70400000.0,,
Diluted Average Shares,232400000.0,232300000.0,234600000.0,233400000.0,231500000.0,,
Basic Average Shares,231400000.0,230400000.0,229500000.0,229300000.0,229000000.0,,
Diluted EPS,0.25,0.01,0.48,0.14,0.06,,
Basic EPS,0.25,0.01,0.49,0.15,0.06,,
Diluted NI Availto Com Stockholders,57300000.0,1900000.0,112900000.0,33700000.0,13500000.0,,
Net Income Common Stockholders,57300000.0,1900000.0,112900000.0,33700000.0,13500000.0,,
Net Income,57300000.0,1900000.0,112900000.0,33700000.0,13500000.0,,
Net Income Including Noncontrolling Interests,57300000.0,1900000.0,112900000.0,33700000.0,13500000.0,,
Net Income Continuous Operations,57300000.0,1900000.0,112900000.0,33700000.0,13500000.0,,
Tax Provision,18900000.0,3100000.0,19200000.0,19300000.0,3700000.0,,
Pretax Income,76200000.0,5000000.0,132100000.0,53000000.0,17200000.0,,
Other Income Expense,6600000.0,5500000.0,8500000.0,18600000.0,-9800000.0,,
Other Non Operating Income Expenses,6400000.0,900000.0,3800000.0,20600000.0,3300000.0,,
Special Income Charges,0.0,-6500000.0,-4600000.0,-14100000.0,-17400000.0,,
Restructuring And Mergern Acquisition,0.0,6500000.0,4600000.0,14100000.0,17400000.0,,
Earnings From Equity Interest,200000.0,11100000.0,9300000.0,12100000.0,4300000.0,,
Net Non Operating Interest Income Expense,-53200000.0,-52300000.0,-55500000.0,-54900000.0,-60800000.0,,
Total Other Finance Cost,53200000.0,,,54900000.0,60800000.0,,
Interest Expense Non Operating,,52300000.0,,,,58700000.0,56900000.0
Operating Income,122800000.0,51800000.0,179100000.0,89300000.0,87800000.0,,
Operating Expense,344500000.0,332500000.0,349300000.0,343100000.0,325400000.0,,
Other Operating Expenses,318300000.0,305800000.0,319700000.0,314200000.0,294200000.0,,
Depreciation Amortization Depletion Income Statement,26200000.0,26700000.0,29600000.0,28900000.0,31200000.0,,
Depreciation And Amortization In Income Statement,26200000.0,26700000.0,29600000.0,28900000.0,31200000.0,,
Selling General And Administration,,,,,294200000.0,296000000.0,317100000.0
General And Administrative Expense,,,,,294200000.0,296000000.0,317100000.0
Other Gand A,,,,,294200000.0,296000000.0,317100000.0
Gross Profit,467300000.0,384300000.0,528400000.0,432400000.0,413200000.0,,
Cost Of Revenue,2016600000.0,1900300000.0,2101100000.0,1911800000.0,1874800000.0,,
Total Revenue,2483900000.0,2284600000.0,2629500000.0,2344200000.0,2288000000.0,,
Operating Revenue,2483900000.0,2284600000.0,2629500000.0,2344200000.0,2288000000.0,,
