,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-6087433.090024,6867.131215,-85222.088836,-39060.0,70350.0,,
Tax Rate For Calcs,0.21446,0.149285,0.039273,0.21,0.21,,
Normalized EBITDA,43290000.0,37117000.0,23848000.0,4828000.0,7972000.0,,
Total Unusual Items,-28385000.0,46000.0,-2170000.0,-186000.0,335000.0,,
Total Unusual Items Excluding Goodwill,-28385000.0,46000.0,-2170000.0,-186000.0,335000.0,,
Net Income From Continuing Operation Net Minority Interest,9040000.0,28812000.0,16806000.0,466000.0,6358000.0,,
Reconciled Depreciation,1620000.0,1537000.0,2342000.0,1839000.0,1766000.0,,
Reconciled Cost Of Revenue,17291000.0,7106000.0,6284000.0,8576000.0,16803000.0,,
EBITDA,14905000.0,37163000.0,21678000.0,4642000.0,8307000.0,,
EBIT,13285000.0,35626000.0,19336000.0,2803000.0,6541000.0,,
Net Interest Income,-1189000.0,-1327000.0,-1330000.0,-1525000.0,-1428000.0,,
Interest Expense,1777000.0,1758000.0,1843000.0,1964000.0,1965000.0,,
Interest Income,588000.0,431000.0,513000.0,439000.0,537000.0,,
Normalized Income,31337566.909976,28772867.131215,18890777.911164,612940.0,6093350.0,,
Net Income From Continuing And Discontinued Operation,9040000.0,28812000.0,16806000.0,466000.0,6358000.0,,
Total Expenses,90675000.0,72830000.0,79847000.0,89939000.0,74448000.0,,
Diluted Average Shares,14554218.0,14646526.0,14482759.0,13932652.0,13617021.0,,
Basic Average Shares,13364926.0,13126286.0,12824427.0,12639294.0,12549020.0,,
Diluted EPS,0.62,1.97,1.16,0.03,0.47,,
Basic EPS,0.68,2.19,1.31,0.04,0.51,,
Diluted NI Availto Com Stockholders,9040000.0,28812000.0,16806000.0,466000.0,6358000.0,,
Net Income Common Stockholders,9040000.0,28812000.0,16806000.0,466000.0,6358000.0,,
Otherunder Preferred Stock Dividend,,,,,,,0.0
Net Income,9040000.0,28812000.0,16806000.0,466000.0,6358000.0,,
Net Income Including Noncontrolling Interests,9040000.0,28812000.0,16806000.0,466000.0,6358000.0,,
Net Income Continuous Operations,9040000.0,28812000.0,16806000.0,466000.0,6358000.0,,
Tax Provision,2468000.0,5056000.0,687000.0,373000.0,-1782000.0,,
Pretax Income,11508000.0,33868000.0,17493000.0,839000.0,4576000.0,,
Other Income Expense,-28385000.0,46000.0,-2170000.0,-186000.0,335000.0,,
Special Income Charges,-7894000.0,398000.0,-849000.0,17000.0,63000.0,,
Other Special Charges,,,0.0,,,-33442000.0,
Restructuring And Mergern Acquisition,7894000.0,-398000.0,849000.0,-17000.0,-63000.0,,
Gain On Sale Of Security,-20491000.0,-352000.0,-1321000.0,-203000.0,272000.0,,
Net Non Operating Interest Income Expense,-1189000.0,-1327000.0,-1330000.0,-1525000.0,-1428000.0,,
Interest Expense Non Operating,1777000.0,1758000.0,1843000.0,1964000.0,1965000.0,,
Interest Income Non Operating,588000.0,431000.0,513000.0,439000.0,537000.0,,
Operating Income,41082000.0,35149000.0,20993000.0,2550000.0,5669000.0,,
Operating Expense,73384000.0,65724000.0,73563000.0,81363000.0,57645000.0,,
Other Operating Expenses,6203000.0,17296000.0,17164000.0,24419000.0,6152000.0,,
Provision For Doubtful Accounts,25295000.0,10603000.0,16638000.0,13680000.0,14365000.0,,
Selling General And Administration,41886000.0,37825000.0,39761000.0,43264000.0,37128000.0,,
Selling And Marketing Expense,15456000.0,10315000.0,12563000.0,12501000.0,12883000.0,,
General And Administrative Expense,26430000.0,27510000.0,27198000.0,30763000.0,24245000.0,,
Salaries And Wages,26430000.0,27510000.0,27198000.0,30763000.0,24245000.0,,
Gross Profit,114466000.0,100873000.0,94556000.0,83913000.0,63314000.0,,
Cost Of Revenue,17291000.0,7106000.0,6284000.0,8576000.0,16803000.0,,
Total Revenue,131757000.0,107979000.0,100840000.0,92489000.0,80117000.0,,
Operating Revenue,131757000.0,107979000.0,100840000.0,92489000.0,80117000.0,,
