,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-562488.880672,-2042351.0,-1622031.63017,-113680.0,-147838.457597,,
Tax Rate For Calcs,0.270297,0.359,0.337431,0.28,0.257558,,
Normalized EBITDA,49269000.0,46573000.0,40571000.0,54893000.0,59302000.0,,
Total Unusual Items,-2081000.0,-5689000.0,-4807000.0,-406000.0,-574000.0,,
Total Unusual Items Excluding Goodwill,-2081000.0,-5689000.0,-4807000.0,-406000.0,-574000.0,,
Net Income From Continuing Operation Net Minority Interest,13814000.0,8197000.0,5174000.0,19061000.0,23182000.0,,
Reconciled Depreciation,10458000.0,10362000.0,10104000.0,9654000.0,9654000.0,,
Reconciled Cost Of Revenue,130791000.0,116824000.0,112034000.0,94785000.0,100065000.0,,
EBITDA,47188000.0,40884000.0,35764000.0,54487000.0,58728000.0,,
EBIT,36730000.0,30522000.0,25660000.0,44833000.0,49074000.0,,
Net Interest Income,-17799000.0,-17727000.0,-17851000.0,-18369000.0,-17850000.0,,
Interest Expense,17799000.0,17727000.0,17851000.0,18369000.0,17850000.0,,
Normalized Income,15332511.119328,11843649.0,8358968.36983,19353320.0,23608161.542403,,
Net Income From Continuing And Discontinued Operation,13814000.0,8197000.0,5174000.0,19061000.0,23182000.0,,
Total Expenses,192018000.0,178523000.0,174405000.0,149829000.0,156577000.0,,
Rent Expense Supplemental,21146000.0,21210000.0,21699000.0,21608000.0,21650000.0,,
Diluted Average Shares,14879000.0,14907000.0,14904000.0,14897000.0,14943000.0,,
Basic Average Shares,14879000.0,14907000.0,14904000.0,14897000.0,14943000.0,,
Diluted EPS,0.89,0.53,0.34,1.24,1.5,,
Basic EPS,0.89,0.53,0.34,1.24,1.5,,
Diluted NI Availto Com Stockholders,13213000.0,7844000.0,5018000.0,18508000.0,22479000.0,,
Average Dilution Earnings,0.0,,-1000.0,0.0,0.0,0.0,
Net Income Common Stockholders,13213000.0,7844000.0,5019000.0,18508000.0,22479000.0,,
Otherunder Preferred Stock Dividend,601000.0,353000.0,155000.0,553000.0,703000.0,,
Net Income,13814000.0,8197000.0,5174000.0,19061000.0,23182000.0,,
Net Income Including Noncontrolling Interests,13814000.0,8197000.0,5174000.0,19061000.0,23182000.0,,
Net Income Continuous Operations,13814000.0,8197000.0,5174000.0,19061000.0,23182000.0,,
Tax Provision,5117000.0,4598000.0,2635000.0,7403000.0,8042000.0,,
Pretax Income,18931000.0,12795000.0,7809000.0,26464000.0,31224000.0,,
Other Income Expense,-2081000.0,-5689000.0,-4807000.0,-406000.0,-574000.0,,
Special Income Charges,-2081000.0,-5689000.0,-4807000.0,-406000.0,-574000.0,,
Gain On Sale Of Ppe,-31000.0,111000.0,3093000.0,-6000.0,-174000.0,,
Gain On Sale Of Business,,,-800000.0,-400000.0,-400000.0,,-500000.0
Other Special Charges,850000.0,,,,,,0.0
Write Off,200000.0,3000000.0,0.0,0.0,0.0,,
Impairment Of Capital Assets,,3000000.0,7100000.0,0.0,0.0,0.0,
Restructuring And Mergern Acquisition,1000000.0,2800000.0,800000.0,400000.0,400000.0,,
Net Non Operating Interest Income Expense,-17799000.0,-17727000.0,-17851000.0,-18369000.0,-17850000.0,,
Interest Expense Non Operating,17799000.0,17727000.0,17851000.0,18369000.0,17850000.0,,
Operating Income,38766000.0,36257000.0,30365000.0,45205000.0,49690000.0,,
Operating Expense,53463000.0,54053000.0,54930000.0,48114000.0,49581000.0,,
Depreciation Amortization Depletion Income Statement,2694000.0,2716000.0,2663000.0,2724000.0,2723000.0,,
Depreciation And Amortization In Income Statement,2694000.0,2716000.0,2663000.0,2724000.0,2723000.0,,
Amortization,2694000.0,2716000.0,2663000.0,2724000.0,2723000.0,,
Amortization Of Intangibles Income Statement,2694000.0,2716000.0,2663000.0,2724000.0,2723000.0,,
Selling General And Administration,50769000.0,51337000.0,52267000.0,45390000.0,46858000.0,,
General And Administrative Expense,50769000.0,51337000.0,52267000.0,45390000.0,46858000.0,,
Other Gand A,50769000.0,51337000.0,52267000.0,45390000.0,46858000.0,,
Gross Profit,92229000.0,90310000.0,85295000.0,93319000.0,99271000.0,,
Cost Of Revenue,138555000.0,124470000.0,119475000.0,101715000.0,106996000.0,,
Total Revenue,230784000.0,214780000.0,204770000.0,195034000.0,206267000.0,,
Operating Revenue,230784000.0,214780000.0,204770000.0,195034000.0,206267000.0,,
