,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,1024390.243902,-11130000.0,222662.774585,-1395870.0,-85455.0,
Tax Rate For Calcs,0.146341,0.21,0.079014,0.21,0.135,
Normalized EBITDA,518000000.0,326000000.0,23670000.0,125412000.0,429593000.0,
Total Unusual Items,7000000.0,-53000000.0,2818000.0,-6647000.0,-633000.0,
Total Unusual Items Excluding Goodwill,7000000.0,-53000000.0,2818000.0,-6647000.0,-633000.0,
Net Income From Continuing Operation Net Minority Interest,208000000.0,-4000000.0,-213508000.0,-75944000.0,151788000.0,
Reconciled Depreciation,226000000.0,225000000.0,218235000.0,209716000.0,206049000.0,
Reconciled Cost Of Revenue,6386000000.0,6180000000.0,6598100000.0,7199890000.0,7544039000.0,
EBITDA,525000000.0,273000000.0,26488000.0,118765000.0,428960000.0,
EBIT,299000000.0,48000000.0,-191747000.0,-90951000.0,222911000.0,
Net Interest Income,-46000000.0,-40000000.0,-22447000.0,-22087000.0,-26954000.0,
Interest Expense,53000000.0,49000000.0,38464000.0,40396000.0,45449000.0,
Interest Income,7000000.0,9000000.0,16017000.0,18309000.0,18495000.0,
Normalized Income,202024390.243902,37870000.0,-216103337.225415,-70692870.0,152335545.0,
Net Income From Continuing And Discontinued Operation,208000000.0,-4000000.0,-213508000.0,-75944000.0,151788000.0,
Total Expenses,6509000000.0,6289000000.0,6718854000.0,7317904000.0,7648897000.0,
Total Operating Income As Reported,275000000.0,81000000.0,-225986000.0,-120748000.0,196934000.0,
Diluted Average Shares,188110000.0,188488000.0,188307000.0,189840000.0,191510000.0,
Basic Average Shares,188110000.0,188488000.0,188307000.0,189840000.0,191510000.0,
Diluted EPS,1.1,-0.02,-1.14,-0.4,0.79,
Basic EPS,1.1,-0.02,-1.14,-0.4,0.79,
Diluted NI Availto Com Stockholders,206000000.0,-5000000.0,-213253000.0,-76470000.0,150947000.0,
Net Income Common Stockholders,206000000.0,-5000000.0,-213253000.0,-76470000.0,150947000.0,
Otherunder Preferred Stock Dividend,2000000.0,1000000.0,-255000.0,526000.0,841000.0,
Net Income,208000000.0,-4000000.0,-213508000.0,-75944000.0,151788000.0,
Minority Interests,-2000000.0,-2000000.0,-1487000.0,-1863000.0,-1692000.0,
Net Income Including Noncontrolling Interests,210000000.0,-2000000.0,-212021000.0,-74081000.0,153480000.0,
Net Income Continuous Operations,210000000.0,-2000000.0,-212021000.0,-74081000.0,153480000.0,
Tax Provision,36000000.0,1000000.0,-18190000.0,-57266000.0,23982000.0,
Pretax Income,246000000.0,-1000000.0,-230211000.0,-131347000.0,177462000.0,
Other Income Expense,17000000.0,-42000000.0,11206000.0,1504000.0,7482000.0,
Special Income Charges,6000000.0,-54000000.0,4293000.0,-8048000.0,-264000.0,
Gain On Sale Of Ppe,7000000.0,1000000.0,11309000.0,1936000.0,-264000.0,
Gain On Sale Of Business,0.0,-40000000.0,,,,0.0
Other Special Charges,1000000.0,15000000.0,,,,
Write Off,,,7016000.0,9984000.0,,
Earnings From Equity Interest,10000000.0,11000000.0,8388000.0,8151000.0,8115000.0,
Gain On Sale Of Security,1000000.0,1000000.0,,1401000.0,-369000.0,1000000.0
Net Non Operating Interest Income Expense,-46000000.0,-40000000.0,-22447000.0,-22087000.0,-26954000.0,
Interest Expense Non Operating,53000000.0,49000000.0,38464000.0,40396000.0,45449000.0,
Interest Income Non Operating,7000000.0,9000000.0,16017000.0,18309000.0,18495000.0,
Operating Income,275000000.0,81000000.0,-218970000.0,-110764000.0,196934000.0,
Operating Expense,123000000.0,109000000.0,120754000.0,118014000.0,104858000.0,
Other Operating Expenses,9000000.0,5000000.0,655998000.0,629573000.0,591317000.0,
Selling General And Administration,114000000.0,104000000.0,120754000.0,118014000.0,104858000.0,
Gross Profit,398000000.0,190000000.0,-98216000.0,7250000.0,301792000.0,
Cost Of Revenue,6386000000.0,6180000000.0,6598100000.0,7199890000.0,7544039000.0,
Total Revenue,6784000000.0,6370000000.0,6499884000.0,7207140000.0,7845831000.0,
Operating Revenue,6694000000.0,6289000000.0,6323078000.0,7163036000.0,7815047000.0,
