Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-04-25 16:00:00-04:00,0.07,0.01,-0.8649
2024-02-21 17:00:00-05:00,0.05,0.05,-0.0741
2023-10-30 06:00:00-04:00,0.05,0.05,-0.0425
2023-05-04 07:00:00-04:00,0.04,0.04,-0.0969
2023-02-22 07:00:00-05:00,0.04,0.05,0.25
2022-11-03 07:00:00-04:00,0.12,0.28,1.3830000000000002
2022-08-04 08:00:00-04:00,0.06,0.07,0.16670000000000001
2022-05-04 07:00:00-04:00,0.07,0.06,-0.1063
2022-02-23 07:00:00-05:00,0.07,0.12,0.68
2021-11-05 07:00:00-04:00,0.08,0.1,0.25
2021-08-04 07:00:00-04:00,0.09,0.08,-0.0943
