,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,858143.0,0.0,0.0,0.0,-3750.0
Tax Rate For Calcs,0.221,0.223,0.233261,0.204,0.15
Normalized EBITDA,229367000.0,258429000.0,308328000.0,250098000.0,232094000.0
Total Unusual Items,3883000.0,0.0,0.0,0.0,-25000.0
Total Unusual Items Excluding Goodwill,3883000.0,0.0,0.0,0.0,-25000.0
Net Income From Continuing Operation Net Minority Interest,131091000.0,149651000.0,169444000.0,146924000.0,141978000.0
Reconciled Depreciation,20351000.0,20362000.0,26758000.0,20756000.0,20349000.0
Reconciled Cost Of Revenue,684174000.0,668909000.0,878060000.0,656372000.0,660705000.0
EBITDA,233250000.0,258429000.0,308328000.0,250098000.0,232069000.0
EBIT,212899000.0,238067000.0,281570000.0,229342000.0,211720000.0
Net Interest Income,-40819000.0,-41640000.0,-55852000.0,-40387000.0,-40502000.0
Interest Expense,44648000.0,45585000.0,60577000.0,44726000.0,44721000.0
Interest Income,3829000.0,3945000.0,4725000.0,4339000.0,4219000.0
Normalized Income,128066143.0,149651000.0,169444000.0,146924000.0,141999250.0
Net Income From Continuing And Discontinued Operation,131091000.0,149651000.0,169444000.0,146924000.0,141978000.0
Total Expenses,923983000.0,901961000.0,1170262000.0,881288000.0,901608000.0
Total Operating Income As Reported,225044000.0,210095000.0,273652000.0,198831000.0,196103000.0
Diluted Average Shares,34401016.0,34553820.0,34655676.0,35039408.0,35224080.0
Basic Average Shares,34163399.0,34284052.0,34281927.0,34801086.0,34904786.0
Diluted EPS,3.81,4.33,4.89,4.19,4.03
Basic EPS,3.84,4.37,4.942663,4.22,4.07
Diluted NI Availto Com Stockholders,131091000.0,149651000.0,169444000.0,146924000.0,141978000.0
Net Income Common Stockholders,131091000.0,149651000.0,169444000.0,146924000.0,141978000.0
Net Income,131091000.0,149651000.0,169444000.0,146924000.0,141978000.0
Net Income Including Noncontrolling Interests,131091000.0,149651000.0,169444000.0,146924000.0,141978000.0
Net Income Continuous Operations,131091000.0,149651000.0,169444000.0,146924000.0,141978000.0
Tax Provision,37160000.0,42831000.0,51549000.0,37692000.0,25021000.0
Pretax Income,168251000.0,192482000.0,220993000.0,184616000.0,166999000.0
Other Income Expense,-12091000.0,24027000.0,3193000.0,26172000.0,11373000.0
Other Non Operating Income Expenses,-15974000.0,24027000.0,3193000.0,26172000.0,11398000.0
Special Income Charges,3883000.0,0.0,0.0,0.0,-25000.0
Restructuring And Mergern Acquisition,-3883000.0,0.0,0.0,0.0,25000.0
Net Non Operating Interest Income Expense,-40819000.0,-41640000.0,-55852000.0,-40387000.0,-40502000.0
Interest Expense Non Operating,44648000.0,45585000.0,60577000.0,44726000.0,44721000.0
Interest Income Non Operating,3829000.0,3945000.0,4725000.0,4339000.0,4219000.0
Operating Income,221161000.0,210095000.0,273652000.0,198831000.0,196128000.0
Operating Expense,239809000.0,233052000.0,292202000.0,224916000.0,240903000.0
Selling General And Administration,239809000.0,233052000.0,292202000.0,224916000.0,240903000.0
Selling And Marketing Expense,132201000.0,123975000.0,153672000.0,120925000.0,124956000.0
General And Administrative Expense,107608000.0,109077000.0,138530000.0,103991000.0,115947000.0
Other Gand A,107608000.0,109077000.0,138530000.0,103991000.0,115947000.0
Gross Profit,460970000.0,443147000.0,565854000.0,423747000.0,437031000.0
Cost Of Revenue,684174000.0,668909000.0,878060000.0,656372000.0,660705000.0
Total Revenue,1145144000.0,1112056000.0,1443914000.0,1080119000.0,1097736000.0
Operating Revenue,1145144000.0,1112056000.0,1443914000.0,1080119000.0,1097736000.0
