,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.0,0.0,0.0,0.21,0.080234,,
Normalized EBITDA,-2385000.0,-4133000.0,-4627000.0,2237000.0,-1649000.0,,
Total Unusual Items,,,0.0,0.0,0.0,0.0,-230.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,0.0,0.0,-230.0
Net Income From Continuing Operation Net Minority Interest,-2249000.0,-2355000.0,-2181000.0,-2690000.0,-590000.0,,
Reconciled Depreciation,610000.0,602000.0,600000.0,595000.0,594000.0,,
Reconciled Cost Of Revenue,6583000.0,5764000.0,6136000.0,5561000.0,15924000.0,,
EBITDA,-2385000.0,-4133000.0,-4627000.0,2237000.0,-1649000.0,,
EBIT,-2995000.0,-4735000.0,-5227000.0,1642000.0,-2243000.0,,
Net Interest Income,-1789000.0,-1846000.0,-1342000.0,-1413000.0,-1358000.0,,
Interest Expense,1201000.0,1205000.0,1342000.0,1413000.0,1172000.0,,
Normalized Income,-2249000.0,-2355000.0,-2181000.0,-2690000.0,-590000.0,,
Net Income From Continuing And Discontinued Operation,-2249000.0,-2355000.0,-2181000.0,-2690000.0,-590000.0,,
Total Expenses,12570000.0,12081000.0,13787000.0,12733000.0,23920000.0,,
Total Operating Income As Reported,-2426000.0,-3924000.0,-4704000.0,-3658000.0,-2065000.0,,
Diluted Average Shares,9937000.0,6710000.0,4029000.0,3793000.0,3701000.0,,
Basic Average Shares,9937000.0,6710000.0,4029000.0,3793000.0,3701000.0,,
Diluted EPS,-0.23,-0.35,-0.54,-0.71,-0.16,,
Basic EPS,-0.23,-0.35,-0.54,-0.71,-0.16,,
Diluted NI Availto Com Stockholders,-2249000.0,-2355000.0,-2181000.0,-2690000.0,-590000.0,,
Net Income Common Stockholders,-2249000.0,-2355000.0,-2181000.0,-2690000.0,-590000.0,,
Otherunder Preferred Stock Dividend,,,,,0.0,,
Net Income,-2249000.0,-2355000.0,-2181000.0,-2690000.0,-590000.0,,
Minority Interests,1947000.0,3585000.0,4388000.0,3687000.0,2551000.0,,
Net Income Including Noncontrolling Interests,-4196000.0,-5940000.0,-6569000.0,-6377000.0,-3141000.0,,
Net Income Continuous Operations,-4196000.0,-5940000.0,-6569000.0,-6377000.0,-3141000.0,,
Tax Provision,0.0,0.0,0.0,6606000.0,-274000.0,,
Pretax Income,-4196000.0,-5940000.0,-6569000.0,229000.0,-3415000.0,,
Other Income Expense,19000.0,-170000.0,-523000.0,5300000.0,8000.0,,
Other Non Operating Income Expenses,19000.0,-170000.0,-523000.0,5300000.0,8000.0,,
Special Income Charges,,,0.0,0.0,0.0,0.0,-230.0
Other Special Charges,,,,,,,230.0
Net Non Operating Interest Income Expense,-1789000.0,-1846000.0,-1342000.0,-1413000.0,-1358000.0,,
Total Other Finance Cost,588000.0,641000.0,,,186000.0,186000.0,
Interest Expense Non Operating,1201000.0,1205000.0,1342000.0,1413000.0,1172000.0,,
Operating Income,-2426000.0,-3924000.0,-4704000.0,-3658000.0,-2065000.0,,
Operating Expense,5987000.0,6317000.0,7651000.0,7172000.0,7996000.0,,
Selling General And Administration,5987000.0,6317000.0,7651000.0,7172000.0,7996000.0,,
General And Administrative Expense,5987000.0,6317000.0,7651000.0,7172000.0,7996000.0,,
Other Gand A,2348000.0,2653000.0,3465000.0,3646000.0,3830000.0,,
Salaries And Wages,3639000.0,3664000.0,4186000.0,3526000.0,4166000.0,,
Gross Profit,3561000.0,2393000.0,2947000.0,3514000.0,5931000.0,,
Cost Of Revenue,6583000.0,5764000.0,6136000.0,5561000.0,15924000.0,,
Total Revenue,10144000.0,8157000.0,9083000.0,9075000.0,21855000.0,,
Operating Revenue,10144000.0,8157000.0,9083000.0,9075000.0,21855000.0,,
