,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,76080000.0,-352320000.0,6720000.0,-295200000.0,8640000.0,
Tax Rate For Calcs,0.24,0.24,0.24,0.24,0.24,
Normalized EBITDA,5227000000.0,7078000000.0,6480000000.0,6802000000.0,7297000000.0,
Total Unusual Items,317000000.0,-1468000000.0,28000000.0,-1230000000.0,36000000.0,
Total Unusual Items Excluding Goodwill,317000000.0,-1468000000.0,28000000.0,-1230000000.0,36000000.0,
Net Income From Continuing Operation Net Minority Interest,522000000.0,661000000.0,1211000000.0,173000000.0,1916000000.0,
Reconciled Depreciation,1842000000.0,1928000000.0,1958000000.0,1985000000.0,1769000000.0,
Reconciled Cost Of Revenue,18675000000.0,19015000000.0,19319000000.0,21770000000.0,18713000000.0,
EBITDA,5544000000.0,5610000000.0,6508000000.0,5572000000.0,7333000000.0,
EBIT,3702000000.0,3682000000.0,4550000000.0,3587000000.0,5564000000.0,
Net Interest Income,-404000000.0,-219000000.0,-386000000.0,-88000000.0,-252000000.0,
Interest Expense,2054000000.0,1610000000.0,1825000000.0,2435000000.0,2126000000.0,
Interest Income,1650000000.0,1391000000.0,1439000000.0,2347000000.0,1874000000.0,
Normalized Income,281080000.0,1776680000.0,1189720000.0,1107800000.0,1888640000.0,
Net Income From Continuing And Discontinued Operation,522000000.0,661000000.0,1211000000.0,173000000.0,1916000000.0,
Total Expenses,19461000000.0,19648000000.0,20347000000.0,22767000000.0,19353000000.0,
Total Operating Income As Reported,1360000000.0,1581000000.0,2670000000.0,856000000.0,3126000000.0,
Diluted Average Shares,1611550000.0,,1632300000.0,1653050000.0,1650000000.0,1672150000.0
Basic Average Shares,1580050000.0,,1600650000.0,1621400000.0,1645100000.0,1669000000.0
Diluted EPS,0.32,,0.74,0.1,1.14,0.16
Basic EPS,0.32,,0.74,0.1,1.14,0.16
Diluted NI Availto Com Stockholders,522000000.0,621000000.0,1211000000.0,73000000.0,1916000000.0,
Net Income Common Stockholders,522000000.0,621000000.0,1211000000.0,73000000.0,1916000000.0,
Net Income,522000000.0,661000000.0,1211000000.0,173000000.0,1916000000.0,
Minority Interests,-22000000.0,-34000000.0,-26000000.0,-31000000.0,-19000000.0,
Net Income Including Noncontrolling Interests,544000000.0,695000000.0,1237000000.0,204000000.0,1935000000.0,
Net Income Continuous Operations,544000000.0,695000000.0,1237000000.0,204000000.0,1935000000.0,
Tax Provision,1104000000.0,1377000000.0,1488000000.0,948000000.0,1503000000.0,
Pretax Income,1648000000.0,2072000000.0,2725000000.0,1152000000.0,3438000000.0,
Other Income Expense,855000000.0,224000000.0,522000000.0,-615000000.0,724000000.0,
Other Non Operating Income Expenses,358000000.0,1342000000.0,233000000.0,327000000.0,331000000.0,
Special Income Charges,-195000000.0,-1345000000.0,-152000000.0,-1374000000.0,-171000000.0,
Write Off,-2000000.0,25000000.0,51000000.0,139000000.0,50000000.0,
Impairment Of Capital Assets,197000000.0,1505000000.0,101000000.0,1692000000.0,121000000.0,
Earnings From Equity Interest,180000000.0,350000000.0,261000000.0,288000000.0,357000000.0,
Gain On Sale Of Security,512000000.0,-123000000.0,180000000.0,144000000.0,207000000.0,
Net Non Operating Interest Income Expense,-404000000.0,-219000000.0,-386000000.0,-88000000.0,-252000000.0,
Total Other Finance Cost,,,-127000000.0,-31000000.0,-128000000.0,-59000000.0
Interest Expense Non Operating,2054000000.0,1610000000.0,1825000000.0,2435000000.0,2126000000.0,
Interest Income Non Operating,1650000000.0,1391000000.0,1439000000.0,2347000000.0,1874000000.0,
Operating Income,1197000000.0,2067000000.0,2589000000.0,1855000000.0,2966000000.0,
Operating Expense,786000000.0,633000000.0,1028000000.0,997000000.0,640000000.0,
Other Operating Expenses,-32000000.0,109000000.0,189000000.0,,-23000000.0,-85000000.0
Selling General And Administration,818000000.0,822000000.0,839000000.0,933000000.0,663000000.0,
General And Administrative Expense,818000000.0,822000000.0,839000000.0,933000000.0,663000000.0,
Salaries And Wages,818000000.0,822000000.0,839000000.0,933000000.0,663000000.0,
Gross Profit,1983000000.0,2700000000.0,3617000000.0,2852000000.0,3606000000.0,
Cost Of Revenue,18675000000.0,19015000000.0,19319000000.0,21770000000.0,18713000000.0,
Total Revenue,20658000000.0,21715000000.0,22936000000.0,24622000000.0,22319000000.0,
Operating Revenue,29039000000.0,39572000000.0,22936000000.0,29789000000.0,31919000000.0,
