,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,-21875280.0
Tax Rate For Calcs,0.361023,0.315,0.227583,0.182316,0.21
Total Unusual Items,0.0,,0.0,0.0,-104168000.0
Total Unusual Items Excluding Goodwill,0.0,,0.0,0.0,-104168000.0
Net Income From Continuing Operation Net Minority Interest,-69775000.0,1675000.0,15290000.0,21815000.0,-83802000.0
Reconciled Depreciation,785000.0,826000.0,1036000.0,670000.0,706000.0
Net Interest Income,67776000.0,65649000.0,70794000.0,71843000.0,71353000.0
Interest Expense,83667000.0,88229000.0,97623000.0,101970000.0,98378000.0
Interest Income,151443000.0,153878000.0,168417000.0,173813000.0,169731000.0
Normalized Income,-69775000.0,1675000.0,15290000.0,21815000.0,-1509280.0
Net Income From Continuing And Discontinued Operation,-69775000.0,1675000.0,15290000.0,21815000.0,-83802000.0
Diluted Average Shares,30375000.0,30404000.0,30321644.0,30242000.0,30186000.0
Basic Average Shares,30375000.0,30275000.0,30199433.0,30174000.0,30186000.0
Diluted EPS,-2.3,0.06,0.5,0.72,-2.78
Basic EPS,-2.3,0.06,0.51,0.72,-2.78
Diluted NI Availto Com Stockholders,-69775000.0,1675000.0,15290000.0,21815000.0,-83802000.0
Net Income Common Stockholders,-69775000.0,1675000.0,15290000.0,21815000.0,-83802000.0
Net Income,-69775000.0,1675000.0,15290000.0,21815000.0,-83802000.0
Net Income Including Noncontrolling Interests,-69775000.0,1675000.0,15290000.0,21815000.0,-83802000.0
Net Income Continuous Operations,-69775000.0,1675000.0,15290000.0,21815000.0,-83802000.0
Tax Provision,-39423000.0,772000.0,4505000.0,4864000.0,4429000.0
Pretax Income,-109198000.0,2447000.0,19795000.0,26679000.0,-79373000.0
Special Income Charges,0.0,,0.0,0.0,-104168000.0
Impairment Of Capital Assets,0.0,,0.0,0.0,104168000.0
Gain On Sale Of Security,-1854000.0,4000.0,4000.0,3000.0,3000.0
Selling General And Administration,31161000.0,32301000.0,33218000.0,30662000.0,29349000.0
Selling And Marketing Expense,1144000.0,1371000.0,1340000.0,1588000.0,1662000.0
General And Administrative Expense,30017000.0,30930000.0,31878000.0,29074000.0,27687000.0
Insurance And Claims,8077000.0,8962000.0,9281000.0,7399000.0,5917000.0
Salaries And Wages,21940000.0,21968000.0,22597000.0,21675000.0,21770000.0
Total Revenue,74190000.0,73856000.0,74861000.0,78794000.0,76685000.0
Operating Revenue,74190000.0,73856000.0,74861000.0,78794000.0,76685000.0
Occupancy And Equipment,3019000.0,3203000.0,2635000.0,2794000.0,2894000.0
Professional Expense And Contract Services Expense,1550000.0,3122000.0,641000.0,3433000.0,2705000.0
Other Non Interest Expense,7740000.0,6825000.0,8038000.0,6725000.0,7375000.0
