,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-4067867.036011,-3715200.0,-5187000.0,0.0,-5418000.0,
Tax Rate For Calcs,0.369806,0.344,0.21,0.21,0.21,
Normalized EBITDA,121600000.0,85000000.0,63800000.0,27700000.0,91700000.0,
Total Unusual Items,-11000000.0,-10800000.0,-24700000.0,,-25800000.0,-33600000.0
Total Unusual Items Excluding Goodwill,-11000000.0,-10800000.0,-24700000.0,,-25800000.0,-33600000.0
Net Income From Continuing Operation Net Minority Interest,45500000.0,23500000.0,0.0,14600000.0,14700000.0,
Reconciled Depreciation,11800000.0,11700000.0,11900000.0,5700000.0,11100000.0,
Reconciled Cost Of Revenue,89200000.0,85900000.0,95400000.0,112300000.0,73500000.0,
EBITDA,110600000.0,74200000.0,39100000.0,27700000.0,65900000.0,
EBIT,98800000.0,62500000.0,27200000.0,22000000.0,54800000.0,
Net Interest Income,-26600000.0,-26700000.0,-27900000.0,-29000000.0,-27800000.0,
Interest Expense,26600000.0,26700000.0,27900000.0,29000000.0,27800000.0,
Normalized Income,52432132.963989,30584800.0,19513000.0,14600000.0,35082000.0,
Net Income From Continuing And Discontinued Operation,45500000.0,23500000.0,0.0,14600000.0,14700000.0,
Total Expenses,190500000.0,185300000.0,208500000.0,141700000.0,190800000.0,
Total Operating Income As Reported,94000000.0,62900000.0,28700000.0,26200000.0,55900000.0,
Diluted Average Shares,58495000.0,58547000.0,58622000.0,58400000.0,57842000.0,
Basic Average Shares,58490000.0,58290000.0,57952000.0,58400000.0,57768000.0,
Diluted EPS,0.78,0.4,0.0,0.25,0.25,
Basic EPS,0.78,0.4,0.0,0.25,0.25,
Diluted NI Availto Com Stockholders,45500000.0,23500000.0,0.0,14600000.0,14700000.0,
Net Income Common Stockholders,45500000.0,23500000.0,0.0,14600000.0,14700000.0,
Net Income,45500000.0,23500000.0,0.0,14600000.0,14700000.0,
Net Income Including Noncontrolling Interests,45500000.0,23500000.0,0.0,14600000.0,14700000.0,
Net Income Continuous Operations,45500000.0,23500000.0,0.0,14600000.0,14700000.0,
Tax Provision,26700000.0,12300000.0,-700000.0,-21600000.0,12300000.0,
Pretax Income,72200000.0,35800000.0,-700000.0,-7000000.0,27000000.0,
Other Income Expense,-6200000.0,-11200000.0,-26200000.0,-122400000.0,-26900000.0,
Other Non Operating Income Expenses,4800000.0,-400000.0,-1500000.0,-4200000.0,-1100000.0,
Special Income Charges,-11000000.0,-10800000.0,-24700000.0,,-25800000.0,-33600000.0
Other Special Charges,300000.0,1000000.0,14300000.0,,,
Restructuring And Mergern Acquisition,10700000.0,9800000.0,10400000.0,,25800000.0,33600000.0
Net Non Operating Interest Income Expense,-26600000.0,-26700000.0,-27900000.0,-29000000.0,-27800000.0,
Interest Expense Non Operating,26600000.0,26700000.0,27900000.0,29000000.0,27800000.0,
Operating Income,105000000.0,73700000.0,53400000.0,144400000.0,81700000.0,
Operating Expense,92100000.0,90400000.0,103700000.0,29400000.0,108400000.0,
Other Operating Expenses,700000.0,100000.0,-200000.0,,100000.0,700000.0
Depreciation Amortization Depletion Income Statement,2600000.0,2700000.0,2500000.0,,2200000.0,1200000.0
Depreciation And Amortization In Income Statement,2600000.0,2700000.0,2500000.0,,2200000.0,1200000.0
Amortization,2600000.0,2700000.0,2500000.0,,2200000.0,1200000.0
Amortization Of Intangibles Income Statement,2600000.0,2700000.0,2500000.0,,2200000.0,1200000.0
Research And Development,4400000.0,8000000.0,20300000.0,19800000.0,20400000.0,
Selling General And Administration,84400000.0,79600000.0,81100000.0,96800000.0,85700000.0,
Gross Profit,197100000.0,164100000.0,157100000.0,173800000.0,190100000.0,
Cost Of Revenue,98400000.0,94900000.0,104800000.0,112300000.0,82400000.0,
Total Revenue,295500000.0,259000000.0,261900000.0,286100000.0,272500000.0,
Operating Revenue,295500000.0,259000000.0,261900000.0,286100000.0,272500000.0,
