GradeDate,Firm,ToGrade,FromGrade,Action
2024-05-06 16:39:02,Craig-Hallum,Buy,,init
2023-12-11 11:42:59,HC Wainwright & Co.,Buy,Buy,reit
2023-08-11 11:05:20,HC Wainwright & Co.,Buy,Buy,main
2023-07-03 10:11:11,HC Wainwright & Co.,Buy,Buy,main
2023-03-21 10:19:50,HC Wainwright & Co.,Buy,,reit
2022-09-26 10:30:39,HC Wainwright & Co.,Buy,,main
2022-07-25 10:24:30,HC Wainwright & Co.,Buy,,main
2022-03-22 10:12:54,HC Wainwright & Co.,Buy,,main
2021-03-17 10:45:43,HC Wainwright & Co.,Buy,,main
2021-01-04 11:11:55,HC Wainwright & Co.,Buy,,main
2020-09-30 10:48:02,HC Wainwright & Co.,Buy,,main
2020-05-26 11:06:47,HC Wainwright & Co.,Buy,,main
2020-05-15 11:19:25,B. Riley Securities,Buy,,main
2020-03-30 11:13:26,HC Wainwright & Co.,Buy,,reit
2020-01-28 12:29:03,HC Wainwright & Co.,Buy,,reit
2019-10-23 11:14:53,HC Wainwright & Co.,Buy,,reit
2019-09-20 10:46:57,B. Riley Securities,Buy,,init
2019-06-10 12:16:58,HC Wainwright & Co.,Buy,,init
