,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,-16527.27577,,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.011839,,
Normalized EBITDA,-17195000.0,-13188000.0,-38776323.0,-12431526.0,-21280000.0,,
Total Unusual Items,10481000.0,-9876000.0,-1506231.0,-3256898.0,-1396000.0,,
Total Unusual Items Excluding Goodwill,10481000.0,-9876000.0,-1506231.0,-3256898.0,-1396000.0,,
Net Income From Continuing Operation Net Minority Interest,-6326000.0,-24243000.0,-31793254.0,-16123720.0,-22019000.0,,
Reconciled Depreciation,1881000.0,2159000.0,1742264.0,1326736.0,776000.0,,
Reconciled Cost Of Revenue,1828000.0,17252000.0,16941809.0,11174483.0,10435000.0,,
EBITDA,-6714000.0,-23064000.0,-40282554.0,-15688424.0,-22676000.0,,
EBIT,-8595000.0,-25223000.0,-42024818.0,-17015160.0,-23459000.0,,
Net Interest Income,-39000.0,-67000.0,77533.0,198445.0,464000.0,,
Interest Expense,240000.0,346000.0,423573.0,452430.0,445000.0,,
Interest Income,201000.0,279000.0,501106.0,650875.0,909000.0,,
Normalized Income,-16807000.0,-14367000.0,-30287023.0,-12866822.0,-20639527.27577,,
Net Income From Continuing And Discontinued Operation,-6326000.0,-24243000.0,-31793254.0,-16123720.0,-22019000.0,,
Total Expenses,22941000.0,33865000.0,54364630.0,23666937.0,28292000.0,,
Total Operating Income As Reported,-19277000.0,-15626000.0,-41002693.0,-14409137.0,-22972000.0,,
Diluted Average Shares,186880121.0,186222285.0,,180652905.0,183237488.0,173486569.0,
Basic Average Shares,186880121.0,186222285.0,,180652905.0,183237488.0,173486569.0,
Diluted EPS,-0.03,-0.13,,-0.089252,-0.12,-0.04,
Basic EPS,-0.03,-0.13,,-0.089252,-0.12,-0.04,
Diluted NI Availto Com Stockholders,-6326000.0,-24243000.0,-31793254.0,-16123720.0,-22019000.0,,
Net Income Common Stockholders,-6326000.0,-24243000.0,-31793254.0,-16123720.0,-22019000.0,,
Net Income,-6326000.0,-24243000.0,-31793254.0,-16123720.0,-22019000.0,,
Minority Interests,2509000.0,1144000.0,4726137.0,1343870.0,1602000.0,,
Net Income Including Noncontrolling Interests,-8835000.0,-25387000.0,-36519391.0,-17467590.0,-23621000.0,,
Net Income Continuous Operations,-8835000.0,-25387000.0,-36519391.0,-17467590.0,-23621000.0,,
Tax Provision,0.0,-182000.0,,,-283000.0,-5081000.0,
Pretax Income,-8835000.0,-25569000.0,-42448391.0,-17467590.0,-23904000.0,,
Other Income Expense,10481000.0,-9876000.0,-1523231.0,-3256898.0,-1396000.0,,
Other Non Operating Income Expenses,,,,,,-17000.0,
Special Income Charges,,,-6212.0,0.0,0.0,6212.0,-1559822.0
Gain On Sale Of Ppe,,,-6212.0,0.0,0.0,6212.0,-22000.0
Impairment Of Capital Assets,,,,,,-24240.0,
Earnings From Equity Interest,,,,,,,0.0
Gain On Sale Of Security,10481000.0,-9876000.0,-1500019.0,-3256898.0,-1396000.0,,
Net Non Operating Interest Income Expense,-39000.0,-67000.0,77533.0,198445.0,464000.0,,
Interest Expense Non Operating,240000.0,346000.0,423573.0,452430.0,445000.0,,
Interest Income Non Operating,201000.0,279000.0,501106.0,650875.0,909000.0,,
Operating Income,-19277000.0,-15626000.0,-41002693.0,-14409137.0,-22972000.0,,
Operating Expense,20407000.0,15603000.0,37422821.0,12492454.0,17864000.0,,
Other Operating Expenses,9141000.0,6422000.0,32001247.0,648027.0,12056000.0,,
Depreciation Amortization Depletion Income Statement,1175000.0,1149000.0,,,783000.0,836000.0,
Depletion Income Statement,,,,,-1581474.0,1581474.0,
Depreciation And Amortization In Income Statement,1175000.0,1149000.0,,,783000.0,836000.0,
Selling General And Administration,10091000.0,8032000.0,2052574.0,11844427.0,5025000.0,,
Selling And Marketing Expense,,,,,,,-564.0
General And Administrative Expense,10091000.0,8032000.0,2052574.0,11844427.0,5025000.0,,
Other Gand A,10091000.0,8032000.0,13005373.0,7150305.0,5025000.0,,
Salaries And Wages,,,,4694122.0,3214729.0,3061061.0,6233577.0
Gross Profit,1130000.0,-23000.0,-3579872.0,-1916683.0,-5108000.0,,
Cost Of Revenue,2534000.0,18262000.0,16941809.0,11174483.0,10428000.0,,
Total Revenue,3664000.0,18239000.0,13361937.0,9257800.0,5320000.0,,
Operating Revenue,3664000.0,18239000.0,13361937.0,9257800.0,5320000.0,,
