,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-33690000.0,-37947000.0,-42198000.0,-47770000.0,-40362000.0
Net Income From Continuing Operation Net Minority Interest,-34070000.0,-37621000.0,-52153000.0,-47678000.0,-38427000.0
Reconciled Depreciation,3278000.0,3333000.0,4813000.0,4607000.0,4721000.0
EBITDA,-33690000.0,-37947000.0,-42198000.0,-47770000.0,-40362000.0
EBIT,-36968000.0,-41280000.0,-47011000.0,-52377000.0,-45083000.0
Net Interest Income,2921000.0,3336000.0,3874000.0,4438000.0,4827000.0
Interest Income,2921000.0,3336000.0,3874000.0,4438000.0,4827000.0
Normalized Income,-34070000.0,-37621000.0,-52153000.0,-47678000.0,-38427000.0
Net Income From Continuing And Discontinued Operation,-34070000.0,-37621000.0,-52153000.0,-47678000.0,-38427000.0
Total Expenses,38875000.0,42909000.0,48871000.0,55451000.0,51855000.0
Total Operating Income As Reported,-36968000.0,-41280000.0,-61748000.0,-52377000.0,-45083000.0
Diluted Average Shares,118528046.0,118375540.0,117794424.0,117769161.0,117468124.0
Basic Average Shares,118528046.0,118375540.0,117794424.0,117769161.0,117468124.0
Diluted EPS,-0.29,-0.32,-0.44,-0.4,-0.33
Basic EPS,-0.29,-0.32,-0.44,-0.4,-0.33
Diluted NI Availto Com Stockholders,-34070000.0,-37621000.0,-52153000.0,-47678000.0,-38427000.0
Net Income Common Stockholders,-34070000.0,-37621000.0,-52153000.0,-47678000.0,-38427000.0
Net Income,-34070000.0,-37621000.0,-52153000.0,-47678000.0,-38427000.0
Net Income Including Noncontrolling Interests,-34070000.0,-37621000.0,-52153000.0,-47678000.0,-38427000.0
Net Income Continuous Operations,-34070000.0,-37621000.0,-52153000.0,-47678000.0,-38427000.0
Pretax Income,-34070000.0,-37621000.0,-52153000.0,-47678000.0,-38427000.0
Other Income Expense,-23000.0,323000.0,-9016000.0,261000.0,1829000.0
Other Non Operating Income Expenses,-23000.0,323000.0,4902000.0,261000.0,1829000.0
Net Non Operating Interest Income Expense,2921000.0,3336000.0,3874000.0,4438000.0,4827000.0
Interest Income Non Operating,2921000.0,3336000.0,3874000.0,4438000.0,4827000.0
Operating Income,-36968000.0,-41280000.0,-47011000.0,-52377000.0,-45083000.0
Operating Expense,38875000.0,42909000.0,48871000.0,55451000.0,51855000.0
Research And Development,27430000.0,29136000.0,33609000.0,34650000.0,34604000.0
Selling General And Administration,11445000.0,13773000.0,15262000.0,20801000.0,17251000.0
General And Administrative Expense,11445000.0,13773000.0,15262000.0,20801000.0,17251000.0
Other Gand A,11445000.0,13773000.0,15262000.0,20801000.0,17251000.0
Total Revenue,1907000.0,1629000.0,1860000.0,3074000.0,6772000.0
Operating Revenue,1907000.0,1629000.0,1860000.0,3074000.0,6772000.0
