,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.399006,0.045,0.029,0.104204,0.21,,
Normalized EBITDA,12290000.0,-38892000.0,-49233000.0,71701000.0,8990000.0,,
Net Income From Continuing Operation Net Minority Interest,6252000.0,-31046000.0,-41466000.0,47843000.0,785000.0,,
Reconciled Depreciation,8255000.0,6189000.0,4485000.0,4087000.0,4424000.0,,
Reconciled Cost Of Revenue,508807000.0,385790000.0,163917000.0,1069429000.0,399472000.0,,
EBITDA,12290000.0,-38892000.0,-49233000.0,71701000.0,8990000.0,,
EBIT,4035000.0,-45081000.0,-53718000.0,67614000.0,4566000.0,,
Net Interest Income,-1083000.0,-391000.0,741000.0,1122000.0,1300000.0,,
Interest Income,,,741000.0,1122000.0,1300000.0,1261000.0,1993000.0
Normalized Income,6252000.0,-31046000.0,-41466000.0,47843000.0,785000.0,,
Net Income From Continuing And Discontinued Operation,6252000.0,-31046000.0,-41466000.0,47843000.0,785000.0,,
Total Expenses,598498000.0,476699000.0,240506000.0,1160534000.0,478751000.0,,
Diluted Average Shares,183645493.0,129985932.0,129482668.0,184492220.0,184219065.0,,
Basic Average Shares,130723258.0,129985932.0,129482668.0,128879394.0,127910081.0,,
Diluted EPS,0.01,-0.24,-0.32,0.34,0.0,,
Basic EPS,0.05,-0.24,-0.32,0.37,0.01,,
Diluted NI Availto Com Stockholders,1986000.0,-31046000.0,-41466000.0,47843000.0,801000.0,,
Average Dilution Earnings,-4266000.0,,,,16000.0,,
Net Income Common Stockholders,6252000.0,-31046000.0,-41466000.0,47843000.0,785000.0,,
Net Income,6252000.0,-31046000.0,-41466000.0,47843000.0,785000.0,,
Minority Interests,-642000.0,10886000.0,15547000.0,-19881000.0,-290000.0,,
Net Income Including Noncontrolling Interests,6894000.0,-41932000.0,-57013000.0,67724000.0,1075000.0,,
Net Income Continuous Operations,6894000.0,-41932000.0,-57013000.0,67724000.0,1075000.0,,
Tax Provision,4577000.0,-1993000.0,-1715000.0,7878000.0,4229000.0,,
Pretax Income,11471000.0,-43925000.0,-58728000.0,75602000.0,5304000.0,,
Other Income Expense,8519000.0,1547000.0,-5751000.0,6866000.0,-562000.0,,
Other Non Operating Income Expenses,8519000.0,1547000.0,-5751000.0,6866000.0,-562000.0,,
Net Non Operating Interest Income Expense,-1083000.0,-391000.0,741000.0,1122000.0,1300000.0,,
Total Other Finance Cost,1083000.0,391000.0,,,-1300000.0,-1261000.0,
Interest Income Non Operating,,,741000.0,1122000.0,1300000.0,1261000.0,1993000.0
Operating Income,4035000.0,-45081000.0,-53718000.0,67614000.0,4566000.0,,
Operating Expense,85064000.0,87663000.0,74919000.0,89855000.0,78479000.0,,
Depreciation Amortization Depletion Income Statement,3628000.0,2943000.0,2815000.0,2837000.0,3624000.0,,
Depreciation And Amortization In Income Statement,3628000.0,2943000.0,2815000.0,2837000.0,3624000.0,,
Research And Development,26011000.0,22119000.0,17195000.0,18352000.0,14976000.0,,
Selling General And Administration,55425000.0,62601000.0,54909000.0,68666000.0,59879000.0,,
Selling And Marketing Expense,19822000.0,21189000.0,18202000.0,22571000.0,14773000.0,,
General And Administrative Expense,35603000.0,41412000.0,36707000.0,46095000.0,45106000.0,,
Other Gand A,35603000.0,41412000.0,36707000.0,46095000.0,45106000.0,,
Gross Profit,89099000.0,42582000.0,21201000.0,157469000.0,83045000.0,,
Cost Of Revenue,513434000.0,389036000.0,165587000.0,1070679000.0,400272000.0,,
Total Revenue,602533000.0,431618000.0,186788000.0,1228148000.0,483317000.0,,
Operating Revenue,602533000.0,431618000.0,186788000.0,1228148000.0,483317000.0,,
