,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,334383.634741,-118880.789714,679802.315189,353676.985195,849330.357143,,
Tax Rate For Calcs,0.08528,0.095487,0.049581,0.15747,0.085852,,
Normalized EBITDA,49785000.0,-15231000.0,11513000.0,-6645000.0,-6909000.0,,
Total Unusual Items,3921000.0,-1245000.0,13711000.0,2246000.0,9893000.0,,
Total Unusual Items Excluding Goodwill,3921000.0,-1245000.0,13711000.0,2246000.0,9893000.0,,
Net Income From Continuing Operation Net Minority Interest,47125000.0,-16872000.0,22332000.0,-5008000.0,1331000.0,,
Reconciled Cost Of Revenue,102543000.0,71584000.0,103065000.0,89391000.0,118409000.0,,
EBITDA,53706000.0,-16476000.0,25224000.0,-4399000.0,2984000.0,,
EBIT,53706000.0,-16476000.0,25224000.0,-4399000.0,2984000.0,,
Net Interest Income,-1573000.0,-1618000.0,-1478000.0,-1288000.0,-753000.0,,
Interest Expense,2170000.0,2113000.0,1727000.0,1545000.0,1528000.0,,
Interest Income,597000.0,495000.0,249000.0,257000.0,775000.0,,
Normalized Income,43538383.634741,-15745880.789714,9300802.315189,-6900323.014805,-7712669.642857,,
Net Income From Continuing And Discontinued Operation,47125000.0,-16872000.0,22332000.0,-5008000.0,1331000.0,,
Total Expenses,105665000.0,74413000.0,129845000.0,95916000.0,120729000.0,,
Total Operating Income As Reported,53138000.0,-17107000.0,24117000.0,-3952000.0,2224000.0,,
Diluted Average Shares,168647741.0,168488907.0,,162902268.0,162902268.0,158035068.0,
Basic Average Shares,163265449.0,163106615.0,,162902268.0,162902268.0,154395278.0,
Diluted EPS,0.28,-0.1,,-0.03,0.01,0.22,
Basic EPS,0.29,-0.1,,-0.03,0.01,0.23,
Diluted NI Availto Com Stockholders,47125000.0,-16872000.0,22332000.0,-5008000.0,1331000.0,,
Net Income Common Stockholders,47125000.0,-16872000.0,22332000.0,-5008000.0,1331000.0,,
Net Income,47125000.0,-16872000.0,22332000.0,-5008000.0,1331000.0,,
Minority Interests,-16000.0,-58000.0,,,0.0,0.0,
Net Income Including Noncontrolling Interests,47141000.0,-16814000.0,22332000.0,-5008000.0,1331000.0,,
Net Income Continuous Operations,47141000.0,-16814000.0,22332000.0,-5008000.0,1331000.0,,
Tax Provision,4395000.0,-1775000.0,1165000.0,-936000.0,125000.0,,
Pretax Income,51536000.0,-18589000.0,23497000.0,-5944000.0,1456000.0,,
Other Income Expense,43379000.0,-20602000.0,55659000.0,923000.0,-6483000.0,,
Other Non Operating Income Expenses,39458000.0,-19357000.0,41948000.0,-1323000.0,-16376000.0,,
Special Income Charges,3807000.0,-1381000.0,13295000.0,2246000.0,9893000.0,,
Gain On Sale Of Ppe,3807000.0,-1381000.0,21371000.0,2246000.0,9893000.0,,
Impairment Of Capital Assets,,,8076000.0,0.0,0.0,0.0,1162921.0
Gain On Sale Of Security,114000.0,136000.0,,,,,
Net Non Operating Interest Income Expense,-1573000.0,-1618000.0,-1478000.0,-1288000.0,-753000.0,,
Interest Expense Non Operating,2170000.0,2113000.0,1727000.0,1545000.0,1528000.0,,
Interest Income Non Operating,597000.0,495000.0,249000.0,257000.0,775000.0,,
Operating Income,9730000.0,3631000.0,-30684000.0,-5579000.0,8692000.0,,
Operating Expense,3122000.0,2829000.0,26780000.0,6525000.0,2320000.0,,
Research And Development,387000.0,364000.0,2264000.0,2602000.0,343000.0,,
Selling General And Administration,2735000.0,2465000.0,24516000.0,3923000.0,1977000.0,,
Selling And Marketing Expense,647000.0,460000.0,5005000.0,1489000.0,585000.0,,
General And Administrative Expense,2088000.0,2005000.0,19511000.0,2434000.0,1392000.0,,
Other Gand A,2088000.0,2005000.0,19511000.0,2434000.0,1392000.0,,
Gross Profit,12852000.0,6460000.0,-3904000.0,946000.0,11012000.0,,
Cost Of Revenue,102543000.0,71584000.0,103065000.0,89391000.0,118409000.0,,
Total Revenue,115395000.0,78044000.0,99161000.0,90337000.0,129421000.0,,
Operating Revenue,115395000.0,78044000.0,99161000.0,90337000.0,129421000.0,,
