,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29
Tax Effect Of Unusual Items,2849496.221662,2680900.0,-1323000.0,-1038743.455497,1462500.0,
Tax Rate For Calcs,0.22796,0.323,0.378,0.335079,0.225,
Normalized EBITDA,115300000.0,104400000.0,141200000.0,156600000.0,92500000.0,
Total Unusual Items,12500000.0,8300000.0,-3500000.0,-3100000.0,6500000.0,
Total Unusual Items Excluding Goodwill,12500000.0,8300000.0,-3500000.0,-3100000.0,6500000.0,
Net Income From Continuing Operation Net Minority Interest,60100000.0,51900000.0,55300000.0,61600000.0,33900000.0,
Reconciled Depreciation,29700000.0,30400000.0,29200000.0,33300000.0,28000000.0,
Reconciled Cost Of Revenue,691200000.0,623500000.0,702300000.0,861800000.0,696400000.0,
EBITDA,127800000.0,112700000.0,137700000.0,153500000.0,99000000.0,
EBIT,98100000.0,82300000.0,108500000.0,120200000.0,71000000.0,
Net Interest Income,-18700000.0,-20400000.0,-20100000.0,-24700000.0,-23400000.0,
Interest Expense,18700000.0,20400000.0,20100000.0,24700000.0,23400000.0,
Normalized Income,50449496.221662,46280900.0,57477000.0,63661256.544503,28862500.0,
Net Income From Continuing And Discontinued Operation,60100000.0,51900000.0,55300000.0,61600000.0,33900000.0,
Total Expenses,757100000.0,688100000.0,764300000.0,929700000.0,755700000.0,
Rent Expense Supplemental,18600000.0,,21900000.0,18900000.0,24200000.0,
Total Operating Income As Reported,92600000.0,83600000.0,111800000.0,123800000.0,72300000.0,
Diluted Average Shares,32184000.0,33228000.0,32223000.0,,32021000.0,32570000.0
Basic Average Shares,31186000.0,31376000.0,31246000.0,,31131000.0,31117000.0
Diluted EPS,1.86,1.56,1.72,,1.06,1.03
Basic EPS,1.92,1.66,1.77,,1.09,1.08
Diluted NI Availto Com Stockholders,60100000.0,51900000.0,55300000.0,61600000.0,33900000.0,
Average Dilution Earnings,,,0.0,0.0,,200000.0
Net Income Common Stockholders,60100000.0,51900000.0,55300000.0,61600000.0,33900000.0,
Net Income,60100000.0,51900000.0,55300000.0,61600000.0,33900000.0,
Minority Interests,-7400000.0,5700000.0,-3800000.0,-3700000.0,-6700000.0,
Net Income Including Noncontrolling Interests,67500000.0,46200000.0,59100000.0,65300000.0,40600000.0,
Net Income Continuous Operations,67500000.0,46200000.0,59100000.0,65300000.0,40600000.0,
Earnings From Equity Interest Net Of Tax,6200000.0,4300000.0,4100000.0,1800000.0,3700000.0,
Tax Provision,18100000.0,20000000.0,33400000.0,32000000.0,10700000.0,
Pretax Income,79400000.0,61900000.0,88400000.0,95500000.0,47600000.0,
Other Income Expense,12500000.0,8300000.0,-3500000.0,-3100000.0,6500000.0,
Special Income Charges,7000000.0,9600000.0,-200000.0,500000.0,7800000.0,
Gain On Sale Of Ppe,7000000.0,9600000.0,-200000.0,500000.0,7800000.0,
Impairment Of Capital Assets,,,,0.0,0.0,0.0
Gain On Sale Of Security,5500000.0,-1300000.0,-3300000.0,-3600000.0,-1300000.0,
Net Non Operating Interest Income Expense,-18700000.0,-20400000.0,-20100000.0,-24700000.0,-23400000.0,
Interest Expense Non Operating,18700000.0,20400000.0,20100000.0,24700000.0,23400000.0,
Operating Income,85600000.0,74000000.0,111600000.0,123300000.0,64500000.0,
Operating Expense,65900000.0,64600000.0,62000000.0,67900000.0,59300000.0,
Selling General And Administration,65900000.0,64600000.0,62000000.0,67900000.0,59300000.0,
Gross Profit,151500000.0,138600000.0,173600000.0,191200000.0,123800000.0,
Cost Of Revenue,691200000.0,623500000.0,702300000.0,861800000.0,696400000.0,
Total Revenue,842700000.0,762100000.0,875900000.0,1053000000.0,820200000.0,
Operating Revenue,842700000.0,762100000.0,875900000.0,1053000000.0,820200000.0,
