,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.21,0.0,0.0,0.0,0.0,,
Normalized EBITDA,14287000.0,-8419000.0,-10414000.0,-16555000.0,-15612000.0,,
Total Unusual Items,0.0,-4438000.0,,,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-4438000.0,,,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,2144000.0,-21728000.0,-17607000.0,-21156000.0,-21002000.0,,
Reconciled Depreciation,7213000.0,5622000.0,6076000.0,3494000.0,4277000.0,,
Reconciled Cost Of Revenue,17265000.0,21446000.0,3448000.0,2544000.0,3423000.0,,
EBITDA,14287000.0,-12857000.0,-10414000.0,-16555000.0,-15612000.0,,
EBIT,7074000.0,-18479000.0,-16490000.0,-20049000.0,-19889000.0,,
Net Interest Income,-3023000.0,-1524000.0,2044000.0,2736000.0,3030000.0,,
Interest Expense,4345000.0,3294000.0,1117000.0,1107000.0,1113000.0,,
Interest Income,1322000.0,1770000.0,3161000.0,3843000.0,4143000.0,,
Normalized Income,2144000.0,-17290000.0,-17607000.0,-21156000.0,-21002000.0,,
Net Income From Continuing And Discontinued Operation,2144000.0,-21728000.0,-17607000.0,-21156000.0,-21002000.0,,
Total Expenses,37617000.0,44810000.0,20414000.0,25973000.0,29289000.0,,
Total Operating Income As Reported,5796000.0,-20139000.0,-19646000.0,-24008000.0,-24029000.0,,
Diluted Average Shares,236839117.0,232027993.0,,239445900.0,239014435.0,240844334.0,
Basic Average Shares,232945048.0,232027993.0,,239445900.0,239014435.0,240844334.0,
Diluted EPS,0.01,-0.09,,-0.09,-0.09,-0.08,
Basic EPS,0.01,-0.09,,-0.09,-0.09,-0.08,
Diluted NI Availto Com Stockholders,2144000.0,-21728000.0,-17607000.0,-21156000.0,-21002000.0,,
Net Income Common Stockholders,2144000.0,-21728000.0,-17607000.0,-21156000.0,-21002000.0,,
Net Income,2144000.0,-21728000.0,-17607000.0,-21156000.0,-21002000.0,,
Minority Interests,-585000.0,45000.0,,,0.0,0.0,
Net Income Including Noncontrolling Interests,2729000.0,-21773000.0,-17607000.0,-21156000.0,-21002000.0,,
Net Income Continuous Operations,2729000.0,-21773000.0,-17607000.0,-21156000.0,-21002000.0,,
Pretax Income,2729000.0,-21773000.0,-17607000.0,-21156000.0,-21002000.0,,
Other Income Expense,-44000.0,-4548000.0,-4937000.0,116000.0,-3000.0,,
Other Non Operating Income Expenses,-44000.0,-110000.0,-5000.0,116000.0,-3000.0,,
Special Income Charges,0.0,-4438000.0,,,0.0,0.0,0.0
Impairment Of Capital Assets,,,,,,,0.0
Restructuring And Mergern Acquisition,0.0,4438000.0,,,0.0,0.0,
Net Non Operating Interest Income Expense,-3023000.0,-1524000.0,2044000.0,2736000.0,3030000.0,,
Interest Expense Non Operating,4345000.0,3294000.0,1117000.0,1107000.0,1113000.0,,
Interest Income Non Operating,1322000.0,1770000.0,3161000.0,3843000.0,4143000.0,,
Operating Income,5796000.0,-15701000.0,-14714000.0,-24008000.0,-24029000.0,,
Operating Expense,20352000.0,23364000.0,16966000.0,23429000.0,25866000.0,,
Other Operating Expenses,591000.0,604000.0,642000.0,550000.0,699000.0,,
Depreciation Amortization Depletion Income Statement,7213000.0,5622000.0,6076000.0,3494000.0,4277000.0,,
Depreciation And Amortization In Income Statement,7213000.0,5622000.0,6076000.0,3494000.0,4277000.0,,
Research And Development,1765000.0,6054000.0,-208000.0,7706000.0,9377000.0,,
Selling General And Administration,10783000.0,11084000.0,10456000.0,11679000.0,11513000.0,,
General And Administrative Expense,10783000.0,11084000.0,10456000.0,11679000.0,11513000.0,,
Other Gand A,10783000.0,11084000.0,10456000.0,11679000.0,11513000.0,,
Gross Profit,26148000.0,7663000.0,2252000.0,-579000.0,1837000.0,,
Cost Of Revenue,17265000.0,21446000.0,3448000.0,2544000.0,3423000.0,,
Total Revenue,43413000.0,29109000.0,5700000.0,1965000.0,5260000.0,,
Operating Revenue,43413000.0,29109000.0,5700000.0,1965000.0,5260000.0,,
