,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,342296.427756,11635.876813,525210.0,45948.037273,40267.208209,
Tax Rate For Calcs,0.046807,0.038402,0.21,0.094738,0.044891,
Normalized EBITDA,111746000.0,118486000.0,54442000.0,110384000.0,75767000.0,
Total Unusual Items,7313000.0,303000.0,2501000.0,485000.0,897000.0,
Total Unusual Items Excluding Goodwill,7313000.0,303000.0,2501000.0,485000.0,897000.0,
Net Income From Continuing Operation Net Minority Interest,45922000.0,43515000.0,-5602000.0,55278000.0,26808000.0,
Reconciled Depreciation,35753000.0,35266000.0,32486000.0,29138000.0,27507000.0,
Reconciled Cost Of Revenue,4102724000.0,4088537000.0,3899640000.0,4101594000.0,3967035000.0,
EBITDA,119059000.0,118789000.0,56943000.0,110869000.0,76664000.0,
EBIT,83306000.0,83523000.0,24457000.0,81731000.0,49157000.0,
Net Interest Income,-35129000.0,-35531000.0,-29696000.0,-20668000.0,-21089000.0,
Interest Expense,35129000.0,35531000.0,29696000.0,20668000.0,21089000.0,
Normalized Income,38951296.427756,43223635.876813,-7577790.0,54838948.037273,25951267.208209,
Net Income From Continuing And Discontinued Operation,45922000.0,43515000.0,-5602000.0,55278000.0,26808000.0,
Total Expenses,4346098000.0,4326132000.0,4122057000.0,4327985000.0,4173965000.0,
Total Operating Income As Reported,83453000.0,83869000.0,25836000.0,81612000.0,47977000.0,
Diluted Average Shares,34193000.0,34278000.0,33963000.0,,34063000.0,34006000.0
Basic Average Shares,33781000.0,33910000.0,33963000.0,,33983000.0,33986000.0
Diluted EPS,1.17,1.1,-0.37,,0.6,1.05
Basic EPS,1.18,1.11,-0.37,,0.6,1.05
Diluted NI Availto Com Stockholders,40023000.0,37616000.0,-12654000.0,48130000.0,20536000.0,
Net Income Common Stockholders,40023000.0,37616000.0,-12654000.0,48130000.0,20536000.0,
Preferred Stock Dividends,5899000.0,5899000.0,7052000.0,7148000.0,6272000.0,
Net Income,45922000.0,43515000.0,-5602000.0,55278000.0,26808000.0,
Net Income Including Noncontrolling Interests,45922000.0,46149000.0,-5602000.0,55278000.0,26808000.0,
Net Income Continuous Operations,45922000.0,46149000.0,-5602000.0,55278000.0,26808000.0,
Tax Provision,2255000.0,1843000.0,363000.0,5785000.0,1260000.0,
Pretax Income,48177000.0,47992000.0,-5239000.0,61063000.0,28068000.0,
Other Income Expense,7166000.0,-43000.0,1122000.0,604000.0,2077000.0,
Special Income Charges,7313000.0,303000.0,2501000.0,485000.0,897000.0,
Gain On Sale Of Ppe,7805000.0,303000.0,2501000.0,-2818000.0,897000.0,
Impairment Of Capital Assets,492000.0,,,,0.0,
Earnings From Equity Interest,-147000.0,-346000.0,-1379000.0,119000.0,1180000.0,
Net Non Operating Interest Income Expense,-35129000.0,-35531000.0,-29696000.0,-20668000.0,-21089000.0,
Interest Expense Non Operating,35129000.0,35531000.0,29696000.0,20668000.0,21089000.0,
Operating Income,76140000.0,83566000.0,23335000.0,81127000.0,47080000.0,
Operating Expense,209909000.0,204318000.0,191800000.0,199270000.0,181440000.0,
Other Operating Expenses,137126000.0,129959000.0,120150000.0,115951000.0,115944000.0,
Depreciation Amortization Depletion Income Statement,2288000.0,1989000.0,1869000.0,2017000.0,2017000.0,
Depreciation And Amortization In Income Statement,2288000.0,1989000.0,1869000.0,2017000.0,2017000.0,
Amortization,2288000.0,1989000.0,1869000.0,2017000.0,2017000.0,
Amortization Of Intangibles Income Statement,2288000.0,1989000.0,1869000.0,2017000.0,2017000.0,
Selling General And Administration,70495000.0,72370000.0,69781000.0,81302000.0,63479000.0,
Gross Profit,286049000.0,287884000.0,215135000.0,280397000.0,228520000.0,
Cost Of Revenue,4136189000.0,4121814000.0,3930257000.0,4128715000.0,3992525000.0,
Total Revenue,4422238000.0,4409698000.0,4145392000.0,4409112000.0,4221045000.0,
Operating Revenue,2136402000.0,2281917000.0,2202648000.0,2312742000.0,2807437000.0,
