,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31
Tax Effect Of Unusual Items,-2556000.0,-26968.796434,-1401800.0,0.0,0.0,
Tax Rate For Calcs,0.072,0.024517,0.163,0.154,0.095,
Normalized EBITDA,65800000.0,88000000.0,-7700000.0,-14400000.0,-33800000.0,
Total Unusual Items,-35500000.0,-1100000.0,-8600000.0,,0.0,-4800000.0
Total Unusual Items Excluding Goodwill,-35500000.0,-1100000.0,-8600000.0,,0.0,-4800000.0
Net Income From Continuing Operation Net Minority Interest,44800000.0,131300000.0,17400000.0,14800000.0,-32300000.0,
Reconciled Depreciation,5600000.0,6000000.0,8500000.0,7600000.0,16800000.0,
Reconciled Cost Of Revenue,479600000.0,919200000.0,603100000.0,549500000.0,637300000.0,
EBITDA,30300000.0,86900000.0,-16300000.0,-14400000.0,-33800000.0,
EBIT,24700000.0,80900000.0,-24800000.0,-22000000.0,-50600000.0,
Net Interest Income,56900000.0,54800000.0,54200000.0,39500000.0,14900000.0,
Interest Income,56900000.0,54800000.0,54200000.0,39500000.0,14900000.0,
Normalized Income,77744000.0,132373031.203566,24598200.0,14800000.0,-32300000.0,
Net Income From Continuing And Discontinued Operation,44800000.0,131300000.0,17400000.0,14800000.0,-32300000.0,
Total Expenses,707700000.0,1201700000.0,885100000.0,820300000.0,932400000.0,
Total Operating Income As Reported,-10800000.0,79800000.0,-33400000.0,-22000000.0,-50600000.0,
Diluted Average Shares,497900000.0,447700000.0,437900000.0,387200000.0,305900000.0,
Basic Average Shares,447100000.0,446900000.0,437400000.0,386400000.0,305900000.0,
Diluted EPS,0.09,0.29,0.04,0.04,-0.11,
Basic EPS,0.1,0.29,0.04,0.04,-0.11,
Diluted NI Availto Com Stockholders,44800000.0,131300000.0,17400000.0,14800000.0,-32300000.0,
Net Income Common Stockholders,44800000.0,131300000.0,17400000.0,14800000.0,-32300000.0,
Net Income,44800000.0,131300000.0,17400000.0,14800000.0,-32300000.0,
Net Income Including Noncontrolling Interests,44800000.0,131300000.0,17400000.0,14800000.0,-32300000.0,
Net Income Continuous Operations,44800000.0,131300000.0,17400000.0,14800000.0,-32300000.0,
Tax Provision,3500000.0,3300000.0,3400000.0,2700000.0,-3400000.0,
Pretax Income,48300000.0,134600000.0,20800000.0,17500000.0,-35700000.0,
Other Income Expense,-33300000.0,-1100000.0,-8600000.0,,,-4300000.0
Other Non Operating Income Expenses,2200000.0,,,,,500000.0
Special Income Charges,-35500000.0,-1100000.0,-8600000.0,,0.0,-4800000.0
Write Off,35500000.0,1100000.0,8600000.0,,0.0,4800000.0
Net Non Operating Interest Income Expense,56900000.0,54800000.0,54200000.0,39500000.0,14900000.0,
Total Other Finance Cost,,,,-39500000.0,-14900000.0,
Interest Income Non Operating,56900000.0,54800000.0,54200000.0,39500000.0,14900000.0,
Operating Income,24700000.0,80900000.0,-24800000.0,-22000000.0,-50600000.0,
Operating Expense,228100000.0,282500000.0,282000000.0,270800000.0,295100000.0,
Selling General And Administration,228100000.0,282500000.0,282000000.0,270800000.0,295100000.0,
Gross Profit,252800000.0,363400000.0,257200000.0,248800000.0,244500000.0,
Cost Of Revenue,479600000.0,919200000.0,603100000.0,549500000.0,637300000.0,
Total Revenue,732400000.0,1282600000.0,860300000.0,798300000.0,881800000.0,
Operating Revenue,732400000.0,1282600000.0,860300000.0,798300000.0,881800000.0,
