,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-11290864.0,-12432790.0,-12131461.887624,-9804497.0,-6993600.0
Tax Rate For Calcs,0.247,0.227,0.203224,0.239,0.235
Normalized EBITDA,547498000.0,459058000.0,368216000.0,472470000.0,537084000.0
Total Unusual Items,-45712000.0,-54770000.0,-59695000.0,-41023000.0,-29760000.0
Total Unusual Items Excluding Goodwill,-45712000.0,-54770000.0,-59695000.0,-41023000.0,-29760000.0
Net Income From Continuing Operation Net Minority Interest,254880000.0,194392000.0,133056000.0,226582000.0,295544000.0
Reconciled Depreciation,123018000.0,115435000.0,112130000.0,106036000.0,99202000.0
Reconciled Cost Of Revenue,3840037000.0,3692385000.0,3699957000.0,3771757000.0,3782264000.0
EBITDA,501786000.0,404288000.0,308521000.0,431447000.0,507324000.0
EBIT,378768000.0,288853000.0,196391000.0,325411000.0,408122000.0
Net Interest Income,-40211000.0,-37216000.0,-29398000.0,-27818000.0,-21921000.0
Interest Expense,40211000.0,37216000.0,29398000.0,27818000.0,21921000.0
Normalized Income,289301136.0,236729210.0,180619538.112376,257800503.0,318310400.0
Net Income From Continuing And Discontinued Operation,254880000.0,194392000.0,133056000.0,226582000.0,295544000.0
Total Expenses,5741875000.0,5523354000.0,5521197000.0,5607312000.0,5534600000.0
Diluted Average Shares,139244000.0,139200000.0,139272000.0,139599000.0,139829000.0
Basic Average Shares,138990000.0,138783000.0,138858000.0,139193000.0,139358000.0
Diluted EPS,1.83,1.4,0.96,1.62,2.11
Basic EPS,1.83,1.4,0.96,1.63,2.12
Diluted NI Availto Com Stockholders,254880000.0,194392000.0,133056000.0,226582000.0,295544000.0
Net Income Common Stockholders,254880000.0,194392000.0,133056000.0,226582000.0,295544000.0
Net Income,254880000.0,194392000.0,133056000.0,226582000.0,295544000.0
Net Income Including Noncontrolling Interests,254880000.0,194392000.0,133056000.0,226582000.0,295544000.0
Net Income Continuous Operations,254880000.0,194392000.0,133056000.0,226582000.0,295544000.0
Tax Provision,83677000.0,57245000.0,33937000.0,71011000.0,90657000.0
Pretax Income,338557000.0,251637000.0,166993000.0,297593000.0,386201000.0
Other Income Expense,-43782000.0,-53862000.0,-52585000.0,-37475000.0,-19845000.0
Other Non Operating Income Expenses,1930000.0,908000.0,7110000.0,3548000.0,9915000.0
Special Income Charges,-45712000.0,-54770000.0,-59695000.0,-41023000.0,-29760000.0
Restructuring And Mergern Acquisition,45712000.0,54770000.0,59695000.0,41023000.0,29760000.0
Net Non Operating Interest Income Expense,-40211000.0,-37216000.0,-29398000.0,-27818000.0,-21921000.0
Interest Expense Non Operating,40211000.0,37216000.0,29398000.0,27818000.0,21921000.0
Operating Income,422550000.0,342715000.0,248976000.0,362886000.0,427967000.0
Operating Expense,1901838000.0,1830969000.0,1821240000.0,1835555000.0,1752336000.0
Provision For Doubtful Accounts,7625000.0,5855000.0,10993000.0,7119000.0,5678000.0
Depreciation Amortization Depletion Income Statement,123018000.0,115435000.0,112130000.0,106036000.0,99202000.0
Depreciation And Amortization In Income Statement,123018000.0,115435000.0,112130000.0,106036000.0,99202000.0
Selling General And Administration,1771195000.0,1709679000.0,1698117000.0,1722400000.0,1647456000.0
Gross Profit,2324388000.0,2173684000.0,2070216000.0,2198441000.0,2180303000.0
Cost Of Revenue,3840037000.0,3692385000.0,3699957000.0,3771757000.0,3782264000.0
Total Revenue,6164425000.0,5866069000.0,5770173000.0,5970198000.0,5962567000.0
Operating Revenue,6164425000.0,5866069000.0,5770173000.0,5970198000.0,5962567000.0
