,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,3919230.0,-615720.0,-8523900.0,695858.391908,-931350.0,,
Tax Rate For Calcs,0.21,0.21,0.21,0.148466,0.21,,
Normalized EBITDA,10493000.0,23746000.0,58891000.0,27227000.0,25123000.0,,
Total Unusual Items,18663000.0,-2932000.0,-40590000.0,4687000.0,-4435000.0,,
Total Unusual Items Excluding Goodwill,18663000.0,-2932000.0,-40590000.0,4687000.0,-4435000.0,,
Net Income From Continuing Operation Net Minority Interest,19208000.0,-17331000.0,-50219000.0,9934000.0,-9683000.0,,
Reconciled Depreciation,23010000.0,22277000.0,22530000.0,22249000.0,22110000.0,,
Reconciled Cost Of Revenue,22360000.0,20672000.0,21977000.0,21700000.0,20180000.0,,
EBITDA,29156000.0,20814000.0,18301000.0,31914000.0,20688000.0,,
EBIT,6146000.0,-1463000.0,-4229000.0,9665000.0,-1422000.0,,
Net Interest Income,-7428000.0,-7945000.0,-3261000.0,-2872000.0,-3644000.0,,
Normalized Income,4464230.0,-15014720.0,-18152900.0,5942858.391908,-6179350.0,,
Net Income From Continuing And Discontinued Operation,19208000.0,-17331000.0,-50219000.0,9934000.0,-9683000.0,,
Total Expenses,61002000.0,61495000.0,65406000.0,62642000.0,61807000.0,,
Total Operating Income As Reported,6146000.0,-8501000.0,-4249000.0,9434000.0,-1422000.0,,
Diluted Average Shares,127854000.0,126476000.0,126231000.0,127337400.0,125614000.0,,
Basic Average Shares,126614000.0,126476000.0,126231000.0,126150200.0,125614000.0,,
Diluted EPS,0.13,-0.16,-0.42,0.057022,-0.1,,
Basic EPS,0.13,-0.16,-0.42,0.057558,-0.1,,
Diluted NI Availto Com Stockholders,16564000.0,-19946000.0,-52892000.0,7261000.0,-12327000.0,,
Net Income Common Stockholders,16564000.0,-19946000.0,-52892000.0,7261000.0,-12327000.0,,
Preferred Stock Dividends,2644000.0,2615000.0,2673000.0,2673000.0,2644000.0,,
Net Income,19208000.0,-17331000.0,-50219000.0,9934000.0,-9683000.0,,
Net Income Including Noncontrolling Interests,19208000.0,-17331000.0,-50219000.0,9934000.0,-9683000.0,,
Net Income Continuous Operations,19208000.0,-17331000.0,-50219000.0,9934000.0,-9683000.0,,
Tax Provision,-1827000.0,4578000.0,213000.0,1732000.0,182000.0,,
Pretax Income,17381000.0,-12753000.0,-50006000.0,11666000.0,-9501000.0,,
Other Income Expense,18663000.0,-3345000.0,-42516000.0,4873000.0,-4435000.0,,
Other Non Operating Income Expenses,,-413000.0,-1926000.0,186000.0,58000.0,-849000.0,
Special Income Charges,0.0,-7038000.0,-27398000.0,-231000.0,0.0,,
Other Special Charges,,,,,,,0.0
Write Off,0.0,7038000.0,20000.0,231000.0,0.0,,
Impairment Of Capital Assets,,,20000.0,231000.0,0.0,305000.0,328000.0
Gain On Sale Of Security,18663000.0,4106000.0,-13192000.0,4918000.0,-4435000.0,,
Net Non Operating Interest Income Expense,-7428000.0,-7945000.0,-3261000.0,-2872000.0,-3644000.0,,
Total Other Finance Cost,7428000.0,7945000.0,3261000.0,2872000.0,3644000.0,,
Operating Income,6146000.0,-1463000.0,-4229000.0,9665000.0,-1422000.0,,
Operating Expense,38642000.0,40823000.0,43429000.0,40942000.0,41627000.0,,
Depreciation Amortization Depletion Income Statement,23010000.0,22277000.0,22530000.0,22249000.0,22110000.0,,
Depreciation And Amortization In Income Statement,23010000.0,22277000.0,22530000.0,22249000.0,22110000.0,,
Selling General And Administration,15632000.0,18546000.0,20899000.0,18693000.0,19517000.0,,
General And Administrative Expense,15632000.0,18546000.0,20899000.0,18693000.0,19517000.0,,
Other Gand A,9683000.0,11589000.0,11996000.0,10439000.0,10353000.0,,
Salaries And Wages,5949000.0,6957000.0,8903000.0,8254000.0,9164000.0,,
Gross Profit,44788000.0,39360000.0,39200000.0,50607000.0,40205000.0,,
Cost Of Revenue,22360000.0,20672000.0,21977000.0,21700000.0,20180000.0,,
Total Revenue,67148000.0,60032000.0,61177000.0,72307000.0,60385000.0,,
Operating Revenue,67148000.0,60032000.0,61177000.0,72307000.0,60385000.0,,
