,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.185706,0.21,0.034804,0.16,0.215141,
Net Income From Continuing Operation Net Minority Interest,5150000.0,2342000.0,14855000.0,7559000.0,6198000.0,
Reconciled Depreciation,3166000.0,2967000.0,2806000.0,2762000.0,2755000.0,
EBIT,16475000.0,6782000.0,26491000.0,16982000.0,15838000.0,
Net Interest Income,-6303000.0,-5823000.0,-1810000.0,-2060000.0,-1982000.0,
Interest Expense,6303000.0,5823000.0,1810000.0,2060000.0,1982000.0,
Interest Income,179000.0,189000.0,207000.0,231000.0,244000.0,
Normalized Income,5150000.0,2342000.0,14855000.0,7559000.0,6198000.0,
Net Income From Continuing And Discontinued Operation,5150000.0,2342000.0,14855000.0,7559000.0,6198000.0,
Total Expenses,83855000.0,74624000.0,69241000.0,63113000.0,64232000.0,
Diluted Average Shares,38553000.0,25943000.0,38399000.0,37942000.0,38031000.0,
Basic Average Shares,25216000.0,24791000.0,24562000.0,24293000.0,24693000.0,
Diluted EPS,0.18,0.09,0.57,0.29,0.24,
Basic EPS,0.2,0.09,0.6,0.31,0.25,
Diluted NI Availto Com Stockholders,7100000.0,2342000.0,8147000.0,11161000.0,9140000.0,
Average Dilution Earnings,1950000.0,0.0,,3602000.0,2942000.0,165000.0
Net Income Common Stockholders,5150000.0,2342000.0,14855000.0,7559000.0,6198000.0,
Net Income,5150000.0,2342000.0,14855000.0,7559000.0,6198000.0,
Minority Interests,-3133000.0,-304000.0,-8967000.0,-5048000.0,-4677000.0,
Net Income Including Noncontrolling Interests,8283000.0,2646000.0,23822000.0,12607000.0,10875000.0,
Net Income Continuous Operations,8283000.0,2646000.0,23822000.0,12607000.0,10875000.0,
Tax Provision,1889000.0,-1687000.0,859000.0,2315000.0,2981000.0,
Pretax Income,10172000.0,959000.0,24681000.0,14922000.0,13856000.0,
Other Income Expense,55772000.0,45971000.0,43438000.0,46862000.0,46225000.0,
Net Non Operating Interest Income Expense,-6303000.0,-5823000.0,-1810000.0,-2060000.0,-1982000.0,
Interest Expense Non Operating,6303000.0,5823000.0,1810000.0,2060000.0,1982000.0,
Other Operating Expenses,-265000.0,238000.0,1915000.0,21000.0,212000.0,
Depreciation And Amortization In Income Statement,2782000.0,2670000.0,2639000.0,2614000.0,2632000.0,
Selling General And Administration,75035000.0,65893000.0,62877000.0,58418000.0,59406000.0,
General And Administrative Expense,75035000.0,65893000.0,62877000.0,58418000.0,59406000.0,
Other Gand A,24647000.0,17559000.0,17833000.0,15201000.0,16855000.0,
Salaries And Wages,50388000.0,48334000.0,45044000.0,43217000.0,42551000.0,
Total Revenue,94027000.0,75583000.0,93922000.0,78035000.0,78088000.0,
Operating Revenue,94027000.0,75583000.0,93922000.0,78035000.0,78088000.0,
