,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,1337527.437566,1220422.0,1676849.776112,1107054.0,1046974.648174,
Tax Rate For Calcs,0.194098,0.179,0.231194,0.171,0.208063,
Normalized EBITDA,222943000.0,161984000.0,195916000.0,183557000.0,137566000.0,
Total Unusual Items,6891000.0,6818000.0,7253000.0,6474000.0,5032000.0,
Total Unusual Items Excluding Goodwill,6891000.0,6818000.0,7253000.0,6474000.0,5032000.0,
Net Income From Continuing Operation Net Minority Interest,165160000.0,118095000.0,137012000.0,137011000.0,93245000.0,
Reconciled Depreciation,20502000.0,20449000.0,20415000.0,20360000.0,20331000.0,
Reconciled Cost Of Revenue,43619000.0,45716000.0,39402000.0,46828000.0,37038000.0,
EBITDA,229834000.0,168802000.0,203169000.0,190031000.0,142598000.0,
EBIT,209332000.0,148353000.0,182754000.0,169671000.0,122267000.0,
Net Interest Income,-4394000.0,-4525000.0,-4540000.0,-4524000.0,-4524000.0,
Interest Expense,4394000.0,4525000.0,4540000.0,4524000.0,4524000.0,
Normalized Income,159606527.437566,112497422.0,131435849.776112,131644054.0,89259974.648174,
Net Income From Continuing And Discontinued Operation,165160000.0,118095000.0,137012000.0,137011000.0,93245000.0,
Total Expenses,123278000.0,123326000.0,122507000.0,126887000.0,114118000.0,
Total Operating Income As Reported,202441000.0,141535000.0,175501000.0,163197000.0,117235000.0,
Diluted Average Shares,124158000.0,126644000.0,128980000.0,130134000.0,129222000.0,
Basic Average Shares,121343000.0,123215000.0,126406000.0,126850000.0,127116000.0,
Diluted EPS,1.33,0.93,1.06,1.05,0.72,
Basic EPS,1.36,0.96,1.08,1.08,0.73,
Diluted NI Availto Com Stockholders,165160000.0,118095000.0,137012000.0,137011000.0,93245000.0,
Net Income Common Stockholders,165160000.0,118095000.0,137012000.0,137011000.0,93245000.0,
Net Income,165160000.0,118095000.0,137012000.0,137011000.0,93245000.0,
Net Income Including Noncontrolling Interests,165160000.0,118095000.0,137012000.0,137011000.0,93245000.0,
Net Income Continuous Operations,165160000.0,118095000.0,137012000.0,137011000.0,93245000.0,
Tax Provision,39778000.0,25733000.0,41202000.0,28136000.0,24498000.0,
Pretax Income,204938000.0,143828000.0,178214000.0,165147000.0,117743000.0,
Other Income Expense,6891000.0,6818000.0,7253000.0,6474000.0,5032000.0,
Special Income Charges,,,0.0,0.0,,0.0
Restructuring And Mergern Acquisition,,,0.0,0.0,,0.0
Gain On Sale Of Security,6891000.0,6818000.0,7253000.0,6474000.0,5032000.0,
Net Non Operating Interest Income Expense,-4394000.0,-4525000.0,-4540000.0,-4524000.0,-4524000.0,
Interest Expense Non Operating,4394000.0,4525000.0,4540000.0,4524000.0,4524000.0,
Operating Income,202441000.0,141535000.0,175501000.0,163197000.0,117235000.0,
Operating Expense,76919000.0,74923000.0,80452000.0,77461000.0,74511000.0,
Depreciation Amortization Depletion Income Statement,17762000.0,17762000.0,17762000.0,17762000.0,17762000.0,
Depreciation And Amortization In Income Statement,17762000.0,17762000.0,17762000.0,17762000.0,17762000.0,
Amortization,17762000.0,17762000.0,17762000.0,17762000.0,17762000.0,
Amortization Of Intangibles Income Statement,17762000.0,17762000.0,17762000.0,17762000.0,17762000.0,
Research And Development,17543000.0,14799000.0,20441000.0,18458000.0,21038000.0,
Selling General And Administration,41614000.0,42362000.0,42249000.0,41241000.0,35711000.0,
Gross Profit,279360000.0,216458000.0,255953000.0,240658000.0,191746000.0,
Cost Of Revenue,46359000.0,48403000.0,42055000.0,49426000.0,39607000.0,
Total Revenue,325719000.0,264861000.0,298008000.0,290084000.0,231353000.0,
Operating Revenue,325719000.0,264861000.0,298008000.0,290084000.0,231353000.0,
