,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.242132,0.244,0.228968,0.244,0.245492
Normalized EBITDA,7584000000.0,6151000000.0,5534000000.0,6443000000.0,7538000000.0
Net Income From Continuing Operation Net Minority Interest,4551000000.0,3433000000.0,2997000000.0,3648000000.0,4561000000.0
Reconciled Depreciation,1004000000.0,994000000.0,1009000000.0,995000000.0,920000000.0
Reconciled Cost Of Revenue,29954000000.0,26199000000.0,26475000000.0,26592000000.0,28577000000.0
EBITDA,7584000000.0,6151000000.0,5534000000.0,6443000000.0,7538000000.0
EBIT,6580000000.0,5157000000.0,4525000000.0,5448000000.0,6618000000.0
Net Interest Income,-550000000.0,-591000000.0,-608000000.0,-595000000.0,-489000000.0
Interest Expense,575000000.0,615000000.0,638000000.0,625000000.0,573000000.0
Interest Income,25000000.0,24000000.0,30000000.0,30000000.0,84000000.0
Normalized Income,4551000000.0,3433000000.0,2997000000.0,3648000000.0,4561000000.0
Net Income From Continuing And Discontinued Operation,4551000000.0,3433000000.0,2997000000.0,3648000000.0,4561000000.0
Total Expenses,38722000000.0,34723000000.0,35209000000.0,34799000000.0,36641000000.0
Total Operating Income As Reported,6555000000.0,5133000000.0,4495000000.0,5418000000.0,6534000000.0
Diluted Average Shares,994000000.0,994000000.0,994000000.0,993000000.0,992000000.0
Basic Average Shares,992000000.0,992000000.0,991000000.0,991000000.0,990000000.0
Diluted EPS,4.58,3.45,3.02,3.67,4.6
Basic EPS,4.59,3.46,3.02,3.68,4.61
Diluted NI Availto Com Stockholders,4551000000.0,3433000000.0,2997000000.0,3648000000.0,4561000000.0
Net Income Common Stockholders,4551000000.0,3433000000.0,2997000000.0,3648000000.0,4561000000.0
Net Income,4551000000.0,3433000000.0,2997000000.0,3648000000.0,4561000000.0
Net Income Including Noncontrolling Interests,4551000000.0,3433000000.0,2997000000.0,3648000000.0,4561000000.0
Net Income Continuous Operations,4551000000.0,3433000000.0,2997000000.0,3648000000.0,4561000000.0
Tax Provision,1454000000.0,1109000000.0,890000000.0,1175000000.0,1484000000.0
Pretax Income,6005000000.0,4542000000.0,3887000000.0,4823000000.0,6045000000.0
Net Non Operating Interest Income Expense,-550000000.0,-591000000.0,-608000000.0,-595000000.0,-489000000.0
Interest Expense Non Operating,575000000.0,615000000.0,638000000.0,625000000.0,573000000.0
Interest Income Non Operating,25000000.0,24000000.0,30000000.0,30000000.0,84000000.0
Operating Income,6555000000.0,5133000000.0,4495000000.0,5418000000.0,6534000000.0
Operating Expense,8570000000.0,8326000000.0,8539000000.0,8007000000.0,7882000000.0
Depreciation Amortization Depletion Income Statement,806000000.0,796000000.0,814000000.0,795000000.0,738000000.0
Depreciation And Amortization In Income Statement,806000000.0,796000000.0,814000000.0,795000000.0,738000000.0
Selling General And Administration,7764000000.0,7530000000.0,7725000000.0,7212000000.0,7144000000.0
Gross Profit,15125000000.0,13459000000.0,13034000000.0,13425000000.0,14416000000.0
Cost Of Revenue,30152000000.0,26397000000.0,26670000000.0,26792000000.0,28759000000.0
Total Revenue,45277000000.0,39856000000.0,39704000000.0,40217000000.0,43175000000.0
Operating Revenue,45277000000.0,39856000000.0,39704000000.0,40217000000.0,43175000000.0
