GradeDate,Firm,ToGrade,FromGrade,Action
2024-07-22 17:20:45,"Keefe, Bruyette & Woods",Market Perform,Outperform,down
2024-05-10 13:01:21,"Keefe, Bruyette & Woods",Outperform,Outperform,reit
2024-04-15 15:58:59,JMP Securities,Market Outperform,Market Outperform,reit
2024-03-12 13:59:13,JMP Securities,Market Outperform,Market Outperform,reit
2024-03-11 10:56:43,"Keefe, Bruyette & Woods",Outperform,Outperform,main
2023-11-15 16:13:20,"Keefe, Bruyette & Woods",Outperform,Outperform,main
2023-11-03 14:38:57,Goldman Sachs,Neutral,Neutral,main
2023-10-13 13:13:46,JMP Securities,Market Outperform,Market Outperform,main
2023-08-17 10:53:10,"Keefe, Bruyette & Woods",Outperform,Outperform,main
2023-08-11 14:22:29,William Blair,Market Perform,,init
2023-08-09 17:03:12,JMP Securities,Market Outperform,Market Outperform,main
2023-07-12 13:05:21,JMP Securities,Market Outperform,Market Outperform,reit
2023-04-18 13:05:37,JMP Securities,Market Outperform,,reit
2023-03-06 12:50:59,"Keefe, Bruyette & Woods",Outperform,,main
2023-01-09 13:14:29,Goldman Sachs,Neutral,,main
2022-11-22 13:53:49,Morgan Stanley,Overweight,,main
2022-11-17 13:48:29,"Keefe, Bruyette & Woods",Outperform,,init
2022-10-18 11:31:01,JMP Securities,Market Outperform,,main
2022-10-06 12:13:09,Goldman Sachs,Neutral,,main
2022-09-30 12:32:25,Morgan Stanley,Overweight,,main
