,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.377215,0.288,0.21,0.329,0.21,
Normalized EBITDA,164900000.0,156100000.0,138500000.0,160600000.0,105200000.0,
Net Income From Continuing Operation Net Minority Interest,49300000.0,50400000.0,177900000.0,47400000.0,4700000.0,
Reconciled Depreciation,30500000.0,30700000.0,29000000.0,30600000.0,32600000.0,
Reconciled Cost Of Revenue,276900000.0,265200000.0,267500000.0,268700000.0,283100000.0,
EBITDA,164900000.0,156100000.0,138500000.0,160600000.0,105200000.0,
EBIT,134400000.0,125400000.0,109500000.0,130000000.0,72600000.0,
Net Interest Income,-53600000.0,-52000000.0,-53900000.0,-56500000.0,-57700000.0,
Interest Expense,55400000.0,54600000.0,56900000.0,59400000.0,60400000.0,
Interest Income,1800000.0,2600000.0,3000000.0,2900000.0,2700000.0,
Normalized Income,49300000.0,50400000.0,177900000.0,47400000.0,4700000.0,
Net Income From Continuing And Discontinued Operation,49300000.0,50400000.0,177900000.0,47400000.0,4700000.0,
Total Expenses,1126500000.0,1098900000.0,1100900000.0,1113200000.0,1200700000.0,
Total Operating Income As Reported,132600000.0,122800000.0,106500000.0,127100000.0,80400000.0,
Diluted Average Shares,103300000.0,102200000.0,102000000.0,101900000.0,101700000.0,
Basic Average Shares,102700000.0,101500000.0,101100000.0,100900000.0,100600000.0,
Diluted EPS,0.48,0.49,1.74,0.46,0.05,
Basic EPS,0.48,0.5,1.76,0.47,0.05,
Diluted NI Availto Com Stockholders,49300000.0,50400000.0,177900000.0,47400000.0,4700000.0,
Net Income Common Stockholders,49300000.0,50400000.0,177900000.0,47400000.0,4700000.0,
Net Income,49300000.0,50400000.0,177900000.0,47400000.0,4700000.0,
Minority Interests,100000.0,,,,0.0,
Net Income Including Noncontrolling Interests,49200000.0,50400000.0,177900000.0,47400000.0,4700000.0,
Net Income Continuous Operations,49200000.0,50400000.0,177900000.0,47400000.0,4700000.0,
Tax Provision,29800000.0,20400000.0,-125300000.0,23200000.0,7500000.0,
Pretax Income,79000000.0,70800000.0,52600000.0,70600000.0,12200000.0,
Other Income Expense,,,0.0,,-10500000.0,0.0
Other Non Operating Income Expenses,,,0.0,,-10500000.0,0.0
Net Non Operating Interest Income Expense,-53600000.0,-52000000.0,-53900000.0,-56500000.0,-57700000.0,
Interest Expense Non Operating,55400000.0,54600000.0,56900000.0,59400000.0,60400000.0,
Interest Income Non Operating,1800000.0,2600000.0,3000000.0,2900000.0,2700000.0,
Operating Income,132600000.0,122800000.0,106500000.0,127100000.0,80400000.0,
Operating Expense,849600000.0,833700000.0,833400000.0,844500000.0,917600000.0,
Other Operating Expenses,401700000.0,401800000.0,396500000.0,400500000.0,415300000.0,
Selling General And Administration,447900000.0,431900000.0,436900000.0,444000000.0,502300000.0,
Gross Profit,982200000.0,956500000.0,939900000.0,971600000.0,998000000.0,
Cost Of Revenue,276900000.0,265200000.0,267500000.0,268700000.0,283100000.0,
Total Revenue,1259100000.0,1221700000.0,1207400000.0,1240300000.0,1281100000.0,
Operating Revenue,1259100000.0,1221700000.0,1207400000.0,1240300000.0,1281100000.0,
