,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-31455.311151,-56580.0,-3363160.767654,-1295744.0,478677.713987,,
Tax Rate For Calcs,0.24384,0.276,0.066812,0.191,0.107255,,
Normalized EBITDA,34760000.0,26953000.0,29244000.0,20982000.0,35368000.0,,
Total Unusual Items,-129000.0,-205000.0,-50338000.0,-6784000.0,4463000.0,,
Total Unusual Items Excluding Goodwill,-129000.0,-205000.0,-50338000.0,-6784000.0,4463000.0,,
Net Income From Continuing Operation Net Minority Interest,10863000.0,2817000.0,-37782000.0,-6288000.0,17105000.0,,
Reconciled Depreciation,6891000.0,7147000.0,7895000.0,6960000.0,7493000.0,,
Reconciled Cost Of Revenue,93562000.0,85341000.0,71850000.0,78208000.0,95145000.0,,
EBITDA,34631000.0,26748000.0,-21094000.0,14198000.0,39831000.0,,
EBIT,27740000.0,19601000.0,-28989000.0,7238000.0,32338000.0,,
Net Interest Income,-13374000.0,-15708000.0,-11498000.0,-15010000.0,-13178000.0,,
Interest Expense,13374000.0,15708000.0,11498000.0,15010000.0,13178000.0,,
Normalized Income,10960544.688849,2965420.0,9192839.232346,-799744.0,13120677.713987,,
Net Income From Continuing And Discontinued Operation,10863000.0,2817000.0,-37782000.0,-6288000.0,17105000.0,,
Total Expenses,138792000.0,133238000.0,118705000.0,120016000.0,141621000.0,,
Total Operating Income As Reported,27514000.0,19343000.0,-28981000.0,5563000.0,27878000.0,,
Diluted Average Shares,119790625.0,119559217.0,118724000.0,118694139.0,119261236.0,,
Basic Average Shares,119162895.0,118845487.0,118724000.0,118694139.0,118470358.0,,
Diluted EPS,0.09,0.02,-0.32,-0.05,0.14,,
Basic EPS,0.09,0.02,-0.32,-0.05,0.14,,
Diluted NI Availto Com Stockholders,10863000.0,2817000.0,-37782000.0,-6288000.0,17105000.0,,
Average Dilution Earnings,,,,,,,0.0
Net Income Common Stockholders,10863000.0,2817000.0,-37782000.0,-6288000.0,17105000.0,,
Net Income,10863000.0,2817000.0,-37782000.0,-6288000.0,17105000.0,,
Net Income Including Noncontrolling Interests,10863000.0,2817000.0,-37782000.0,-6288000.0,17105000.0,,
Net Income Continuous Operations,10863000.0,2817000.0,-37782000.0,-6288000.0,17105000.0,,
Tax Provision,3503000.0,1076000.0,-2705000.0,-1484000.0,2055000.0,,
Pretax Income,14366000.0,3893000.0,-40487000.0,-7772000.0,19160000.0,,
Other Income Expense,-129000.0,-205000.0,-50338000.0,-6784000.0,4463000.0,,
Special Income Charges,-136000.0,-278000.0,-50338000.0,-7825000.0,1061000.0,,
Other Special Charges,,,0.0,,,141000.0,
Write Off,,,,7505000.0,,,
Impairment Of Capital Assets,,,,,,,0.0
Restructuring And Mergern Acquisition,136000.0,278000.0,8000.0,320000.0,-1061000.0,,
Gain On Sale Of Security,7000.0,73000.0,0.0,1041000.0,3402000.0,,
Net Non Operating Interest Income Expense,-13374000.0,-15708000.0,-11498000.0,-15010000.0,-13178000.0,,
Interest Expense Non Operating,13374000.0,15708000.0,11498000.0,15010000.0,13178000.0,,
Operating Income,27869000.0,19806000.0,21349000.0,14022000.0,27875000.0,,
Operating Expense,41689000.0,44282000.0,42537000.0,38284000.0,42418000.0,,
Other Operating Expenses,299000.0,-42000.0,-481000.0,119000.0,102000.0,,
Depreciation Amortization Depletion Income Statement,3350000.0,3532000.0,3577000.0,3436000.0,3435000.0,,
Depreciation And Amortization In Income Statement,3350000.0,3532000.0,3577000.0,3436000.0,3435000.0,,
Amortization,3350000.0,3532000.0,3577000.0,3436000.0,3435000.0,,
Amortization Of Intangibles Income Statement,3350000.0,3532000.0,3577000.0,3436000.0,3435000.0,,
Research And Development,5086000.0,4093000.0,4967000.0,4620000.0,4311000.0,,
Selling General And Administration,32954000.0,36699000.0,34474000.0,30109000.0,34570000.0,,
Gross Profit,69558000.0,64088000.0,63886000.0,52306000.0,70293000.0,,
Cost Of Revenue,97103000.0,88956000.0,76168000.0,81732000.0,99203000.0,,
Total Revenue,166661000.0,153044000.0,140054000.0,134038000.0,169496000.0,,
Operating Revenue,166661000.0,153044000.0,140054000.0,134038000.0,169496000.0,,
