,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.03,0.21,0.21,0.21,
Normalized EBITDA,100000.0,-2643000.0,-876000.0,1651000.0,1709000.0,
Net Income From Continuing Operation Net Minority Interest,-441000.0,-2898000.0,733000.0,533000.0,578000.0,
Reconciled Depreciation,287000.0,397000.0,391000.0,374000.0,354000.0,
Reconciled Cost Of Revenue,18097000.0,17561000.0,17421000.0,20028000.0,22314000.0,
EBITDA,100000.0,-2643000.0,-876000.0,1651000.0,1709000.0,
EBIT,-187000.0,-3040000.0,-1267000.0,1277000.0,1355000.0,
Net Interest Income,94000.0,93000.0,88000.0,90000.0,130000.0,
Interest Income,94000.0,93000.0,88000.0,90000.0,130000.0,
Normalized Income,-441000.0,-2898000.0,733000.0,533000.0,578000.0,
Net Income From Continuing And Discontinued Operation,-441000.0,-2898000.0,733000.0,533000.0,578000.0,
Total Expenses,35899000.0,36931000.0,35238000.0,38121000.0,43542000.0,
Total Operating Income As Reported,-187000.0,-3040000.0,-1267000.0,1277000.0,1355000.0,
Diluted Average Shares,3011000.0,3041000.0,,3141000.0,3138000.0,3122000.0
Basic Average Shares,3011000.0,3041000.0,,3068000.0,3084000.0,3033000.0
Diluted EPS,-0.15,-0.95,,0.17,0.18,0.11
Basic EPS,-0.15,-0.95,,0.17,0.19,0.12
Diluted NI Availto Com Stockholders,-441000.0,-2898000.0,733000.0,533000.0,578000.0,
Net Income Common Stockholders,-441000.0,-2898000.0,733000.0,533000.0,578000.0,
Net Income,-441000.0,-2898000.0,733000.0,533000.0,578000.0,
Net Income Including Noncontrolling Interests,-441000.0,-2898000.0,733000.0,533000.0,578000.0,
Net Income Continuous Operations,-441000.0,-2898000.0,733000.0,533000.0,578000.0,
Tax Provision,253000.0,-88000.0,-778000.0,430000.0,857000.0,
Pretax Income,-188000.0,-2986000.0,-45000.0,963000.0,1435000.0,
Other Income Expense,-95000.0,-39000.0,1134000.0,-404000.0,-50000.0,
Other Non Operating Income Expenses,-95000.0,-39000.0,1134000.0,-404000.0,-50000.0,
Net Non Operating Interest Income Expense,94000.0,93000.0,88000.0,90000.0,130000.0,
Interest Income Non Operating,94000.0,93000.0,88000.0,90000.0,130000.0,
Operating Income,-187000.0,-3040000.0,-1267000.0,1277000.0,1355000.0,
Operating Expense,17802000.0,19370000.0,17817000.0,18093000.0,21228000.0,
Depreciation Amortization Depletion Income Statement,287000.0,397000.0,391000.0,374000.0,354000.0,
Depreciation And Amortization In Income Statement,287000.0,397000.0,391000.0,374000.0,354000.0,
Selling General And Administration,17515000.0,18973000.0,17426000.0,17719000.0,20874000.0,
Selling And Marketing Expense,778000.0,878000.0,849000.0,881000.0,932000.0,
General And Administrative Expense,16737000.0,18095000.0,16577000.0,16838000.0,19942000.0,
Other Gand A,2412000.0,2929000.0,2924000.0,2503000.0,2549000.0,
Salaries And Wages,14325000.0,15166000.0,13653000.0,14335000.0,17393000.0,
Gross Profit,17615000.0,16330000.0,16550000.0,19370000.0,22583000.0,
Cost Of Revenue,18097000.0,17561000.0,17421000.0,20028000.0,22314000.0,
Total Revenue,35712000.0,33891000.0,33971000.0,39398000.0,44897000.0,
Operating Revenue,35712000.0,33891000.0,33971000.0,39398000.0,44897000.0,
