,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-3297000.0,-42000.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.367,0.29,
Normalized EBITDA,22200000.0,35700000.0,43500000.0,48200000.0,111200000.0,
Total Unusual Items,-15700000.0,-200000.0,,,0.0,0.0
Total Unusual Items Excluding Goodwill,-15700000.0,-200000.0,,,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-13900000.0,8600000.0,10300000.0,17200000.0,63300000.0,
Reconciled Depreciation,11800000.0,11000000.0,11800000.0,11700000.0,12400000.0,
Reconciled Cost Of Revenue,788400000.0,732700000.0,859900000.0,823200000.0,908800000.0,
EBITDA,6500000.0,35500000.0,43500000.0,48200000.0,111200000.0,
EBIT,-5300000.0,24500000.0,31700000.0,36500000.0,98800000.0,
Net Interest Income,-7900000.0,-7700000.0,-7700000.0,-8400000.0,-8800000.0,
Interest Expense,7900000.0,7700000.0,7700000.0,8400000.0,8800000.0,
Normalized Income,-1497000.0,8758000.0,10300000.0,17200000.0,63300000.0,
Net Income From Continuing And Discontinued Operation,-13900000.0,8600000.0,10300000.0,17200000.0,63300000.0,
Total Expenses,949400000.0,888900000.0,1012600000.0,983000000.0,1072500000.0,
Total Operating Income As Reported,-8500000.0,21300000.0,32300000.0,33100000.0,95600000.0,
Diluted Average Shares,17705000.0,17766000.0,,17752000.0,17659000.0,17592000.0
Basic Average Shares,17705000.0,17556000.0,,17500000.0,17493000.0,17339000.0
Diluted EPS,-0.79,0.48,,0.97,3.58,2.93
Basic EPS,-0.79,0.49,,0.98,3.62,2.97
Diluted NI Availto Com Stockholders,-13900000.0,8600000.0,10300000.0,17200000.0,63300000.0,
Net Income Common Stockholders,-13900000.0,8600000.0,10300000.0,17200000.0,63300000.0,
Net Income,-13900000.0,8600000.0,10300000.0,17200000.0,63300000.0,
Minority Interests,-500000.0,-100000.0,-400000.0,-600000.0,-600000.0,
Net Income Including Noncontrolling Interests,-13400000.0,8700000.0,10700000.0,17800000.0,63900000.0,
Net Income Continuous Operations,-13400000.0,8700000.0,10700000.0,17800000.0,63900000.0,
Tax Provision,200000.0,8100000.0,13300000.0,10300000.0,26100000.0,
Pretax Income,-13200000.0,16800000.0,24000000.0,28100000.0,90000000.0,
Other Income Expense,-12500000.0,3000000.0,-23200000.0,3400000.0,3200000.0,
Other Non Operating Income Expenses,500000.0,300000.0,600000.0,-200000.0,1100000.0,
Special Income Charges,-15700000.0,-200000.0,,,0.0,0.0
Restructuring And Mergern Acquisition,15700000.0,200000.0,,,0.0,0.0
Earnings From Equity Interest,2700000.0,2900000.0,-1200000.0,3600000.0,2100000.0,
Net Non Operating Interest Income Expense,-7900000.0,-7700000.0,-7700000.0,-8400000.0,-8800000.0,
Interest Expense Non Operating,7900000.0,7700000.0,7700000.0,8400000.0,8800000.0,
Operating Income,7200000.0,21500000.0,54900000.0,33100000.0,95600000.0,
Operating Expense,161000000.0,156200000.0,152700000.0,159800000.0,163700000.0,
Selling General And Administration,161000000.0,156200000.0,152700000.0,159800000.0,163700000.0,
Gross Profit,168200000.0,177700000.0,207600000.0,192900000.0,259300000.0,
Cost Of Revenue,788400000.0,732700000.0,859900000.0,823200000.0,908800000.0,
Total Revenue,956600000.0,910400000.0,1067500000.0,1016100000.0,1168100000.0,
Operating Revenue,860300000.0,818300000.0,965900000.0,942300000.0,1076000000.0,
