,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,-96145.0,-109273290.0,-70384.0,-911950.966474,-11256.0,
Tax Rate For Calcs,0.205,0.21,0.212,0.188653,0.201,
Total Unusual Items,-469000.0,-520349000.0,-332000.0,-4834000.0,-56000.0,
Total Unusual Items Excluding Goodwill,-469000.0,-520349000.0,-332000.0,-4834000.0,-56000.0,
Net Income From Continuing Operation Net Minority Interest,20437000.0,-493455000.0,24150000.0,14859000.0,32775000.0,
Reconciled Depreciation,7782000.0,7847000.0,7986000.0,7952000.0,7802000.0,
Net Interest Income,106838000.0,105148000.0,103031000.0,106305000.0,109049000.0,
Interest Expense,134878000.0,133937000.0,132174000.0,126217000.0,113695000.0,
Interest Income,241716000.0,239085000.0,235205000.0,232522000.0,222744000.0,
Normalized Income,20809855.0,-82379290.0,24411616.0,18781049.033526,32819744.0,
Net Income From Continuing And Discontinued Operation,20437000.0,-493455000.0,24150000.0,14859000.0,32775000.0,
Diluted Average Shares,41231067.0,41194804.0,41314378.0,41388564.0,41381034.0,
Basic Average Shares,41166190.0,41194804.0,41205080.0,41283041.0,41284964.0,
Diluted EPS,0.49,-11.93,0.58,0.36,0.79,
Basic EPS,0.49,-11.93,0.58,0.36,0.79,
Diluted NI Availto Com Stockholders,20306000.0,-491271000.0,24081000.0,14829000.0,32715000.0,
Net Income Common Stockholders,20306000.0,-491271000.0,24081000.0,14829000.0,32715000.0,
Otherunder Preferred Stock Dividend,131000.0,-2184000.0,69000.0,30000.0,60000.0,
Net Income,20437000.0,-493455000.0,24150000.0,14859000.0,32775000.0,
Net Income Including Noncontrolling Interests,20437000.0,-493455000.0,24150000.0,14859000.0,32775000.0,
Net Income Continuous Operations,20437000.0,-493455000.0,24150000.0,14859000.0,32775000.0,
Tax Provision,5266000.0,5125000.0,6478000.0,3455000.0,8246000.0,
Pretax Income,25703000.0,-488330000.0,30628000.0,18314000.0,41021000.0,
Special Income Charges,-469000.0,-520349000.0,-345000.0,-3037000.0,-56000.0,
Other Special Charges,9000.0,11000.0,,22000.0,56000.0,-354000.0
Write Off,,,,3015000.0,0.0,1000000.0
Impairment Of Capital Assets,0.0,518000000.0,345000.0,3015000.0,0.0,
Restructuring And Mergern Acquisition,460000.0,2338000.0,,,0.0,0.0
Gain On Sale Of Security,0.0,0.0,0.0,,0.0,0.0
Depreciation Amortization Depletion Income Statement,2893000.0,2953000.0,3075000.0,3106000.0,3111000.0,
Depreciation And Amortization In Income Statement,2893000.0,2953000.0,3075000.0,3106000.0,3111000.0,
Amortization,2893000.0,2953000.0,3075000.0,3106000.0,3111000.0,
Amortization Of Intangibles Income Statement,2893000.0,2953000.0,3075000.0,3106000.0,3111000.0,
Selling General And Administration,54714000.0,52729000.0,53890000.0,57006000.0,47858000.0,
Selling And Marketing Expense,479000.0,853000.0,415000.0,412000.0,587000.0,
General And Administrative Expense,54235000.0,51876000.0,53475000.0,56594000.0,47271000.0,
Insurance And Claims,4196000.0,2816000.0,6142000.0,11982000.0,3653000.0,
Salaries And Wages,50039000.0,49060000.0,47333000.0,44612000.0,43618000.0,
Total Revenue,120308000.0,118592000.0,115901000.0,116941000.0,122751000.0,
Operating Revenue,120308000.0,118592000.0,115901000.0,116941000.0,122751000.0,
Occupancy And Equipment,12326000.0,12076000.0,12549000.0,11823000.0,12408000.0,
Professional Expense And Contract Services Expense,1296000.0,1301000.0,1809000.0,1837000.0,1262000.0,
Other Non Interest Expense,18207000.0,17514000.0,16805000.0,18338000.0,16695000.0,
