,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.0007,0.21,
Normalized EBITDA,-127117000.0,-113716000.0,-114203000.0,-115654000.0,-94201000.0,
Total Unusual Items,,0.0,0.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,,0.0,0.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-120613000.0,-106449000.0,-111122000.0,-109119000.0,-87150000.0,
Reconciled Depreciation,107000.0,109000.0,99000.0,89000.0,80000.0,
EBITDA,-127117000.0,-113716000.0,-114203000.0,-115654000.0,-94201000.0,
EBIT,-127224000.0,-113825000.0,-114302000.0,-115743000.0,-94281000.0,
Net Interest Income,6337000.0,6888000.0,4590000.0,6073000.0,7180000.0,
Interest Income,6337000.0,6888000.0,4590000.0,6073000.0,7180000.0,
Normalized Income,-120613000.0,-106449000.0,-111122000.0,-109119000.0,-87150000.0,
Net Income From Continuing And Discontinued Operation,-120613000.0,-106449000.0,-111122000.0,-109119000.0,-87150000.0,
Total Expenses,127224000.0,113825000.0,114302000.0,115743000.0,94281000.0,
Diluted Average Shares,170872994.0,166732686.0,146922338.0,146468991.0,146085729.0,
Basic Average Shares,170872994.0,166732686.0,146922338.0,146468991.0,146085729.0,
Diluted EPS,-0.71,-0.64,-0.76,-0.74,-0.6,
Basic EPS,-0.71,-0.64,-0.76,-0.74,-0.6,
Diluted NI Availto Com Stockholders,-120613000.0,-106449000.0,-111122000.0,-109119000.0,-87150000.0,
Net Income Common Stockholders,-120613000.0,-106449000.0,-111122000.0,-109119000.0,-87150000.0,
Net Income,-120613000.0,-106449000.0,-111122000.0,-109119000.0,-87150000.0,
Net Income Including Noncontrolling Interests,-120613000.0,-106449000.0,-111122000.0,-109119000.0,-87150000.0,
Net Income Continuous Operations,-120613000.0,-106449000.0,-111122000.0,-109119000.0,-87150000.0,
Tax Provision,913000.0,583000.0,152000.0,78000.0,77000.0,
Pretax Income,-119700000.0,-105866000.0,-110970000.0,-109041000.0,-87073000.0,
Other Income Expense,1187000.0,1071000.0,-1258000.0,629000.0,28000.0,
Other Non Operating Income Expenses,1187000.0,1071000.0,-1258000.0,629000.0,28000.0,
Special Income Charges,,0.0,0.0,0.0,0.0,0.0
Other Special Charges,,,,,,0.0
Restructuring And Mergern Acquisition,,0.0,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,6337000.0,6888000.0,4590000.0,6073000.0,7180000.0,
Interest Income Non Operating,6337000.0,6888000.0,4590000.0,6073000.0,7180000.0,
Operating Income,-127224000.0,-113825000.0,-114302000.0,-115743000.0,-94281000.0,
Operating Expense,127224000.0,113825000.0,114302000.0,115743000.0,94281000.0,
Research And Development,101200000.0,93651000.0,94520000.0,97272000.0,75473000.0,
Selling General And Administration,26024000.0,20174000.0,19782000.0,18471000.0,18808000.0,
General And Administrative Expense,26024000.0,20174000.0,19782000.0,18471000.0,18808000.0,
Other Gand A,26024000.0,20174000.0,19782000.0,18471000.0,18808000.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
