,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.03554,0.015,0.032715,0.017,0.001251,
Normalized EBITDA,-913000.0,-2467000.0,-6306000.0,-2478000.0,-1719000.0,
Total Unusual Items,,,0.0,0.0,,0.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,,0.0
Net Income From Continuing Operation Net Minority Interest,-4152000.0,-6174000.0,-9757000.0,-5963000.0,-5590000.0,
Reconciled Depreciation,5216000.0,5189000.0,5080000.0,5314000.0,5345000.0,
Reconciled Cost Of Revenue,50936000.0,45908000.0,43792000.0,47490000.0,46028000.0,
EBITDA,-913000.0,-2467000.0,-6306000.0,-2478000.0,-1719000.0,
EBIT,-6129000.0,-7656000.0,-11386000.0,-7792000.0,-7064000.0,
Net Interest Income,1123000.0,1029000.0,1413000.0,1041000.0,1333000.0,
Interest Income,1123000.0,1029000.0,1413000.0,1041000.0,1333000.0,
Normalized Income,-4152000.0,-6174000.0,-9757000.0,-5963000.0,-5590000.0,
Net Income From Continuing And Discontinued Operation,-4152000.0,-6174000.0,-9757000.0,-5963000.0,-5590000.0,
Total Expenses,98406000.0,89936000.0,91467000.0,96626000.0,95829000.0,
Rent Expense Supplemental,4450000.0,7825000.0,5255000.0,4651000.0,4580000.0,
Total Operating Income As Reported,-6129000.0,-7656000.0,-11386000.0,-7792000.0,-7064000.0,
Diluted Average Shares,26962465.0,25164444.0,23846666.0,23751168.0,23614970.0,
Basic Average Shares,26962465.0,25164444.0,23846666.0,23751168.0,23614970.0,
Diluted EPS,-0.15,-0.25,-0.41,-0.25,-0.24,
Basic EPS,-0.15,-0.25,-0.41,-0.25,-0.24,
Diluted NI Availto Com Stockholders,-4152000.0,-6174000.0,-9757000.0,-5963000.0,-5590000.0,
Net Income Common Stockholders,-4152000.0,-6174000.0,-9757000.0,-5963000.0,-5590000.0,
Net Income,-4152000.0,-6174000.0,-9757000.0,-5963000.0,-5590000.0,
Net Income Including Noncontrolling Interests,-4152000.0,-6174000.0,-9757000.0,-5963000.0,-5590000.0,
Net Income Continuous Operations,-4152000.0,-6174000.0,-9757000.0,-5963000.0,-5590000.0,
Tax Provision,-153000.0,-97000.0,-330000.0,-101000.0,-7000.0,
Pretax Income,-4305000.0,-6271000.0,-10087000.0,-6064000.0,-5597000.0,
Other Income Expense,701000.0,356000.0,-114000.0,687000.0,134000.0,
Other Non Operating Income Expenses,701000.0,356000.0,-114000.0,687000.0,134000.0,
Special Income Charges,,,0.0,0.0,,0.0
Write Off,,,0.0,0.0,,0.0
Impairment Of Capital Assets,,,,,,0.0
Net Non Operating Interest Income Expense,1123000.0,1029000.0,1413000.0,1041000.0,1333000.0,
Interest Income Non Operating,1123000.0,1029000.0,1413000.0,1041000.0,1333000.0,
Operating Income,-6129000.0,-7656000.0,-11386000.0,-7792000.0,-7064000.0,
Operating Expense,47470000.0,44028000.0,47675000.0,49136000.0,49801000.0,
Research And Development,5209000.0,4034000.0,5898000.0,3518000.0,5616000.0,
Selling General And Administration,42261000.0,39994000.0,41777000.0,45618000.0,44185000.0,
Selling And Marketing Expense,25390000.0,23757000.0,24155000.0,26361000.0,25617000.0,
General And Administrative Expense,16871000.0,16237000.0,17622000.0,19257000.0,18568000.0,
Other Gand A,16871000.0,16237000.0,17622000.0,19257000.0,18568000.0,
Gross Profit,41341000.0,36372000.0,36289000.0,41344000.0,42737000.0,
Cost Of Revenue,50936000.0,45908000.0,43792000.0,47490000.0,46028000.0,
Total Revenue,92277000.0,82280000.0,80081000.0,88834000.0,88765000.0,
Operating Revenue,92277000.0,82280000.0,80081000.0,88834000.0,88765000.0,
