,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-22959000.0,-25450000.0,-21840000.0,-14790000.0,-15477000.0,
Net Income From Continuing Operation Net Minority Interest,-24570000.0,-27033000.0,-23347000.0,-21544000.0,-16638000.0,
Reconciled Depreciation,195000.0,188000.0,182000.0,209000.0,208000.0,
EBITDA,-22959000.0,-25450000.0,-21840000.0,-14790000.0,-15477000.0,
EBIT,-23154000.0,-25638000.0,-22022000.0,-14999000.0,-15685000.0,
Net Interest Income,362000.0,635000.0,1049000.0,1250000.0,1416000.0,
Interest Expense,1416000.0,1395000.0,1325000.0,,953000.0,771000.0
Interest Income,1778000.0,2030000.0,2374000.0,4583000.0,2369000.0,
Normalized Income,-24570000.0,-27033000.0,-23347000.0,-21544000.0,-16638000.0,
Net Income From Continuing And Discontinued Operation,-24570000.0,-27033000.0,-23347000.0,-21544000.0,-16638000.0,
Total Expenses,24851000.0,27665000.0,24345000.0,22808000.0,18074000.0,
Total Operating Income As Reported,-24851000.0,-27665000.0,-24345000.0,-22808000.0,-18074000.0,
Diluted Average Shares,63276851.0,61943960.0,61772279.0,,56758395.0,44860279.0
Basic Average Shares,63276851.0,61943960.0,61772279.0,,56758395.0,44860279.0
Diluted EPS,-0.39,-0.44,-0.38,,-0.29,-0.35
Basic EPS,-0.39,-0.44,-0.38,,-0.29,-0.35
Diluted NI Availto Com Stockholders,-24570000.0,-27033000.0,-23347000.0,-21544000.0,-16638000.0,
Net Income Common Stockholders,-24570000.0,-27033000.0,-23347000.0,-21544000.0,-16638000.0,
Net Income,-24570000.0,-27033000.0,-23347000.0,-21544000.0,-16638000.0,
Net Income Including Noncontrolling Interests,-24570000.0,-27033000.0,-23347000.0,-21544000.0,-16638000.0,
Net Income Continuous Operations,-24570000.0,-27033000.0,-23347000.0,-21544000.0,-16638000.0,
Pretax Income,-24570000.0,-27033000.0,-23347000.0,-21544000.0,-16638000.0,
Other Income Expense,-81000.0,-3000.0,-51000.0,14000.0,20000.0,
Other Non Operating Income Expenses,-81000.0,-3000.0,-51000.0,14000.0,20000.0,
Net Non Operating Interest Income Expense,362000.0,635000.0,1049000.0,1250000.0,1416000.0,
Interest Expense Non Operating,1416000.0,1395000.0,1325000.0,,953000.0,771000.0
Interest Income Non Operating,1778000.0,2030000.0,2374000.0,4583000.0,2369000.0,
Operating Income,-24851000.0,-27665000.0,-24345000.0,-22808000.0,-18074000.0,
Operating Expense,24851000.0,27665000.0,24345000.0,22808000.0,18074000.0,
Research And Development,19890000.0,21758000.0,19111000.0,17983000.0,13341000.0,
Selling General And Administration,4961000.0,5907000.0,5234000.0,4825000.0,4733000.0,
General And Administrative Expense,4961000.0,5907000.0,5234000.0,4825000.0,4733000.0,
Other Gand A,4961000.0,5907000.0,5234000.0,4825000.0,4733000.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
